code,mistralai/Mixtral-8x7B-v0.1_max,mistralai/Mixtral-8x7B-v0.1_mean,avg
afr_Latn,0.4757,0.2365,0.4757
amh_Ethi,0.0097,0.0026,0.0097
arb_Arab,0.3786,0.1659,0.3786
ary_Arab,0.0388,0.0097,0.0388
arz_Arab,0.5534,0.1771,0.5534
asm_Beng,0.0097,0.0029,0.0097
bam_Latn,0.0194,0.0106,0.0194
ben_Beng,0.1845,0.0441,0.1845
bul_Cyrl,0.8155,0.4743,0.8155
cat_Latn,0.7476,0.4819,0.7476
ceb_Latn,0.165,0.0424,0.165
ces_Latn,0.7282,0.4281,0.7282
ckb_Arab,0.0291,0.0085,0.0291
dan_Latn,0.7961,0.4854,0.7961
deu_Latn,0.8738,0.5649,0.8738
ell_Grek,0.699,0.3386,0.699
eng_Latn,1.0,1.0,1.0
est_Latn,0.1942,0.0621,0.1942
eus_Latn,0.0388,0.0118,0.0388
fin_Latn,0.5728,0.2489,0.5728
fra_Latn,0.9806,0.7767,0.9806
fuv_Latn,0.0,0.0,0.0
guj_Gujr,0.0485,0.0062,0.0485
hat_Latn,0.1359,0.0371,0.1359
hau_Latn,0.0291,0.0068,0.0291
heb_Hebr,0.4272,0.1727,0.4272
hin_Deva,0.2718,0.0877,0.2718
hin_Latn,0.165,0.0368,0.165
hrv_Latn,0.6311,0.3207,0.6311
hun_Latn,0.5728,0.3089,0.5728
hye_Armn,0.0485,0.01,0.0485
ibo_Latn,0.0097,0.0009,0.0097
ilo_Latn,0.0388,0.0112,0.0388
ind_Latn,0.5437,0.2224,0.5437
isl_Latn,0.3592,0.14,0.3592
ita_Latn,0.9515,0.7417,0.9515
jav_Latn,0.0388,0.0153,0.0388
kac_Latn,0.0097,0.0032,0.0097
kan_Knda,0.0874,0.0112,0.0874
kat_Geor,0.0388,0.0085,0.0388
kaz_Cyrl,0.0291,0.005,0.0291
khm_Khmr,0.0194,0.0029,0.0194
kin_Latn,0.0194,0.0062,0.0194
kir_Cyrl,0.0097,0.0009,0.0097
kor_Hang,0.5922,0.2798,0.5922
lin_Latn,0.0291,0.0094,0.0291
lit_Latn,0.1845,0.0624,0.1845
lug_Latn,0.0194,0.0041,0.0194
luo_Latn,0.0097,0.0021,0.0097
mal_Mlym,0.0097,0.0003,0.0097
mar_Deva,0.0485,0.0065,0.0485
mkd_Cyrl,0.6117,0.3024,0.6117
mlt_Latn,0.0583,0.0212,0.0583
mri_Latn,0.1942,0.0465,0.1942
mya_Mymr,0.0194,0.0032,0.0194
nld_Latn,0.932,0.604,0.932
nob_Latn,0.7767,0.4587,0.7767
npi_Deva,0.1456,0.0279,0.1456
nso_Latn,0.0194,0.005,0.0194
nya_Latn,0.0291,0.0127,0.0291
ory_Orya,0.0097,0.0009,0.0097
pan_Guru,0.0194,0.0009,0.0194
pes_Arab,0.4369,0.1406,0.4369
plt_Latn,0.0194,0.0029,0.0194
pol_Latn,0.8058,0.4678,0.8058
por_Latn,0.8738,0.5763,0.8738
ron_Latn,0.6019,0.3322,0.6019
rus_Cyrl,0.8932,0.634,0.8932
shn_Mymr,0.0,0.0,0.0
sin_Sinh,0.0097,0.0003,0.0097
slk_Latn,0.4466,0.2174,0.4466
slv_Latn,0.6311,0.3248,0.6311
sna_Latn,0.0291,0.0106,0.0291
snd_Arab,0.0097,0.0035,0.0097
som_Latn,0.0194,0.0041,0.0194
sot_Latn,0.0194,0.0076,0.0194
spa_Latn,0.7961,0.5305,0.7961
srp_Cyrl,0.7476,0.3742,0.7476
ssw_Latn,0.0194,0.0088,0.0194
sun_Latn,0.0291,0.0109,0.0291
swe_Latn,0.8155,0.4716,0.8155
swh_Latn,0.1553,0.0362,0.1553
tam_Taml,0.068,0.0103,0.068
tel_Telu,0.0194,0.0024,0.0194
tgk_Cyrl,0.0194,0.0044,0.0194
tgl_Latn,0.2427,0.1059,0.2427
tha_Thai,0.0971,0.0388,0.0971
tir_Ethi,0.0,0.0,0.0
tsn_Latn,0.0194,0.0088,0.0194
tso_Latn,0.0097,0.0082,0.0097
tur_Latn,0.2524,0.0812,0.2524
ukr_Cyrl,0.8155,0.4887,0.8155
urd_Arab,0.2039,0.0533,0.2039
urd_Latn,0.2524,0.063,0.2524
vie_Latn,0.3592,0.1321,0.3592
war_Latn,0.0291,0.0109,0.0291
wol_Latn,0.0097,0.0021,0.0097
xho_Latn,0.0291,0.0109,0.0291
yor_Latn,0.0194,0.0088,0.0194
zsm_Latn,0.0874,0.0253,0.0874
zul_Latn,0.0388,0.0141,0.0388
