code,swiss-ai/Apertus-8B-2509_max,swiss-ai/Apertus-8B-2509_mean,avg
auc_Latn,0.0,0.0,0.0
avt_Latn,0.0097,0.0015,0.0097
qvm_Latn,0.0388,0.0076,0.0388
mnb_Latn,0.0291,0.0053,0.0291
quz_Latn,0.0388,0.0091,0.0388
xla_Latn,0.0097,0.0003,0.0097
acd_Latn,0.0,0.0,0.0
lai_Latn,0.0485,0.0129,0.0485
mkl_Latn,0.0,0.0,0.0
trn_Latn,0.0194,0.0026,0.0194
bmu_Latn,0.0097,0.0003,0.0097
gum_Latn,0.0291,0.0038,0.0291
xsm_Latn,0.0,0.0,0.0
urw_Latn,0.0097,0.0009,0.0097
noa_Latn,0.0097,0.0003,0.0097
nyf_Latn,0.0583,0.0076,0.0583
rai_Latn,0.0194,0.0047,0.0194
njo_Latn,0.0388,0.0059,0.0388
mww_Latn,0.1165,0.0256,0.1165
viv_Latn,0.0194,0.0012,0.0194
nhg_Latn,0.0194,0.005,0.0194
czt_Latn,0.0194,0.0012,0.0194
arb_Arab,0.4272,0.1224,0.4272
toj_Latn,0.0194,0.0018,0.0194
akp_Latn,0.0097,0.0009,0.0097
ote_Latn,0.0097,0.0003,0.0097
ruf_Latn,0.0388,0.0147,0.0388
zos_Latn,0.0,0.0,0.0
ong_Latn,0.0097,0.0012,0.0097
are_Latn,0.0194,0.0074,0.0194
ngu_Latn,0.0291,0.0065,0.0291
mzm_Latn,0.0,0.0,0.0
lex_Latn,0.0097,0.0012,0.0097
nre_Latn,0.0097,0.0026,0.0097
agu_Latn,0.0097,0.0018,0.0097
awk_Latn,0.0,0.0,0.0
tro_Latn,0.0194,0.0032,0.0194
kyu_Mymr,0.0097,0.0003,0.0097
kto_Latn,0.0194,0.0038,0.0194
icr_Latn,0.2816,0.0783,0.2816
jmc_Latn,0.0194,0.0035,0.0194
ace_Latn,0.0874,0.0215,0.0874
kgf_Latn,0.0097,0.0012,0.0097
isl_Latn,0.6893,0.293,0.6893
ivb_Latn,0.0388,0.0112,0.0388
kbh_Latn,0.0194,0.0053,0.0194
npl_Latn,0.0291,0.0082,0.0291
plw_Latn,0.068,0.0094,0.068
snd_Arab,0.165,0.0432,0.165
lwo_Latn,0.0,0.0,0.0
mwv_Latn,0.0291,0.0076,0.0291
njn_Latn,0.0194,0.0041,0.0194
niy_Latn,0.0097,0.0006,0.0097
mta_Latn,0.0194,0.0018,0.0194
