code,swiss-ai/Apertus-v1.1-4B_max,swiss-ai/Apertus-v1.1-4B_mean,avg
pis_Latn,0.0194,0.005,0.0194
old_Latn,0.0097,0.0008,0.0097
sgb_Latn,0.0097,0.0039,0.0097
cwe_Latn,0.0097,0.0035,0.0097
dwr_Latn,0.0097,0.0012,0.0097
sbl_Latn,0.0,0.0,0.0
bhp_Latn,0.0097,0.0012,0.0097
emi_Latn,0.0097,0.0023,0.0097
cbu_Latn,0.0,0.0,0.0
cab_Latn,0.0097,0.0004,0.0097
sxn_Latn,0.0097,0.0004,0.0097
shp_Latn,0.0097,0.0027,0.0097
kki_Latn,0.0194,0.0035,0.0194
kng_Latn,0.0097,0.0004,0.0097
mbl_Latn,0.0097,0.0023,0.0097
lif_Limb,0.0,0.0,0.0
eve_Cyrl,0.0097,0.0008,0.0097
lhi_Latn,0.0,0.0,0.0
azz_Latn,0.0097,0.0027,0.0097
aym_Latn,0.0097,0.0027,0.0097
msm_Latn,0.0194,0.0035,0.0194
pag_Latn,0.0194,0.0082,0.0194
gdg_Latn,0.0097,0.0023,0.0097
otn_Latn,0.0097,0.0004,0.0097
yml_Latn,0.0097,0.0004,0.0097
kia_Latn,0.0194,0.0027,0.0194
zpt_Latn,0.0097,0.0039,0.0097
mej_Latn,0.0097,0.0016,0.0097
gai_Latn,0.0097,0.0004,0.0097
wap_Latn,0.0097,0.0004,0.0097
inb_Latn,0.0097,0.0031,0.0097
zia_Latn,0.0,0.0,0.0
tuc_Latn,0.0097,0.0019,0.0097
ksc_Latn,0.0194,0.0054,0.0194
ded_Latn,0.0097,0.0004,0.0097
fry_Latn,0.2718,0.0769,0.2718
adi_Latn,0.0097,0.0008,0.0097
cpc_Latn,0.0194,0.0027,0.0194
mio_Latn,0.0097,0.0004,0.0097
roo_Latn,0.0,0.0,0.0
iry_Latn,0.0097,0.0031,0.0097
bov_Latn,0.0097,0.0004,0.0097
ndi_Latn,0.0,0.0,0.0
arn_Latn,0.0097,0.0019,0.0097
ces_Latn,0.8932,0.4528,0.8932
tsz_Latn,0.0194,0.0016,0.0194
tpm_Latn,0.0,0.0,0.0
cbt_Latn,0.0,0.0,0.0
cac_Latn,0.0097,0.0027,0.0097
qup_Latn,0.0097,0.0016,0.0097
kbc_Latn,0.0097,0.0012,0.0097
tbz_Latn,0.0,0.0,0.0
acn_Latn,0.0097,0.0027,0.0097
lac_Latn,0.0097,0.0035,0.0097
pir_Latn,0.0,0.0,0.0
gug_Latn,0.0194,0.0066,0.0194
knf_Latn,0.0,0.0,0.0
maz_Latn,0.0097,0.0027,0.0097
jam_Latn,0.0777,0.0136,0.0777
zat_Latn,0.0097,0.0019,0.0097
tyv_Cyrl,0.0291,0.0047,0.0291
mtj_Latn,0.0097,0.0008,0.0097
uvl_Latn,0.0097,0.0012,0.0097
uig_Arab,0.0291,0.007,0.0291
zpu_Latn,0.0097,0.0031,0.0097
gah_Latn,0.0097,0.0008,0.0097
hra_Latn,0.0097,0.0039,0.0097
tiy_Latn,0.0097,0.0012,0.0097
mcr_Latn,0.0,0.0,0.0
bak_Cyrl,0.1553,0.0377,0.1553
cly_Latn,0.0097,0.0047,0.0097
con_Latn,0.0194,0.0043,0.0194
lif_Deva,0.0,0.0,0.0
wnc_Latn,0.0097,0.0004,0.0097
cul_Latn,0.0097,0.0004,0.0097
min_Latn,0.0583,0.0148,0.0583
ron_Latn,0.835,0.405,0.835
adh_Latn,0.0097,0.0031,0.0097
ita_Latn,0.9126,0.553,0.9126
cpb_Latn,0.0194,0.0027,0.0194
nbq_Latn,0.0097,0.0019,0.0097
ksb_Latn,0.0097,0.0023,0.0097
naf_Latn,0.0,0.0,0.0
kmr_Latn,0.1262,0.0276,0.1262
mdy_Ethi,0.0097,0.0008,0.0097
kir_Cyrl,0.2427,0.0509,0.2427
kne_Latn,0.0194,0.0066,0.0194
ayo_Latn,0.0,0.0,0.0
gvs_Latn,0.0,0.0,0.0
gud_Latn,0.0,0.0,0.0
pcm_Latn,0.1845,0.0551,0.1845
cme_Latn,0.0097,0.0019,0.0097
mti_Latn,0.0194,0.0027,0.0194
niq_Latn,0.0097,0.0027,0.0097
chk_Latn,0.0097,0.0016,0.0097
zaw_Latn,0.0097,0.0039,0.0097
nyo_Latn,0.0,0.0,0.0
mnk_Latn,0.0097,0.0004,0.0097
twi_Latn,0.0194,0.0043,0.0194
gya_Latn,0.0097,0.0004,0.0097
poh_Latn,0.0194,0.0023,0.0194
srp_Latn,0.7476,0.3344,0.7476
gof_Latn,0.0,0.0,0.0
hin_Deva,0.7184,0.2555,0.7184
pes_Arab,0.7184,0.2567,0.7184
isd_Latn,0.0194,0.0074,0.0194
tby_Latn,0.0097,0.0031,0.0097
ctp_Latn,0.0097,0.0008,0.0097
nwb_Latn,0.0,0.0,0.0
seh_Latn,0.0097,0.0039,0.0097
sah_Cyrl,0.0291,0.007,0.0291
ntu_Latn,0.0,0.0,0.0
wmw_Latn,0.0291,0.0066,0.0291
zlm_Latn,0.7961,0.3755,0.7961
arl_Latn,0.0,0.0,0.0
awb_Latn,0.0,0.0,0.0
bim_Latn,0.0097,0.0004,0.0097
ojb_Cans,0.0,0.0,0.0
luo_Latn,0.0097,0.0027,0.0097
tel_Telu,0.3107,0.0812,0.3107
