code,swiss-ai/Apertus-v1.1-4B_max,swiss-ai/Apertus-v1.1-4B_mean,avg
sag_Latn,0.14,0.0388,0.14
hau_Latn,0.19,0.0652,0.19
bod_Tibt,0.03,0.0048,0.03
lij_Latn,0.43,0.212,0.43
ell_Grek,0.9,0.4464,0.9
yue_Hant,0.95,0.6416,0.95
taq_Latn,0.14,0.0348,0.14
kat_Geor,0.57,0.2804,0.57
tha_Thai,0.75,0.3448,0.75
tam_Taml,0.53,0.2304,0.53
scn_Latn,0.46,0.2028,0.46
hat_Latn,0.62,0.2408,0.62
nso_Latn,0.23,0.0436,0.23
npi_Deva,0.55,0.2172,0.55
shn_Mymr,0.02,0.0104,0.02
kaz_Cyrl,0.52,0.2096,0.52
lus_Latn,0.29,0.0688,0.29
azb_Arab,0.23,0.0808,0.23
urd_Arab,0.64,0.262,0.64
oci_Latn,0.86,0.4428,0.86
ayr_Latn,0.11,0.026,0.11
fao_Latn,0.53,0.2212,0.53
lin_Latn,0.19,0.0624,0.19
fra_Latn,0.99,0.8212,0.99
sat_Olck,0.01,0.002,0.01
por_Latn,0.99,0.7808,0.99
kam_Latn,0.2,0.08,0.2
vie_Latn,0.94,0.5952,0.94
mar_Deva,0.49,0.1796,0.49
tgl_Latn,0.67,0.2616,0.67
eng_Latn,1.0,1.0,1.0
swe_Latn,0.99,0.6308,0.99
nld_Latn,0.98,0.6196,0.98
acq_Arab,0.91,0.5848,0.91
sun_Latn,0.56,0.2504,0.56
prs_Arab,0.89,0.4948,0.89
ssw_Latn,0.17,0.034,0.17
ars_Arab,0.97,0.6292,0.97
aka_Latn,0.13,0.042,0.13
nno_Latn,0.92,0.5484,0.92
zho_Hans,0.95,0.7436,0.95
jav_Latn,0.61,0.218,0.61
spa_Latn,0.99,0.7744,0.99
lim_Latn,0.61,0.2948,0.61
som_Latn,0.29,0.0944,0.29
mri_Latn,0.21,0.0576,0.21
dan_Latn,0.98,0.6176,0.98
vec_Latn,0.72,0.3876,0.72
ckb_Arab,0.12,0.036,0.12
nus_Latn,0.04,0.0156,0.04
mlt_Latn,0.61,0.2256,0.61
heb_Hebr,0.88,0.418,0.88
tso_Latn,0.2,0.0376,0.2
ben_Beng,0.51,0.2908,0.51
ban_Latn,0.56,0.3136,0.56
ltg_Latn,0.31,0.1028,0.31
xho_Latn,0.15,0.0424,0.15
tsn_Latn,0.21,0.0476,0.21
sin_Sinh,0.03,0.0072,0.03
swh_Latn,0.63,0.1804,0.63
glg_Latn,0.98,0.6776,0.98
slv_Latn,0.94,0.5004,0.94
pap_Latn,0.66,0.3248,0.66
kas_Deva,0.08,0.042,0.08
kab_Latn,0.09,0.02,0.09
