code,cis-lmu/glot500-base_max,cis-lmu/glot500-base_mean,avg
vmy_Latn,0.0194,0.0037,0.0194
mcf_Latn,0.0,0.0,0.0
xbr_Latn,0.0,0.0,0.0
tim_Latn,0.0097,0.0015,0.0097
gdr_Latn,0.0097,0.0007,0.0097
ben_Beng,0.3689,0.1688,0.3689
loz_Latn,0.2524,0.0762,0.2524
mfh_Latn,0.0097,0.0007,0.0097
mua_Latn,0.0097,0.003,0.0097
nhy_Latn,0.068,0.0329,0.068
hnn_Latn,0.0388,0.0187,0.0388
ssx_Latn,0.0,0.0,0.0
nbe_Latn,0.0097,0.0007,0.0097
atb_Latn,0.0,0.0,0.0
mlt_Latn,0.3981,0.1456,0.3981
moc_Latn,0.0097,0.0007,0.0097
lef_Latn,0.0097,0.0015,0.0097
heb_Hebr,0.3883,0.1763,0.3883
gnn_Latn,0.0,0.0,0.0
miz_Latn,0.0,0.0,0.0
cux_Latn,0.0,0.0,0.0
zom_Latn,0.3204,0.1225,0.3204
tso_Latn,0.3981,0.1352,0.3981
trp_Latn,0.0097,0.0022,0.0097
dtp_Latn,0.0291,0.009,0.0291
qvs_Latn,0.0583,0.0187,0.0583
kri_Latn,0.3883,0.1501,0.3883
nif_Latn,0.0,0.0,0.0
ban_Latn,0.0583,0.0224,0.0583
tnk_Latn,0.0,0.0,0.0
hus_Latn,0.0097,0.0022,0.0097
mgw_Latn,0.0291,0.0067,0.0291
bqp_Latn,0.0485,0.0164,0.0485
khk_Latn,0.0388,0.0172,0.0388
smk_Latn,0.0194,0.0067,0.0194
pps_Latn,0.0097,0.0022,0.0097
tke_Latn,0.0971,0.0463,0.0971
mrg_Latn,0.0097,0.0045,0.0097
uri_Latn,0.0,0.0,0.0
nhx_Latn,0.0097,0.003,0.0097
nko_Latn,0.0,0.0,0.0
kjb_Latn,0.068,0.0239,0.068
mfi_Latn,0.0,0.0,0.0
tlb_Latn,0.0,0.0,0.0
yka_Latn,0.0,0.0,0.0
sin_Sinh,0.165,0.0724,0.165
reg_Latn,0.0485,0.0164,0.0485
msy_Latn,0.0,0.0,0.0
tsn_Latn,0.3301,0.1247,0.3301
ceg_Latn,0.0,0.0,0.0
xho_Latn,0.4466,0.186,0.4466
