code,sentence-transformers/LaBSE_max,sentence-transformers/LaBSE_mean,avg
uig_Cyrl,0.5825,0.1329,0.5825
kab_Latn,0.0485,0.0112,0.0485
lgl_Latn,0.1262,0.0217,0.1262
quf_Latn,0.068,0.0134,0.068
bhg_Latn,0.1068,0.0254,0.1068
ifa_Latn,0.1068,0.0254,0.1068
swk_Latn,0.6602,0.2816,0.6602
taj_Deva,0.1068,0.0164,0.1068
fuh_Latn,0.1068,0.0381,0.1068
nep_Deva,0.8641,0.5034,0.8641
tbl_Latn,0.0388,0.0097,0.0388
jni_Latn,0.068,0.0209,0.068
agx_Cyrl,0.0388,0.009,0.0388
kdl_Latn,0.0971,0.0276,0.0971
mal_Latn,0.0,0.0,0.0
ubu_Latn,0.0291,0.0022,0.0291
kmg_Latn,0.0971,0.0142,0.0971
izz_Latn,0.1359,0.0314,0.1359
guq_Latn,0.0777,0.0209,0.0777
gvf_Latn,0.0583,0.0067,0.0583
zab_Latn,0.1262,0.0284,0.1262
kxw_Latn,0.0485,0.0075,0.0485
bel_Cyrl,0.9903,0.643,0.9903
alj_Latn,0.1165,0.0403,0.1165
nzm_Latn,0.0777,0.0157,0.0777
lmp_Latn,0.0485,0.006,0.0485
bre_Latn,0.2718,0.0739,0.2718
amu_Latn,0.1262,0.0127,0.1262
gbi_Latn,0.0971,0.0157,0.0971
zpc_Latn,0.1165,0.0172,0.1165
cjv_Latn,0.0291,0.0052,0.0291
wbp_Latn,0.0097,0.0007,0.0097
mpm_Latn,0.1165,0.0194,0.1165
pap_Latn,0.5631,0.186,0.5631
nnb_Latn,0.2816,0.0612,0.2816
mcd_Latn,0.0777,0.0119,0.0777
slv_Latn,0.9903,0.6774,0.9903
lia_Latn,0.0388,0.009,0.0388
tcs_Latn,0.0583,0.0187,0.0583
kbd_Cyrl,0.0194,0.0015,0.0194
boa_Latn,0.0485,0.0045,0.0485
wnu_Latn,0.0388,0.009,0.0388
tpz_Latn,0.0583,0.0082,0.0583
suc_Latn,0.1165,0.0202,0.1165
des_Latn,0.0485,0.0067,0.0485
moa_Latn,0.0388,0.003,0.0388
ria_Latn,0.0777,0.0194,0.0777
ctd_Latn,0.0971,0.0202,0.0971
rmq_Latn,0.2913,0.124,0.2913
gle_Latn,0.9612,0.5975,0.9612
lat_Latn,1.0,0.6609,1.0
gor_Latn,0.165,0.0261,0.165
ven_Latn,0.2233,0.0657,0.2233
asg_Latn,0.0971,0.0261,0.0971
kwd_Latn,0.068,0.0105,0.068
bmh_Latn,0.0291,0.0112,0.0291
cbc_Latn,0.0971,0.0097,0.0971
dgz_Latn,0.0388,0.0067,0.0388
myv_Cyrl,0.1262,0.0217,0.1262
krj_Latn,0.7476,0.3226,0.7476
bkq_Latn,0.0971,0.0149,0.0971
cat_Latn,0.9903,0.6647,0.9903
tdt_Latn,0.3204,0.065,0.3204
kac_Latn,0.0777,0.0105,0.0777
qug_Latn,0.0485,0.0142,0.0485
dts_Latn,0.068,0.0067,0.068
lgm_Latn,0.1748,0.0739,0.1748
yle_Latn,0.0097,0.0007,0.0097
yor_Latn,0.9709,0.4533,0.9709
bam_Latn,0.1068,0.0261,0.1068
zac_Latn,0.0874,0.0246,0.0874
bgt_Latn,0.1456,0.0314,0.1456
gup_Latn,0.1359,0.0209,0.1359
mam_Latn,0.1359,0.0172,0.1359
dyi_Latn,0.068,0.009,0.068
wwa_Latn,0.0388,0.009,0.0388
hrv_Latn,0.9806,0.6811,0.9806
cmn_Hani,0.9515,0.596,0.9515
zul_Latn,0.9709,0.5683,0.9709
mfk_Latn,0.1359,0.0202,0.1359
kiw_Latn,0.068,0.0075,0.068
hto_Latn,0.1068,0.0105,0.1068
nxd_Latn,0.1165,0.0246,0.1165
wro_Latn,0.1553,0.0336,0.1553
lee_Latn,0.0194,0.0052,0.0194
itv_Latn,0.2136,0.0366,0.2136
kck_Latn,0.3883,0.1553,0.3883
kxm_Thai,0.0097,0.0015,0.0097
cpu_Latn,0.1359,0.0246,0.1359
ata_Latn,0.0388,0.0045,0.0388
ziw_Latn,0.3301,0.124,0.3301
dar_Cyrl,0.0388,0.0052,0.0388
naq_Latn,0.0971,0.0172,0.0971
ghe_Deva,0.2233,0.0351,0.2233
blw_Latn,0.0874,0.0157,0.0874
miy_Latn,0.0971,0.0097,0.0971
nif_Latn,0.0777,0.0097,0.0777
ban_Latn,0.3981,0.127,0.3981
tnk_Latn,0.0777,0.0112,0.0777
hus_Latn,0.1165,0.0179,0.1165
khk_Latn,0.0583,0.0097,0.0583
bqp_Latn,0.0777,0.0209,0.0777
mgw_Latn,0.2913,0.1075,0.2913
smk_Latn,0.2524,0.056,0.2524
pps_Latn,0.1748,0.0209,0.1748
tke_Latn,0.165,0.0493,0.165
uri_Latn,0.0485,0.0067,0.0485
mrg_Latn,0.0291,0.0082,0.0291
trp_Latn,0.1068,0.0239,0.1068
dtp_Latn,0.0874,0.0105,0.0874
qvs_Latn,0.0194,0.0037,0.0194
kri_Latn,0.0777,0.0246,0.0777
hnn_Latn,0.3689,0.1247,0.3689
ssx_Latn,0.0097,0.0007,0.0097
atb_Latn,0.0485,0.006,0.0485
nbe_Latn,0.1359,0.0321,0.1359
mlt_Latn,0.932,0.5639,0.932
moc_Latn,0.0874,0.0105,0.0874
heb_Hebr,0.7767,0.4249,0.7767
lef_Latn,0.1359,0.0209,0.1359
gnn_Latn,0.0,0.0,0.0
miz_Latn,0.1068,0.0157,0.1068
cux_Latn,0.1262,0.0134,0.1262
zom_Latn,0.1359,0.0246,0.1359
tso_Latn,0.2913,0.0695,0.2913
vmy_Latn,0.1068,0.0246,0.1068
xbr_Latn,0.0583,0.0134,0.0583
mcf_Latn,0.0194,0.003,0.0194
tim_Latn,0.0777,0.0082,0.0777
ben_Beng,0.9709,0.5982,0.9709
gdr_Latn,0.0777,0.0112,0.0777
loz_Latn,0.2816,0.1158,0.2816
mfh_Latn,0.068,0.0127,0.068
mua_Latn,0.1942,0.0366,0.1942
nhy_Latn,0.2039,0.0471,0.2039
ksw_Mymr,0.0,0.0,0.0
ike_Cans,0.0097,0.0015,0.0097
xpe_Latn,0.0388,0.0067,0.0388
gur_Latn,0.1068,0.0172,0.1068
ztq_Latn,0.1748,0.0344,0.1748
pse_Latn,0.4272,0.1494,0.4272
nyy_Latn,0.1456,0.0366,0.1456
mda_Latn,0.0388,0.0075,0.0388
bao_Latn,0.0971,0.0112,0.0971
bzi_Thai,0.0194,0.0022,0.0194
zaa_Latn,0.1942,0.0336,0.1942
oji_Latn,0.1553,0.0291,0.1553
cav_Latn,0.0485,0.0119,0.0485
hop_Latn,0.1262,0.0127,0.1262
ifb_Latn,0.1068,0.0321,0.1068
nse_Latn,0.5437,0.2293,0.5437
kaa_Latn,0.4854,0.1359,0.4854
mks_Latn,0.0777,0.0112,0.0777
sda_Latn,0.1942,0.0515,0.1942
lav_Latn,0.9709,0.6423,0.9709
tbo_Latn,0.0291,0.009,0.0291
apr_Latn,0.0388,0.0067,0.0388
trq_Latn,0.1262,0.0142,0.1262
neb_Latn,0.0388,0.0045,0.0388
kwf_Latn,0.1165,0.0157,0.1165
swh_Latn,0.9515,0.6243,0.9515
daa_Latn,0.0777,0.0172,0.0777
ceg_Latn,0.0971,0.0082,0.0971
tsn_Latn,0.9709,0.5161,0.9709
xho_Latn,0.9709,0.5624,0.9709
fad_Latn,0.068,0.0134,0.068
nas_Latn,0.0388,0.0037,0.0388
nhx_Latn,0.1359,0.0299,0.1359
nko_Latn,0.1165,0.0217,0.1165
kjb_Latn,0.0971,0.0172,0.0971
mfi_Latn,0.068,0.0105,0.068
tlb_Latn,0.1456,0.0246,0.1456
reg_Latn,0.2233,0.0739,0.2233
sin_Sinh,0.932,0.5026,0.932
yka_Latn,0.165,0.0232,0.165
msy_Latn,0.0971,0.0217,0.0971
ndz_Latn,0.0388,0.006,0.0388
myb_Latn,0.0583,0.0157,0.0583
srp_Cyrl,0.9612,0.702,0.9612
sey_Latn,0.1165,0.0172,0.1165
kew_Latn,0.0777,0.0164,0.0777
mhr_Cyrl,0.1845,0.0388,0.1845
agm_Latn,0.0,0.0,0.0
nbc_Latn,0.1456,0.0306,0.1456
atd_Latn,0.0874,0.0142,0.0874
ojs_Cans,0.0097,0.003,0.0097
kpg_Latn,0.1748,0.0418,0.1748
bjk_Latn,0.0971,0.0217,0.0971
ksp_Latn,0.068,0.0164,0.068
mvp_Latn,0.1359,0.0329,0.1359
syb_Latn,0.1359,0.0269,0.1359
mug_Latn,0.1942,0.0314,0.1942
kje_Latn,0.0874,0.0246,0.0874
arz_Arab,0.932,0.4152,0.932
akh_Latn,0.0194,0.003,0.0194
esi_Latn,0.1165,0.0239,0.1165
tik_Latn,0.0485,0.006,0.0485
bug_Latn,0.1456,0.0403,0.1456
pbc_Latn,0.1359,0.0224,0.1359
