code,meta-llama/Llama-3.1-8B_max,meta-llama/Llama-3.1-8B_mean,avg
thk_Latn,0.0194,0.0021,0.0194
eri_Latn,0.0291,0.0059,0.0291
knk_Latn,0.0291,0.0062,0.0291
maw_Latn,0.0388,0.0053,0.0388
nya_Latn,0.0583,0.0229,0.0583
lmk_Latn,0.0291,0.0097,0.0291
alq_Latn,0.0291,0.0074,0.0291
mtg_Latn,0.0291,0.0085,0.0291
sxb_Latn,0.0388,0.0118,0.0388
mwp_Latn,0.0291,0.0074,0.0291
sqi_Latn,0.6699,0.3736,0.6699
pww_Thai,0.0,0.0,0.0
yuj_Latn,0.0291,0.0038,0.0291
bmr_Latn,0.0291,0.0085,0.0291
swp_Latn,0.0583,0.0191,0.0583
mxb_Latn,0.0291,0.0079,0.0291
yss_Latn,0.0194,0.005,0.0194
omw_Latn,0.0097,0.0006,0.0097
nde_Latn,0.0971,0.0288,0.0971
gnw_Latn,0.0485,0.0121,0.0485
aak_Latn,0.0,0.0,0.0
mic_Latn,0.0097,0.0006,0.0097
urk_Thai,0.0291,0.0053,0.0291
agr_Latn,0.0291,0.0082,0.0291
bzj_Latn,0.2039,0.0724,0.2039
xnn_Latn,0.0485,0.0194,0.0485
ade_Latn,0.0194,0.005,0.0194
nak_Latn,0.0194,0.0044,0.0194
kpx_Latn,0.0291,0.0038,0.0291
tuo_Latn,0.0291,0.0044,0.0291
mux_Latn,0.0097,0.0006,0.0097
any_Latn,0.0097,0.0006,0.0097
amn_Latn,0.0194,0.0062,0.0194
mfq_Latn,0.0097,0.0024,0.0097
msa_Latn,0.2233,0.0638,0.2233
bef_Latn,0.0097,0.0003,0.0097
hae_Latn,0.0291,0.0085,0.0291
chd_Latn,0.0291,0.0088,0.0291
bba_Latn,0.0291,0.0068,0.0291
mwq_Latn,0.0291,0.0091,0.0291
dnj_Latn,0.0097,0.0009,0.0097
bav_Latn,0.0194,0.0071,0.0194
wsk_Latn,0.0291,0.0088,0.0291
khs_Latn,0.0194,0.0009,0.0194
xal_Cyrl,0.0194,0.0012,0.0194
alp_Latn,0.0388,0.0162,0.0388
ppk_Latn,0.0388,0.0153,0.0388
mav_Latn,0.0291,0.0032,0.0291
bwq_Latn,0.0097,0.0006,0.0097
knj_Latn,0.0194,0.0106,0.0194
aji_Latn,0.0291,0.0109,0.0291
kxc_Ethi,0.0,0.0,0.0
zga_Latn,0.0388,0.0121,0.0388
mkj_Latn,0.0388,0.0191,0.0388
asm_Beng,0.2816,0.0788,0.2816
sba_Latn,0.0194,0.0044,0.0194
cao_Latn,0.0097,0.0044,0.0097
bib_Latn,0.0194,0.0047,0.0194
csy_Latn,0.0291,0.0127,0.0291
yad_Latn,0.0194,0.0015,0.0194
