code,intfloat/multilingual-e5-base_max,intfloat/multilingual-e5-base_mean,avg
tem_Latn,0.068,0.0142,0.068
awa_Deva,0.9806,0.2659,0.9806
agn_Latn,0.1845,0.0269,0.1845
whk_Latn,0.0971,0.0217,0.0971
atg_Latn,0.0485,0.0045,0.0485
pne_Latn,0.0874,0.0164,0.0874
naw_Latn,0.0583,0.006,0.0583
kss_Latn,0.0097,0.0007,0.0097
kuj_Latn,0.1068,0.0134,0.1068
eza_Latn,0.2233,0.0276,0.2233
iri_Latn,0.0485,0.0134,0.0485
dyo_Latn,0.0388,0.0119,0.0388
bud_Latn,0.0388,0.0045,0.0388
tih_Latn,0.0777,0.0172,0.0777
guj_Gujr,0.9029,0.3406,0.9029
hay_Latn,0.6796,0.1516,0.6796
eus_Latn,0.2913,0.05,0.2913
tlf_Latn,0.0291,0.003,0.0291
ary_Arab,0.1845,0.0217,0.1845
huv_Latn,0.0583,0.0082,0.0583
mgr_Latn,0.6117,0.1165,0.6117
aoz_Latn,0.0583,0.0232,0.0583
rar_Latn,0.4369,0.0836,0.4369
tnn_Latn,0.0485,0.0052,0.0485
gso_Latn,0.0777,0.0127,0.0777
heh_Latn,0.301,0.0597,0.301
mya_Mymr,0.9515,0.2166,0.9515
mwl_Latn,0.9029,0.2584,0.9029
zae_Latn,0.0485,0.009,0.0485
xuo_Latn,0.0194,0.0037,0.0194
ebk_Latn,0.1456,0.0217,0.1456
bgr_Latn,0.4951,0.0657,0.4951
mak_Latn,0.2524,0.0306,0.2524
ubr_Latn,0.068,0.0142,0.068
yim_Latn,0.0583,0.0082,0.0583
tbk_Latn,0.1456,0.0172,0.1456
got_Latn,0.0971,0.0269,0.0971
tqb_Latn,0.0097,0.0007,0.0097
ktu_Latn,0.8835,0.2233,0.8835
hot_Latn,0.0388,0.0067,0.0388
yva_Latn,0.0485,0.0075,0.0485
car_Latn,0.0583,0.0119,0.0583
nsa_Latn,0.0971,0.0119,0.0971
mmn_Latn,0.1359,0.0284,0.1359
kbr_Latn,0.0583,0.0082,0.0583
ceb_Latn,0.8738,0.2114,0.8738
sue_Latn,0.0874,0.0097,0.0874
mzw_Latn,0.0971,0.0179,0.0971
tur_Latn,0.9903,0.3779,0.9903
deu_Latn,0.9223,0.3144,0.9223
ksr_Latn,0.0485,0.0067,0.0485
nav_Latn,0.0874,0.0097,0.0874
hnj_Latn,0.0,0.0,0.0
faa_Latn,0.0291,0.003,0.0291
qwh_Latn,0.3689,0.056,0.3689
mog_Latn,0.1262,0.0194,0.1262
mlp_Latn,0.0194,0.0052,0.0194
ghs_Latn,0.0291,0.003,0.0291
gbo_Latn,0.0097,0.0015,0.0097
top_Latn,0.0874,0.0097,0.0874
zsr_Latn,0.0583,0.0082,0.0583
cjp_Latn,0.068,0.0142,0.068
dip_Latn,0.2136,0.0373,0.2136
bvr_Latn,0.0291,0.0037,0.0291
ljp_Latn,0.4563,0.1031,0.4563
esk_Latn,0.068,0.0142,0.068
mcb_Latn,0.0291,0.003,0.0291
knv_Latn,0.0194,0.0015,0.0194
maj_Latn,0.0583,0.0082,0.0583
kma_Latn,0.0971,0.0119,0.0971
smo_Latn,0.8738,0.171,0.8738
lbj_Tibt,0.0097,0.0015,0.0097
bgs_Latn,0.0777,0.0194,0.0777
guw_Latn,0.1165,0.0209,0.1165
bdd_Latn,0.0388,0.0075,0.0388
mwm_Latn,0.0388,0.0045,0.0388
zad_Latn,0.0388,0.0075,0.0388
cko_Latn,0.0874,0.0134,0.0874
ium_Laoo,0.0,0.0,0.0
mmo_Latn,0.0097,0.0015,0.0097
gil_Latn,0.0388,0.0119,0.0388
yuw_Latn,0.0485,0.0067,0.0485
bkv_Latn,0.0194,0.006,0.0194
gyr_Latn,0.0874,0.0172,0.0874
cas_Latn,0.0291,0.003,0.0291
eka_Latn,0.0777,0.0149,0.0777
dad_Latn,0.068,0.0149,0.068
wol_Latn,0.7087,0.1479,0.7087
apw_Latn,0.068,0.0082,0.068
hil_Latn,0.8155,0.1882,0.8155
pib_Latn,0.0194,0.003,0.0194
nuy_Latn,0.0194,0.0022,0.0194
kdj_Latn,0.068,0.0157,0.068
