code,mistralai/Mistral-7B-v0.3_max,mistralai/Mistral-7B-v0.3_mean,avg
tbg_Latn,0.0097,0.0047,0.0097
kgp_Latn,0.0291,0.0074,0.0291
mhl_Latn,0.0194,0.0032,0.0194
rnl_Latn,0.0194,0.0053,0.0194
bmb_Latn,0.0291,0.0082,0.0291
kqy_Ethi,0.0,0.0,0.0
pio_Latn,0.0388,0.0085,0.0388
apz_Latn,0.0097,0.0006,0.0097
cbi_Latn,0.0194,0.0082,0.0194
yuz_Latn,0.0388,0.0091,0.0388
bhl_Latn,0.0,0.0,0.0
srn_Latn,0.0485,0.0203,0.0485
enb_Latn,0.0097,0.0074,0.0097
nsm_Latn,0.0291,0.0059,0.0291
rkb_Latn,0.0,0.0,0.0
sag_Latn,0.0291,0.01,0.0291
qvz_Latn,0.0194,0.0088,0.0194
zai_Latn,0.0194,0.0127,0.0194
mqy_Latn,0.0194,0.0079,0.0194
guz_Latn,0.0194,0.0109,0.0194
cnl_Latn,0.0291,0.0041,0.0291
lhu_Latn,0.0097,0.0009,0.0097
zty_Latn,0.0194,0.0053,0.0194
mco_Latn,0.0291,0.0076,0.0291
cmo_Khmr,0.0,0.0,0.0
hau_Latn,0.0291,0.0103,0.0291
kyc_Latn,0.0194,0.0032,0.0194
nog_Cyrl,0.0291,0.0082,0.0291
zca_Latn,0.0291,0.0068,0.0291
muh_Latn,0.0291,0.0044,0.0291
tlj_Latn,0.0097,0.0018,0.0097
ell_Grek,0.534,0.2371,0.534
fal_Latn,0.0194,0.01,0.0194
sco_Latn,0.466,0.1612,0.466
jid_Latn,0.0291,0.0135,0.0291
nbl_Latn,0.0388,0.01,0.0388
bis_Latn,0.068,0.0185,0.068
boj_Latn,0.0194,0.0044,0.0194
gng_Latn,0.0194,0.0059,0.0194
qul_Latn,0.0291,0.0179,0.0291
ifk_Latn,0.0291,0.0115,0.0291
dah_Latn,0.0194,0.0015,0.0194
kat_Geor,0.0291,0.0079,0.0291
fub_Latn,0.0194,0.0059,0.0194
acr_Latn,0.0291,0.0076,0.0291
tbf_Latn,0.0291,0.0103,0.0291
taq_Latn,0.0194,0.0029,0.0194
hak_Hani,0.3107,0.1059,0.3107
maf_Latn,0.0291,0.0127,0.0291
kmm_Latn,0.0194,0.0079,0.0194
azg_Latn,0.0097,0.0065,0.0097
ura_Latn,0.0097,0.0024,0.0097
bdh_Latn,0.0291,0.0062,0.0291
gvl_Latn,0.0194,0.0065,0.0194
nin_Latn,0.0194,0.0082,0.0194
zpi_Latn,0.0194,0.0059,0.0194
bsp_Latn,0.0097,0.0012,0.0097
pdt_Latn,0.0485,0.0129,0.0485
