code,mistralai/Mixtral-8x7B-v0.1_max,mistralai/Mixtral-8x7B-v0.1_mean,avg
ban_Latn,0.0194,0.0044,0.0194
nif_Latn,0.0097,0.0012,0.0097
hus_Latn,0.0194,0.0029,0.0194
mgw_Latn,0.0194,0.0079,0.0194
khk_Latn,0.0097,0.0059,0.0097
bqp_Latn,0.0097,0.0065,0.0097
tnk_Latn,0.0097,0.0035,0.0097
tke_Latn,0.0097,0.0021,0.0097
smk_Latn,0.0194,0.01,0.0194
pps_Latn,0.0097,0.0009,0.0097
mrg_Latn,0.0097,0.0065,0.0097
uri_Latn,0.0,0.0,0.0
trp_Latn,0.0097,0.0065,0.0097
qvs_Latn,0.0291,0.0074,0.0291
dtp_Latn,0.0194,0.0056,0.0194
kri_Latn,0.0485,0.0153,0.0485
nbe_Latn,0.0097,0.0012,0.0097
atb_Latn,0.0194,0.0021,0.0194
hnn_Latn,0.0388,0.0074,0.0388
ssx_Latn,0.0194,0.0038,0.0194
moc_Latn,0.0097,0.0035,0.0097
heb_Hebr,0.4466,0.2042,0.4466
lef_Latn,0.0097,0.0012,0.0097
mlt_Latn,0.0485,0.0191,0.0485
miz_Latn,0.0097,0.0006,0.0097
cux_Latn,0.0097,0.0047,0.0097
gnn_Latn,0.0097,0.0003,0.0097
zom_Latn,0.0194,0.0044,0.0194
tso_Latn,0.0194,0.0085,0.0194
vmy_Latn,0.0194,0.0053,0.0194
ben_Beng,0.1748,0.045,0.1748
gdr_Latn,0.0,0.0,0.0
xbr_Latn,0.0097,0.0015,0.0097
mcf_Latn,0.0,0.0,0.0
tim_Latn,0.0097,0.0047,0.0097
mfh_Latn,0.0097,0.0021,0.0097
loz_Latn,0.0291,0.0106,0.0291
mua_Latn,0.0194,0.0044,0.0194
nhy_Latn,0.0194,0.0053,0.0194
ike_Cans,0.0097,0.0024,0.0097
xpe_Latn,0.0097,0.0006,0.0097
gur_Latn,0.0194,0.0082,0.0194
ksw_Mymr,0.0097,0.0012,0.0097
pse_Latn,0.0291,0.0124,0.0291
ztq_Latn,0.0097,0.0006,0.0097
nyy_Latn,0.0097,0.0071,0.0097
mda_Latn,0.0,0.0,0.0
zaa_Latn,0.0194,0.0103,0.0194
bao_Latn,0.0097,0.0009,0.0097
bzi_Thai,0.0,0.0,0.0
ifb_Latn,0.0194,0.0059,0.0194
oji_Latn,0.0194,0.0035,0.0194
cav_Latn,0.0097,0.0047,0.0097
hop_Latn,0.0097,0.0003,0.0097
nse_Latn,0.0194,0.0085,0.0194
kaa_Latn,0.0194,0.0026,0.0194
tbo_Latn,0.0,0.0,0.0
sda_Latn,0.0291,0.0076,0.0291
mks_Latn,0.0194,0.0038,0.0194
lav_Latn,0.1456,0.0494,0.1456
trq_Latn,0.0194,0.0047,0.0194
neb_Latn,0.0097,0.0006,0.0097
swh_Latn,0.1845,0.0382,0.1845
daa_Latn,0.0097,0.0062,0.0097
kwf_Latn,0.0097,0.0062,0.0097
apr_Latn,0.0097,0.0056,0.0097
ceg_Latn,0.0097,0.005,0.0097
tsn_Latn,0.0291,0.0097,0.0291
xho_Latn,0.0291,0.0106,0.0291
fad_Latn,0.0194,0.0015,0.0194
nas_Latn,0.0097,0.0009,0.0097
nko_Latn,0.0097,0.0012,0.0097
nhx_Latn,0.0291,0.0068,0.0291
mfi_Latn,0.0097,0.0068,0.0097
tlb_Latn,0.0097,0.0076,0.0097
kjb_Latn,0.0291,0.0097,0.0291
reg_Latn,0.0194,0.0071,0.0194
sin_Sinh,0.0,0.0,0.0
yka_Latn,0.0097,0.005,0.0097
msy_Latn,0.0097,0.0012,0.0097
lgl_Latn,0.0194,0.0085,0.0194
quf_Latn,0.0194,0.0032,0.0194
uig_Cyrl,0.0194,0.0038,0.0194
kab_Latn,0.0097,0.0074,0.0097
bhg_Latn,0.0097,0.0038,0.0097
ifa_Latn,0.0194,0.0038,0.0194
taj_Deva,0.0194,0.0021,0.0194
fuh_Latn,0.0097,0.0009,0.0097
swk_Latn,0.0194,0.01,0.0194
jni_Latn,0.0097,0.0021,0.0097
agx_Cyrl,0.0097,0.0065,0.0097
kdl_Latn,0.0194,0.0059,0.0194
tbl_Latn,0.0194,0.0041,0.0194
nep_Deva,0.1456,0.0277,0.1456
kmg_Latn,0.0194,0.0053,0.0194
ubu_Latn,0.0097,0.0021,0.0097
izz_Latn,0.0,0.0,0.0
mal_Latn,0.0194,0.0041,0.0194
gvf_Latn,0.0,0.0,0.0
guq_Latn,0.0194,0.0065,0.0194
bel_Cyrl,0.3301,0.125,0.3301
kxw_Latn,0.0097,0.0015,0.0097
zab_Latn,0.0291,0.0071,0.0291
bre_Latn,0.0485,0.0132,0.0485
nzm_Latn,0.0097,0.0003,0.0097
alj_Latn,0.0194,0.0097,0.0194
lmp_Latn,0.0,0.0,0.0
gbi_Latn,0.0097,0.0029,0.0097
amu_Latn,0.0194,0.0026,0.0194
zpc_Latn,0.0194,0.0053,0.0194
wbp_Latn,0.0097,0.0006,0.0097
cjv_Latn,0.0097,0.0044,0.0097
nnb_Latn,0.0097,0.0009,0.0097
pap_Latn,0.0777,0.0321,0.0777
mpm_Latn,0.0194,0.0085,0.0194
slv_Latn,0.6699,0.3366,0.6699
mcd_Latn,0.0097,0.0009,0.0097
lia_Latn,0.0097,0.0006,0.0097
kbd_Cyrl,0.0097,0.0009,0.0097
tcs_Latn,0.0194,0.0053,0.0194
tpz_Latn,0.0097,0.0026,0.0097
suc_Latn,0.0097,0.0018,0.0097
boa_Latn,0.0,0.0,0.0
wnu_Latn,0.0097,0.0015,0.0097
des_Latn,0.0097,0.0006,0.0097
ria_Latn,0.0097,0.0059,0.0097
moa_Latn,0.0097,0.0035,0.0097
lat_Latn,0.9126,0.6361,0.9126
gor_Latn,0.0097,0.0056,0.0097
rmq_Latn,0.0291,0.0144,0.0291
ctd_Latn,0.0194,0.0059,0.0194
gle_Latn,0.1456,0.0321,0.1456
bmh_Latn,0.0097,0.0026,0.0097
ven_Latn,0.0097,0.0003,0.0097
asg_Latn,0.0097,0.0006,0.0097
kwd_Latn,0.0097,0.0018,0.0097
krj_Latn,0.1068,0.0229,0.1068
bkq_Latn,0.0194,0.0118,0.0194
cat_Latn,0.7864,0.4916,0.7864
cbc_Latn,0.0097,0.0015,0.0097
dgz_Latn,0.0097,0.0003,0.0097
myv_Cyrl,0.0194,0.0053,0.0194
qug_Latn,0.0097,0.0012,0.0097
dts_Latn,0.0097,0.0012,0.0097
lgm_Latn,0.0,0.0,0.0
tdt_Latn,0.0291,0.0135,0.0291
kac_Latn,0.0097,0.0032,0.0097
yor_Latn,0.0194,0.0082,0.0194
yle_Latn,0.0,0.0,0.0
zac_Latn,0.0194,0.0074,0.0194
bam_Latn,0.0194,0.0109,0.0194
bgt_Latn,0.0194,0.0082,0.0194
gup_Latn,0.0194,0.0088,0.0194
mam_Latn,0.0194,0.0076,0.0194
cmn_Hani,0.7573,0.4501,0.7573
zul_Latn,0.0485,0.0159,0.0485
dyi_Latn,0.0097,0.0026,0.0097
wwa_Latn,0.0097,0.0015,0.0097
hrv_Latn,0.6408,0.3375,0.6408
nxd_Latn,0.0194,0.0076,0.0194
wro_Latn,0.0194,0.0076,0.0194
kiw_Latn,0.0097,0.0012,0.0097
mfk_Latn,0.0097,0.0032,0.0097
hto_Latn,0.0097,0.0029,0.0097
itv_Latn,0.0291,0.0115,0.0291
kck_Latn,0.0291,0.0115,0.0291
kxm_Thai,0.0194,0.0026,0.0194
cpu_Latn,0.0291,0.0091,0.0291
lee_Latn,0.0097,0.0074,0.0097
naq_Latn,0.0097,0.0006,0.0097
ghe_Deva,0.0194,0.005,0.0194
ata_Latn,0.0,0.0,0.0
ziw_Latn,0.0097,0.0047,0.0097
dar_Cyrl,0.0097,0.0009,0.0097
blw_Latn,0.0194,0.0085,0.0194
miy_Latn,0.0097,0.0003,0.0097
bvr_Latn,0.0097,0.0035,0.0097
esk_Latn,0.0194,0.0088,0.0194
ljp_Latn,0.0388,0.0156,0.0388
mcb_Latn,0.0097,0.0024,0.0097
dip_Latn,0.0194,0.0009,0.0194
cjp_Latn,0.0194,0.0088,0.0194
gbo_Latn,0.0,0.0,0.0
top_Latn,0.0097,0.0065,0.0097
zsr_Latn,0.0194,0.0026,0.0194
mog_Latn,0.0291,0.0047,0.0291
qwh_Latn,0.0291,0.0109,0.0291
faa_Latn,0.0,0.0,0.0
mlp_Latn,0.0097,0.0003,0.0097
ghs_Latn,0.0097,0.0006,0.0097
tur_Latn,0.2524,0.085,0.2524
ksr_Latn,0.0097,0.0015,0.0097
deu_Latn,0.8738,0.5684,0.8738
hnj_Latn,0.0097,0.0009,0.0097
nav_Latn,0.0097,0.0018,0.0097
ceb_Latn,0.2039,0.0459,0.2039
sue_Latn,0.0097,0.0024,0.0097
mzw_Latn,0.0194,0.0065,0.0194
nuy_Latn,0.0097,0.0015,0.0097
kdj_Latn,0.0097,0.0006,0.0097
las_Latn,0.0097,0.0041,0.0097
cwt_Latn,0.0291,0.0038,0.0291
eka_Latn,0.0097,0.0009,0.0097
wol_Latn,0.0097,0.0012,0.0097
dad_Latn,0.0097,0.0009,0.0097
pib_Latn,0.0097,0.0018,0.0097
hil_Latn,0.1165,0.0353,0.1165
apw_Latn,0.0097,0.0009,0.0097
yuw_Latn,0.0,0.0,0.0
bkv_Latn,0.0097,0.0065,0.0097
cas_Latn,0.0097,0.0003,0.0097
gyr_Latn,0.0097,0.005,0.0097
ium_Laoo,0.0097,0.0024,0.0097
mmo_Latn,0.0,0.0,0.0
gil_Latn,0.0097,0.0041,0.0097
zad_Latn,0.0097,0.0018,0.0097
mwm_Latn,0.0097,0.0038,0.0097
cko_Latn,0.0194,0.005,0.0194
bgs_Latn,0.0194,0.0079,0.0194
lbj_Tibt,0.0097,0.0018,0.0097
guw_Latn,0.0097,0.0041,0.0097
bdd_Latn,0.0097,0.0079,0.0097
maj_Latn,0.0097,0.0032,0.0097
knv_Latn,0.0194,0.0062,0.0194
smo_Latn,0.0291,0.0065,0.0291
kma_Latn,0.0097,0.0006,0.0097
tlf_Latn,0.0,0.0,0.0
eus_Latn,0.0485,0.0115,0.0485
ary_Arab,0.0583,0.0127,0.0583
guj_Gujr,0.068,0.0091,0.068
hay_Latn,0.0194,0.0056,0.0194
dyo_Latn,0.0097,0.0059,0.0097
bud_Latn,0.0194,0.0047,0.0194
tih_Latn,0.0194,0.0094,0.0194
eza_Latn,0.0097,0.0029,0.0097
iri_Latn,0.0097,0.0071,0.0097
kuj_Latn,0.0097,0.0044,0.0097
whk_Latn,0.0194,0.0062,0.0194
atg_Latn,0.0097,0.0015,0.0097
pne_Latn,0.0291,0.0082,0.0291
naw_Latn,0.0097,0.0009,0.0097
kss_Latn,0.0194,0.0053,0.0194
tem_Latn,0.0097,0.0062,0.0097
agn_Latn,0.0291,0.0109,0.0291
awa_Deva,0.1359,0.0271,0.1359
nsa_Latn,0.0097,0.0003,0.0097
kbr_Latn,0.0097,0.0003,0.0097
mmn_Latn,0.0097,0.0003,0.0097
car_Latn,0.0097,0.0068,0.0097
yva_Latn,0.0194,0.0053,0.0194
hot_Latn,0.0097,0.0006,0.0097
tqb_Latn,0.0,0.0,0.0
ktu_Latn,0.0097,0.0026,0.0097
tbk_Latn,0.0194,0.0041,0.0194
got_Latn,0.0777,0.0194,0.0777
mak_Latn,0.0194,0.005,0.0194
ubr_Latn,0.0194,0.0076,0.0194
yim_Latn,0.0097,0.0003,0.0097
ebk_Latn,0.0194,0.0118,0.0194
bgr_Latn,0.0097,0.0026,0.0097
heh_Latn,0.0097,0.0044,0.0097
gso_Latn,0.0194,0.0053,0.0194
zae_Latn,0.0194,0.0035,0.0194
mwl_Latn,0.233,0.1147,0.233
mya_Mymr,0.0291,0.0035,0.0291
xuo_Latn,0.0097,0.0047,0.0097
huv_Latn,0.0097,0.0009,0.0097
mgr_Latn,0.0194,0.0088,0.0194
tnn_Latn,0.0097,0.0003,0.0097
rar_Latn,0.0485,0.0132,0.0485
aoz_Latn,0.0194,0.0127,0.0194
srp_Cyrl,0.7767,0.3972,0.7767
ndz_Latn,0.0097,0.0009,0.0097
myb_Latn,0.0194,0.0085,0.0194
kew_Latn,0.0097,0.0059,0.0097
sey_Latn,0.0194,0.0035,0.0194
agm_Latn,0.0,0.0,0.0
mhr_Cyrl,0.0194,0.0088,0.0194
bjk_Latn,0.0194,0.0068,0.0194
ksp_Latn,0.0194,0.0079,0.0194
atd_Latn,0.0291,0.01,0.0291
nbc_Latn,0.0097,0.0068,0.0097
kpg_Latn,0.0097,0.0012,0.0097
ojs_Cans,0.0097,0.0006,0.0097
mug_Latn,0.0097,0.0047,0.0097
syb_Latn,0.0291,0.0071,0.0291
mvp_Latn,0.0291,0.0071,0.0291
kje_Latn,0.0194,0.0062,0.0194
arz_Arab,0.5922,0.188,0.5922
tik_Latn,0.0097,0.0003,0.0097
bug_Latn,0.0097,0.0059,0.0097
akh_Latn,0.0097,0.0003,0.0097
esi_Latn,0.0194,0.0015,0.0194
usp_Latn,0.0194,0.0082,0.0194
dje_Latn,0.0097,0.0085,0.0097
pbc_Latn,0.0194,0.0056,0.0194
xsu_Latn,0.0097,0.0021,0.0097
aeb_Arab,0.0777,0.0194,0.0777
wer_Latn,0.0,0.0,0.0
dhm_Latn,0.0097,0.0032,0.0097
btx_Latn,0.0291,0.015,0.0291
mah_Latn,0.0194,0.0059,0.0194
fon_Latn,0.0097,0.0009,0.0097
cop_Copt,0.0097,0.0006,0.0097
aln_Latn,0.1942,0.0553,0.1942
huu_Latn,0.0194,0.0079,0.0194
chz_Latn,0.0194,0.0035,0.0194
poy_Latn,0.0194,0.0062,0.0194
enm_Latn,0.7961,0.5246,0.7961
caq_Latn,0.0097,0.0003,0.0097
ife_Latn,0.0097,0.0018,0.0097
qub_Latn,0.0194,0.0041,0.0194
kbq_Latn,0.0,0.0,0.0
afr_Latn,0.5243,0.2621,0.5243
crx_Latn,0.0194,0.0047,0.0194
xon_Latn,0.0194,0.0088,0.0194
cta_Latn,0.0097,0.0015,0.0097
nfr_Latn,0.0194,0.0065,0.0194
apu_Latn,0.0097,0.0029,0.0097
hin_Latn,0.1456,0.035,0.1456
kpv_Cyrl,0.0194,0.0029,0.0194
kpf_Latn,0.0194,0.0026,0.0194
mkd_Cyrl,0.6117,0.3071,0.6117
teo_Latn,0.0194,0.0024,0.0194
aau_Latn,0.0097,0.0024,0.0097
irk_Latn,0.0194,0.0079,0.0194
crh_Cyrl,0.0388,0.0112,0.0388
bex_Latn,0.0097,0.0029,0.0097
nng_Latn,0.0097,0.0015,0.0097
pbb_Latn,0.0097,0.0053,0.0097
dis_Latn,0.0194,0.005,0.0194
bfo_Latn,0.0194,0.0006,0.0194
mca_Latn,0.0194,0.0044,0.0194
lid_Latn,0.0097,0.0035,0.0097
tos_Latn,0.0097,0.0009,0.0097
nki_Latn,0.0097,0.0047,0.0097
nia_Latn,0.0,0.0,0.0
syc_Syrc,0.0194,0.0009,0.0194
sml_Latn,0.0097,0.0041,0.0097
aia_Latn,0.0194,0.0091,0.0194
gej_Latn,0.0097,0.0041,0.0097
gvc_Latn,0.0097,0.0003,0.0097
apt_Latn,0.0194,0.005,0.0194
kdi_Latn,0.0291,0.0074,0.0291
gla_Latn,0.1359,0.035,0.1359
vut_Latn,0.0194,0.0015,0.0194
quc_Latn,0.0291,0.0053,0.0291
ium_Latn,0.0097,0.0065,0.0097
kbp_Latn,0.0097,0.0032,0.0097
cap_Latn,0.0097,0.0015,0.0097
lww_Latn,0.0,0.0,0.0
enl_Latn,0.0097,0.0021,0.0097
bku_Latn,0.0194,0.0047,0.0194
wiv_Latn,0.0194,0.0038,0.0194
yut_Latn,0.0,0.0,0.0
hla_Latn,0.0194,0.0094,0.0194
sco_Latn,0.3495,0.1418,0.3495
jid_Latn,0.0097,0.0088,0.0097
fal_Latn,0.0194,0.0056,0.0194
nbl_Latn,0.0291,0.01,0.0291
bis_Latn,0.0874,0.0232,0.0874
boj_Latn,0.0097,0.0006,0.0097
gng_Latn,0.0097,0.0006,0.0097
cmo_Khmr,0.0097,0.0003,0.0097
mco_Latn,0.0194,0.0044,0.0194
hau_Latn,0.0291,0.0082,0.0291
nog_Cyrl,0.0291,0.0071,0.0291
zca_Latn,0.0097,0.0032,0.0097
muh_Latn,0.0097,0.0056,0.0097
kyc_Latn,0.0097,0.0003,0.0097
ell_Grek,0.6505,0.3222,0.6505
tlj_Latn,0.0194,0.0038,0.0194
zai_Latn,0.0194,0.0097,0.0194
cnl_Latn,0.0194,0.0012,0.0194
mqy_Latn,0.0194,0.0082,0.0194
guz_Latn,0.0097,0.0062,0.0097
lhu_Latn,0.0,0.0,0.0
zty_Latn,0.0097,0.0003,0.0097
rnl_Latn,0.0097,0.0065,0.0097
tbg_Latn,0.0097,0.0026,0.0097
mhl_Latn,0.0097,0.0003,0.0097
kgp_Latn,0.0194,0.0035,0.0194
bmb_Latn,0.0194,0.0062,0.0194
apz_Latn,0.0,0.0,0.0
pio_Latn,0.0291,0.0076,0.0291
kqy_Ethi,0.0097,0.0012,0.0097
srn_Latn,0.0291,0.0179,0.0291
enb_Latn,0.0097,0.0053,0.0097
