code,jhu-clsp/mmBERT-base_max,jhu-clsp/mmBERT-base_mean,avg
zar_Latn,0.0194,0.003,0.0194
khy_Latn,0.0194,0.0055,0.0194
alz_Latn,0.0388,0.011,0.0388
aom_Latn,0.0194,0.003,0.0194
bru_Latn,0.0,0.0,0.0
snn_Latn,0.0097,0.0004,0.0097
mqb_Latn,0.0097,0.0004,0.0097
cnw_Latn,0.0194,0.0051,0.0194
ach_Latn,0.0194,0.0038,0.0194
ctu_Latn,0.0097,0.0004,0.0097
kgk_Latn,0.0097,0.0004,0.0097
qva_Latn,0.0194,0.0051,0.0194
sbk_Latn,0.0388,0.0101,0.0388
giz_Latn,0.0194,0.0042,0.0194
cbr_Latn,0.0097,0.0008,0.0097
nch_Latn,0.0194,0.003,0.0194
yua_Latn,0.0194,0.0034,0.0194
hlt_Latn,0.0097,0.0004,0.0097
ign_Latn,0.0097,0.0013,0.0097
ksd_Latn,0.0485,0.0182,0.0485
nri_Latn,0.0194,0.0055,0.0194
yby_Latn,0.0,0.0,0.0
ntp_Latn,0.0,0.0,0.0
tcc_Latn,0.0194,0.0042,0.0194
lcm_Latn,0.0194,0.0055,0.0194
mih_Latn,0.0097,0.0034,0.0097
yan_Latn,0.0194,0.0046,0.0194
kvj_Latn,0.0097,0.0004,0.0097
mza_Latn,0.0097,0.0004,0.0097
sus_Latn,0.0097,0.003,0.0097
dif_Latn,0.0291,0.0072,0.0291
gwi_Latn,0.0194,0.0021,0.0194
bem_Latn,0.0485,0.0203,0.0485
ikk_Latn,0.0097,0.0017,0.0097
qxl_Latn,0.0097,0.0021,0.0097
bvd_Latn,0.0097,0.0013,0.0097
soq_Latn,0.0097,0.0025,0.0097
hye_Armn,0.1165,0.0228,0.1165
pri_Latn,0.0097,0.0004,0.0097
ahk_Latn,0.0,0.0,0.0
bus_Latn,0.0097,0.0038,0.0097
ptp_Latn,0.0097,0.0021,0.0097
ame_Latn,0.0097,0.0017,0.0097
tof_Latn,0.0097,0.0021,0.0097
pwg_Latn,0.0097,0.0013,0.0097
bsj_Latn,0.0388,0.0068,0.0388
khm_Khmr,0.0291,0.0038,0.0291
mbj_Latn,0.0,0.0,0.0
bqc_Latn,0.0097,0.0046,0.0097
rad_Latn,0.0194,0.0076,0.0194
njb_Latn,0.0194,0.0038,0.0194
zas_Latn,0.0194,0.0046,0.0194
bbj_Latn,0.0097,0.0034,0.0097
wib_Latn,0.0097,0.0017,0.0097
enx_Latn,0.0097,0.0025,0.0097
pol_Latn,0.6311,0.1959,0.6311
kum_Cyrl,0.0291,0.0084,0.0291
mmx_Latn,0.0194,0.0042,0.0194
quw_Latn,0.0291,0.0059,0.0291
hye_Latn,0.0097,0.0008,0.0097
trc_Latn,0.0,0.0,0.0
ndo_Latn,0.0097,0.0059,0.0097
iba_Latn,0.1068,0.0321,0.1068
sur_Latn,0.0194,0.0051,0.0194
uig_Latn,0.0194,0.0055,0.0194
cuk_Latn,0.0194,0.003,0.0194
yao_Latn,0.0097,0.0013,0.0097
kff_Telu,0.0,0.0,0.0
mop_Latn,0.0097,0.0004,0.0097
leu_Latn,0.0097,0.0021,0.0097
uli_Latn,0.0194,0.0093,0.0194
tue_Latn,0.0,0.0,0.0
ind_Latn,0.7379,0.3056,0.7379
mur_Latn,0.0097,0.0004,0.0097
obo_Latn,0.0194,0.0068,0.0194
ory_Orya,0.0194,0.003,0.0194
xav_Latn,0.0,0.0,0.0
sop_Latn,0.0291,0.0084,0.0291
mcu_Latn,0.0097,0.0004,0.0097
lip_Latn,0.0097,0.0008,0.0097
dig_Latn,0.0388,0.0127,0.0388
msk_Latn,0.0291,0.0118,0.0291
tgp_Latn,0.0388,0.0173,0.0388
ldi_Latn,0.0194,0.0051,0.0194
crn_Latn,0.0097,0.0004,0.0097
nst_Latn,0.0097,0.0025,0.0097
qvc_Latn,0.0,0.0,0.0
dww_Latn,0.0097,0.0055,0.0097
cag_Latn,0.0194,0.003,0.0194
ncj_Latn,0.0194,0.0093,0.0194
dgi_Latn,0.0097,0.0013,0.0097
stn_Latn,0.0,0.0,0.0
hix_Latn,0.0,0.0,0.0
glv_Latn,0.0485,0.0106,0.0485
xsr_Deva,0.0,0.0,0.0
mbi_Latn,0.0097,0.0004,0.0097
tku_Latn,0.0097,0.0008,0.0097
mrw_Latn,0.0194,0.0076,0.0194
guc_Latn,0.0097,0.0021,0.0097
ilo_Latn,0.0194,0.0084,0.0194
xed_Latn,0.0097,0.0004,0.0097
shu_Latn,0.0097,0.0042,0.0097
cym_Latn,0.2136,0.0477,0.2136
kjs_Latn,0.0291,0.003,0.0291
grt_Beng,0.0097,0.003,0.0097
zpq_Latn,0.0194,0.003,0.0194
nhi_Latn,0.0388,0.0072,0.0388
gqr_Latn,0.0097,0.0038,0.0097
