code,Qwen/Qwen3.5-9B-Base_max,Qwen/Qwen3.5-9B-Base_mean,avg
tbo_Latn,0.0194,0.0065,0.0194
mks_Latn,0.0194,0.0032,0.0194
sda_Latn,0.0291,0.0144,0.0291
lav_Latn,0.6408,0.3575,0.6408
trq_Latn,0.0194,0.0091,0.0194
neb_Latn,0.0097,0.0003,0.0097
daa_Latn,0.0194,0.0026,0.0194
swh_Latn,0.4951,0.2145,0.4951
kwf_Latn,0.0194,0.0047,0.0194
apr_Latn,0.0194,0.0021,0.0194
ifb_Latn,0.0194,0.0074,0.0194
oji_Latn,0.0291,0.0082,0.0291
cav_Latn,0.0291,0.0079,0.0291
hop_Latn,0.0194,0.0041,0.0194
nse_Latn,0.0971,0.0309,0.0971
kaa_Latn,0.2621,0.093,0.2621
nyy_Latn,0.0097,0.0018,0.0097
mda_Latn,0.0097,0.0021,0.0097
zaa_Latn,0.0291,0.0124,0.0291
bzi_Thai,0.0194,0.0082,0.0194
bao_Latn,0.0194,0.0074,0.0194
ike_Cans,0.0097,0.0038,0.0097
xpe_Latn,0.0,0.0,0.0
gur_Latn,0.0291,0.0071,0.0291
ksw_Mymr,0.0097,0.0006,0.0097
pse_Latn,0.1165,0.0371,0.1165
ztq_Latn,0.0291,0.0085,0.0291
reg_Latn,0.0291,0.0085,0.0291
yka_Latn,0.0291,0.0079,0.0291
sin_Sinh,0.2427,0.0827,0.2427
msy_Latn,0.0194,0.0032,0.0194
nko_Latn,0.0194,0.0044,0.0194
nhx_Latn,0.0291,0.0106,0.0291
mfi_Latn,0.0291,0.0074,0.0291
tlb_Latn,0.0291,0.0085,0.0291
kjb_Latn,0.0291,0.0121,0.0291
fad_Latn,0.0291,0.0085,0.0291
nas_Latn,0.0194,0.0021,0.0194
tsn_Latn,0.2524,0.1006,0.2524
ceg_Latn,0.0291,0.0071,0.0291
xho_Latn,0.1845,0.0694,0.1845
qvs_Latn,0.0874,0.0244,0.0874
dtp_Latn,0.0194,0.0056,0.0194
kri_Latn,0.1359,0.0438,0.1359
trp_Latn,0.0194,0.0041,0.0194
tke_Latn,0.0388,0.0141,0.0388
smk_Latn,0.0388,0.0159,0.0388
pps_Latn,0.0291,0.0082,0.0291
mrg_Latn,0.0097,0.0015,0.0097
uri_Latn,0.0097,0.0006,0.0097
ban_Latn,0.1068,0.0374,0.1068
nif_Latn,0.0097,0.0006,0.0097
hus_Latn,0.0291,0.0074,0.0291
mgw_Latn,0.0291,0.0076,0.0291
bqp_Latn,0.0194,0.0021,0.0194
