code,Qwen/Qwen3-0.6B_max,Qwen/Qwen3-0.6B_mean,avg
nde_Latn,0.0097,0.0017,0.0097
omw_Latn,0.0097,0.0003,0.0097
urk_Thai,0.0,0.0,0.0
mic_Latn,0.0097,0.0007,0.0097
aak_Latn,0.0097,0.0003,0.0097
gnw_Latn,0.0097,0.0007,0.0097
ade_Latn,0.0097,0.0023,0.0097
xnn_Latn,0.0097,0.0084,0.0097
bzj_Latn,0.0194,0.0077,0.0194
agr_Latn,0.0097,0.0013,0.0097
tuo_Latn,0.0,0.0,0.0
kpx_Latn,0.0097,0.0003,0.0097
nak_Latn,0.0097,0.002,0.0097
mux_Latn,0.0,0.0,0.0
mfq_Latn,0.0097,0.0003,0.0097
amn_Latn,0.0194,0.002,0.0194
any_Latn,0.0097,0.0003,0.0097
hae_Latn,0.0097,0.0003,0.0097
bef_Latn,0.0,0.0,0.0
msa_Latn,0.0485,0.008,0.0485
maw_Latn,0.0097,0.0003,0.0097
knk_Latn,0.0097,0.001,0.0097
eri_Latn,0.0097,0.0013,0.0097
thk_Latn,0.0,0.0,0.0
lmk_Latn,0.0194,0.003,0.0194
alq_Latn,0.0194,0.0027,0.0194
nya_Latn,0.0097,0.002,0.0097
mwp_Latn,0.0097,0.001,0.0097
sxb_Latn,0.0097,0.0007,0.0097
mtg_Latn,0.0097,0.0027,0.0097
pww_Thai,0.0,0.0,0.0
yuj_Latn,0.0097,0.0007,0.0097
sqi_Latn,0.0485,0.0084,0.0485
yss_Latn,0.0097,0.006,0.0097
mxb_Latn,0.0097,0.0013,0.0097
swp_Latn,0.0097,0.004,0.0097
bmr_Latn,0.0097,0.0017,0.0097
bib_Latn,0.0097,0.0007,0.0097
csy_Latn,0.0194,0.0013,0.0194
mib_Latn,0.0097,0.0047,0.0097
bxr_Cyrl,0.0097,0.002,0.0097
yad_Latn,0.0,0.0,0.0
tsw_Latn,0.0194,0.0047,0.0194
mzk_Latn,0.0194,0.008,0.0194
nmo_Latn,0.0097,0.0033,0.0097
clu_Latn,0.0388,0.0121,0.0388
chu_Cyrl,0.2233,0.0529,0.2233
sll_Latn,0.0097,0.0003,0.0097
amo_Latn,0.0194,0.003,0.0194
lob_Latn,0.0,0.0,0.0
hwc_Latn,0.3495,0.1332,0.3495
mvn_Latn,0.0194,0.0037,0.0194
muy_Latn,0.0,0.0,0.0
xtm_Latn,0.0097,0.0047,0.0097
bav_Latn,0.0097,0.003,0.0097
mwq_Latn,0.0097,0.0003,0.0097
dnj_Latn,0.0,0.0,0.0
bba_Latn,0.0097,0.0013,0.0097
chd_Latn,0.0291,0.0047,0.0291
alp_Latn,0.0097,0.0017,0.0097
xal_Cyrl,0.0097,0.003,0.0097
khs_Latn,0.0,0.0,0.0
wsk_Latn,0.0097,0.001,0.0097
aji_Latn,0.0097,0.0033,0.0097
bwq_Latn,0.0,0.0,0.0
knj_Latn,0.0291,0.0044,0.0291
mav_Latn,0.0,0.0,0.0
ppk_Latn,0.0291,0.0067,0.0291
zga_Latn,0.0097,0.0023,0.0097
kxc_Ethi,0.0,0.0,0.0
mkj_Latn,0.0194,0.01,0.0194
asm_Beng,0.0194,0.0023,0.0194
sba_Latn,0.0097,0.001,0.0097
cao_Latn,0.0097,0.0017,0.0097
est_Latn,0.0291,0.0084,0.0291
chv_Cyrl,0.0097,0.001,0.0097
hag_Latn,0.0,0.0,0.0
mpt_Latn,0.0,0.0,0.0
wbi_Latn,0.0097,0.001,0.0097
xtn_Latn,0.0097,0.0037,0.0097
kzf_Latn,0.0194,0.006,0.0194
dov_Latn,0.0097,0.0003,0.0097
kyq_Latn,0.0097,0.0003,0.0097
aze_Cyrl,0.0,0.0,0.0
cjo_Latn,0.0,0.0,0.0
gag_Latn,0.0485,0.0174,0.0485
too_Latn,0.0194,0.004,0.0194
bsc_Latn,0.0097,0.002,0.0097
zsm_Latn,0.068,0.0218,0.068
zpz_Latn,0.0097,0.004,0.0097
zho_Hani,0.2913,0.0964,0.2913
bzh_Latn,0.0194,0.0013,0.0194
jiv_Latn,0.0,0.0,0.0
mox_Latn,0.0097,0.002,0.0097
bjv_Latn,0.0097,0.0003,0.0097
vag_Latn,0.0097,0.0017,0.0097
tum_Latn,0.0194,0.0023,0.0194
kpz_Latn,0.0194,0.0013,0.0194
mzh_Latn,0.0097,0.0023,0.0097
krc_Cyrl,0.0097,0.001,0.0097
ngp_Latn,0.0194,0.0013,0.0194
ndg_Latn,0.0097,0.0013,0.0097
box_Latn,0.0097,0.0003,0.0097
aai_Latn,0.0097,0.0027,0.0097
cuc_Latn,0.0097,0.0033,0.0097
aca_Latn,0.0097,0.0017,0.0097
fuq_Latn,0.0097,0.0007,0.0097
wos_Latn,0.0097,0.001,0.0097
bki_Latn,0.0097,0.0003,0.0097
nca_Latn,0.0194,0.0013,0.0194
pls_Latn,0.0194,0.008,0.0194
kqe_Latn,0.0097,0.002,0.0097
ozm_Latn,0.0097,0.0007,0.0097
nph_Latn,0.0097,0.001,0.0097
qvh_Latn,0.0097,0.005,0.0097
ewe_Latn,0.0097,0.0013,0.0097
tnp_Latn,0.0,0.0,0.0
udu_Latn,0.0,0.0,0.0
fij_Latn,0.0097,0.0003,0.0097
jbu_Latn,0.0,0.0,0.0
guh_Latn,0.0097,0.0003,0.0097
mbb_Latn,0.0097,0.0013,0.0097
mau_Latn,0.0097,0.001,0.0097
mee_Latn,0.0097,0.0007,0.0097
ton_Latn,0.0097,0.001,0.0097
amm_Latn,0.0,0.0,0.0
kin_Latn,0.0194,0.0067,0.0194
dow_Latn,0.0097,0.0007,0.0097
msb_Latn,0.0194,0.0074,0.0194
pah_Latn,0.0097,0.0003,0.0097
rub_Latn,0.0097,0.0013,0.0097
tuk_Arab,0.0,0.0,0.0
esu_Latn,0.0291,0.004,0.0291
soy_Latn,0.0,0.0,0.0
tgk_Cyrl,0.0,0.0,0.0
mjw_Latn,0.0097,0.005,0.0097
kek_Latn,0.0097,0.002,0.0097
cub_Latn,0.0,0.0,0.0
ava_Cyrl,0.0,0.0,0.0
cce_Latn,0.0097,0.0027,0.0097
hne_Deva,0.0097,0.0013,0.0097
zyp_Latn,0.0097,0.0007,0.0097
ter_Latn,0.0097,0.0007,0.0097
kbm_Latn,0.0097,0.0003,0.0097
qvi_Latn,0.0097,0.0023,0.0097
mnf_Latn,0.0,0.0,0.0
sat_Latn,0.0097,0.0013,0.0097
aey_Latn,0.0097,0.0003,0.0097
poe_Latn,0.0097,0.0057,0.0097
enq_Latn,0.0194,0.0013,0.0194
dgc_Latn,0.0194,0.01,0.0194
ify_Latn,0.0194,0.0104,0.0194
bmq_Latn,0.0097,0.0017,0.0097
ktj_Latn,0.0,0.0,0.0
tac_Latn,0.0097,0.0007,0.0097
lam_Latn,0.0097,0.001,0.0097
ycn_Latn,0.0097,0.0007,0.0097
btd_Latn,0.0291,0.0074,0.0291
mbc_Latn,0.0,0.0,0.0
kjh_Cyrl,0.0097,0.0023,0.0097
snf_Latn,0.0097,0.0023,0.0097
for_Latn,0.0097,0.0007,0.0097
xsi_Latn,0.0,0.0,0.0
gui_Latn,0.0194,0.0027,0.0194
mqj_Latn,0.0194,0.0054,0.0194
bbc_Latn,0.0194,0.007,0.0194
chf_Latn,0.0194,0.0074,0.0194
rus_Cyrl,0.6408,0.2323,0.6408
jac_Latn,0.0097,0.003,0.0097
hui_Latn,0.0,0.0,0.0
bqj_Latn,0.0097,0.0023,0.0097
sas_Latn,0.0194,0.0064,0.0194
mna_Latn,0.0097,0.0007,0.0097
qvn_Latn,0.0194,0.0044,0.0194
sbd_Latn,0.0,0.0,0.0
quy_Latn,0.0194,0.006,0.0194
kqc_Latn,0.0194,0.002,0.0194
plu_Latn,0.0194,0.0023,0.0194
apn_Latn,0.0,0.0,0.0
mhx_Latn,0.0,0.0,0.0
vun_Latn,0.0097,0.0007,0.0097
rmo_Latn,0.0097,0.007,0.0097
laj_Latn,0.0194,0.002,0.0194
isn_Latn,0.0097,0.0013,0.0097
kno_Latn,0.0,0.0,0.0
sna_Latn,0.0097,0.002,0.0097
mas_Latn,0.0194,0.0054,0.0194
mbd_Latn,0.0097,0.0023,0.0097
lzh_Hani,0.2039,0.084,0.2039
gun_Latn,0.0194,0.0037,0.0194
cmo_Latn,0.0,0.0,0.0
urt_Latn,0.0097,0.002,0.0097
nob_Latn,0.4466,0.1202,0.4466
cha_Latn,0.0194,0.0037,0.0194
hun_Latn,0.0971,0.0194,0.0971
fil_Latn,0.0583,0.0174,0.0583
sig_Latn,0.0097,0.0003,0.0097
bpr_Latn,0.0097,0.0023,0.0097
toi_Latn,0.0097,0.0017,0.0097
log_Latn,0.0097,0.001,0.0097
gaa_Latn,0.0194,0.0044,0.0194
kor_Hang,0.233,0.0442,0.233
dop_Latn,0.0097,0.0007,0.0097
nhd_Latn,0.0194,0.0013,0.0194
kan_Knda,0.0,0.0,0.0
mse_Latn,0.0097,0.001,0.0097
prf_Latn,0.0291,0.0104,0.0291
mig_Latn,0.0097,0.0003,0.0097
abx_Latn,0.0194,0.002,0.0194
yaa_Latn,0.0,0.0,0.0
myy_Latn,0.0097,0.004,0.0097
ibo_Latn,0.0194,0.002,0.0194
big_Latn,0.0,0.0,0.0
tuk_Latn,0.0097,0.0013,0.0097
hns_Latn,0.0,0.0,0.0
dur_Latn,0.0,0.0,0.0
acf_Latn,0.0097,0.0013,0.0097
rmn_Latn,0.0097,0.0027,0.0097
mhy_Latn,0.0194,0.0154,0.0194
dru_Latn,0.0097,0.0023,0.0097
gom_Latn,0.0097,0.0017,0.0097
fuv_Latn,0.0097,0.0013,0.0097
mal_Mlym,0.0097,0.0003,0.0097
ktb_Ethi,0.0097,0.0007,0.0097
plt_Latn,0.0097,0.002,0.0097
cak_Latn,0.0097,0.0023,0.0097
qvo_Latn,0.0194,0.0017,0.0194
npo_Latn,0.0097,0.0003,0.0097
etu_Latn,0.0,0.0,0.0
pua_Latn,0.0097,0.0054,0.0097
jae_Latn,0.0,0.0,0.0
yom_Latn,0.0097,0.0007,0.0097
bul_Cyrl,0.4757,0.0934,0.4757
bar_Latn,0.0388,0.0151,0.0388
njm_Latn,0.0,0.0,0.0
hch_Latn,0.0097,0.0003,0.0097
guo_Latn,0.0097,0.0003,0.0097
bwu_Latn,0.0194,0.004,0.0194
ppo_Latn,0.0097,0.0017,0.0097
wuv_Latn,0.0194,0.0067,0.0194
urd_Deva,0.0388,0.0057,0.0388
ixl_Latn,0.0097,0.0064,0.0097
gdn_Latn,0.0,0.0,0.0
mps_Latn,0.0097,0.001,0.0097
cof_Latn,0.0097,0.001,0.0097
ium_Thai,0.0097,0.0003,0.0097
way_Latn,0.0,0.0,0.0
nhe_Latn,0.0097,0.001,0.0097
bps_Latn,0.0194,0.0037,0.0194
amk_Latn,0.0194,0.0044,0.0194
toh_Latn,0.0194,0.003,0.0194
cya_Latn,0.0194,0.0044,0.0194
byx_Latn,0.0194,0.0037,0.0194
mlh_Latn,0.0097,0.0003,0.0097
agw_Latn,0.0194,0.0044,0.0194
tat_Cyrl,0.0097,0.001,0.0097
sps_Latn,0.0194,0.0007,0.0194
ksj_Latn,0.0097,0.0033,0.0097
ssd_Latn,0.0097,0.001,0.0097
awi_Latn,0.0,0.0,0.0
nan_Latn,0.0097,0.0013,0.0097
myx_Latn,0.0097,0.0017,0.0097
blh_Latn,0.0097,0.0017,0.0097
kus_Latn,0.0194,0.003,0.0194
cfm_Latn,0.0097,0.0044,0.0097
nwx_Deva,0.0097,0.0003,0.0097
mif_Latn,0.0,0.0,0.0
nwi_Latn,0.0097,0.0027,0.0097
mta_Latn,0.0097,0.0007,0.0097
niy_Latn,0.0097,0.0003,0.0097
njn_Latn,0.0097,0.0033,0.0097
mwv_Latn,0.0194,0.0057,0.0194
kkc_Latn,0.0,0.0,0.0
yon_Latn,0.0097,0.0023,0.0097
mgh_Latn,0.0097,0.0003,0.0097
fin_Latn,0.1068,0.0181,0.1068
smt_Latn,0.0097,0.0013,0.0097
mbf_Latn,0.1359,0.0495,0.1359
maq_Latn,0.0097,0.001,0.0097
snc_Latn,0.0,0.0,0.0
gul_Latn,0.1553,0.0506,0.1553
kto_Latn,0.0097,0.003,0.0097
icr_Latn,0.0291,0.0124,0.0291
kyu_Mymr,0.0,0.0,0.0
tro_Latn,0.0097,0.0084,0.0097
isl_Latn,0.0485,0.0144,0.0485
kgf_Latn,0.0194,0.0013,0.0194
jmc_Latn,0.0097,0.0017,0.0097
ace_Latn,0.0194,0.0097,0.0194
npl_Latn,0.0194,0.0077,0.0194
kbh_Latn,0.0097,0.0077,0.0097
ivb_Latn,0.0097,0.0047,0.0097
snd_Arab,0.0,0.0,0.0
lwo_Latn,0.0,0.0,0.0
plw_Latn,0.0194,0.005,0.0194
ssg_Latn,0.0194,0.0013,0.0194
spp_Latn,0.0194,0.0017,0.0194
tui_Latn,0.0194,0.0037,0.0194
lug_Latn,0.0097,0.0003,0.0097
ukr_Cyrl,0.3398,0.071,0.3398
tew_Latn,0.0194,0.0067,0.0194
ken_Latn,0.0097,0.001,0.0097
mie_Latn,0.0194,0.0067,0.0194
kup_Latn,0.0194,0.002,0.0194
uzb_Latn,0.0097,0.001,0.0097
mzl_Latn,0.0,0.0,0.0
kvg_Latn,0.0097,0.0017,0.0097
ndc_Latn,0.0097,0.001,0.0097
coe_Latn,0.0097,0.0017,0.0097
pam_Latn,0.0194,0.0104,0.0194
rug_Latn,0.0,0.0,0.0
nmh_Latn,0.0194,0.0037,0.0194
dik_Latn,0.0097,0.0027,0.0097
mpp_Latn,0.0,0.0,0.0
slk_Latn,0.1942,0.0475,0.1942
oss_Cyrl,0.0097,0.0007,0.0097
kor_Latn,0.0,0.0,0.0
dyu_Latn,0.0097,0.0033,0.0097
amh_Latn,0.0097,0.0003,0.0097
kik_Latn,0.0097,0.0007,0.0097
wbm_Latn,0.0097,0.002,0.0097
pdc_Latn,0.0194,0.0047,0.0194
noa_Latn,0.0,0.0,0.0
xsm_Latn,0.0,0.0,0.0
urw_Latn,0.0097,0.0003,0.0097
gum_Latn,0.0097,0.0003,0.0097
nyf_Latn,0.0097,0.0013,0.0097
rai_Latn,0.0097,0.001,0.0097
viv_Latn,0.0194,0.001,0.0194
mww_Latn,0.0097,0.0007,0.0097
njo_Latn,0.0097,0.006,0.0097
avt_Latn,0.0097,0.0033,0.0097
auc_Latn,0.0097,0.0007,0.0097
xla_Latn,0.0097,0.002,0.0097
quz_Latn,0.0291,0.0017,0.0291
qvm_Latn,0.0097,0.006,0.0097
mnb_Latn,0.0194,0.003,0.0194
mkl_Latn,0.0097,0.0013,0.0097
lai_Latn,0.0097,0.0017,0.0097
acd_Latn,0.0,0.0,0.0
bmu_Latn,0.0,0.0,0.0
trn_Latn,0.0097,0.0007,0.0097
mzm_Latn,0.0097,0.0003,0.0097
ngu_Latn,0.0194,0.002,0.0194
are_Latn,0.0194,0.0087,0.0194
zos_Latn,0.0097,0.003,0.0097
ong_Latn,0.0097,0.002,0.0097
agu_Latn,0.0097,0.0007,0.0097
lex_Latn,0.0194,0.0047,0.0194
nre_Latn,0.0097,0.0003,0.0097
awk_Latn,0.0097,0.001,0.0097
nhg_Latn,0.0097,0.0037,0.0097
toj_Latn,0.0097,0.0007,0.0097
arb_Arab,0.1748,0.0298,0.1748
czt_Latn,0.0,0.0,0.0
ote_Latn,0.0097,0.0003,0.0097
akp_Latn,0.0097,0.0027,0.0097
ruf_Latn,0.0097,0.0003,0.0097
xsr_Deva,0.0097,0.0007,0.0097
mbi_Latn,0.0,0.0,0.0
tku_Latn,0.0097,0.002,0.0097
mrw_Latn,0.0097,0.0013,0.0097
guc_Latn,0.0097,0.0017,0.0097
ilo_Latn,0.0194,0.0044,0.0194
xed_Latn,0.0097,0.001,0.0097
shu_Latn,0.0097,0.0027,0.0097
tgp_Latn,0.0291,0.0137,0.0291
qvc_Latn,0.0,0.0,0.0
dww_Latn,0.0,0.0,0.0
crn_Latn,0.0097,0.0013,0.0097
ldi_Latn,0.0097,0.0023,0.0097
nst_Latn,0.0,0.0,0.0
cag_Latn,0.0097,0.002,0.0097
dgi_Latn,0.0097,0.0007,0.0097
ncj_Latn,0.0194,0.0087,0.0194
hix_Latn,0.0097,0.0007,0.0097
stn_Latn,0.0097,0.001,0.0097
glv_Latn,0.0291,0.0057,0.0291
yal_Latn,0.0097,0.0003,0.0097
kaa_Cyrl,0.0097,0.0003,0.0097
tca_Latn,0.0,0.0,0.0
ntr_Latn,0.0,0.0,0.0
yre_Latn,0.0,0.0,0.0
ksf_Latn,0.0097,0.0013,0.0097
nbu_Latn,0.0097,0.0003,0.0097
cco_Latn,0.0097,0.0023,0.0097
tuf_Latn,0.0,0.0,0.0
mos_Latn,0.0,0.0,0.0
gkp_Latn,0.0097,0.0007,0.0097
adl_Latn,0.0097,0.001,0.0097
kjs_Latn,0.0,0.0,0.0
grt_Beng,0.0097,0.0003,0.0097
cym_Latn,0.0194,0.0037,0.0194
zpq_Latn,0.0097,0.0013,0.0097
nhi_Latn,0.0291,0.0057,0.0291
gqr_Latn,0.0097,0.0013,0.0097
uvh_Latn,0.0,0.0,0.0
beo_Latn,0.0,0.0,0.0
nnp_Latn,0.0097,0.001,0.0097
pab_Latn,0.0097,0.0003,0.0097
sld_Latn,0.0,0.0,0.0
prk_Latn,0.0097,0.0027,0.0097
qxn_Latn,0.0194,0.0033,0.0194
aon_Latn,0.0097,0.002,0.0097
ewo_Latn,0.0485,0.0087,0.0485
khz_Latn,0.0097,0.0023,0.0097
hub_Latn,0.0194,0.0054,0.0194
aly_Latn,0.0194,0.0007,0.0194
pfe_Latn,0.0,0.0,0.0
mto_Latn,0.0097,0.0003,0.0097
rro_Latn,0.0097,0.001,0.0097
jra_Latn,0.0097,0.002,0.0097
cnt_Latn,0.0,0.0,0.0
xsb_Latn,0.0194,0.0037,0.0194
gub_Latn,0.0,0.0,0.0
pck_Latn,0.0194,0.0047,0.0194
gfk_Latn,0.0194,0.0033,0.0194
lhm_Latn,0.0,0.0,0.0
mbh_Latn,0.0097,0.0013,0.0097
rmc_Latn,0.0194,0.007,0.0194
apb_Latn,0.0097,0.0027,0.0097
pon_Latn,0.0,0.0,0.0
caf_Latn,0.0097,0.0007,0.0097
kqo_Latn,0.0,0.0,0.0
san_Deva,0.0097,0.0003,0.0097
aer_Latn,0.0097,0.002,0.0097
gjn_Latn,0.0097,0.002,0.0097
nsu_Latn,0.0194,0.0107,0.0194
kaq_Latn,0.0097,0.0007,0.0097
mle_Latn,0.0,0.0,0.0
lew_Latn,0.0291,0.0094,0.0291
iws_Latn,0.0,0.0,0.0
mor_Latn,0.0,0.0,0.0
pmf_Latn,0.0097,0.0013,0.0097
tpi_Latn,0.0194,0.0033,0.0194
yam_Latn,0.0097,0.0007,0.0097
cui_Latn,0.0097,0.001,0.0097
abt_Latn,0.0097,0.0003,0.0097
