code,Qwen/Qwen3-8B-Base_max,Qwen/Qwen3-8B-Base_mean,avg
wsk_Latn,0.0194,0.0073,0.0194
alp_Latn,0.0291,0.01,0.0291
xal_Cyrl,0.0,0.0,0.0
khs_Latn,0.0097,0.001,0.0097
bba_Latn,0.0291,0.0076,0.0291
chd_Latn,0.0291,0.0081,0.0291
bav_Latn,0.0194,0.006,0.0194
mwq_Latn,0.0097,0.0016,0.0097
dnj_Latn,0.0097,0.0003,0.0097
kxc_Ethi,0.0097,0.0008,0.0097
zga_Latn,0.0194,0.0047,0.0194
ppk_Latn,0.0291,0.0136,0.0291
aji_Latn,0.0291,0.0105,0.0291
bwq_Latn,0.0097,0.0005,0.0097
knj_Latn,0.0194,0.0081,0.0194
mav_Latn,0.0097,0.0024,0.0097
mkj_Latn,0.0291,0.0129,0.0291
asm_Beng,0.1748,0.0478,0.1748
cao_Latn,0.0194,0.0042,0.0194
sba_Latn,0.0194,0.0047,0.0194
csy_Latn,0.0097,0.0018,0.0097
bib_Latn,0.0194,0.0055,0.0194
mzk_Latn,0.0291,0.0079,0.0291
tsw_Latn,0.0,0.0,0.0
yad_Latn,0.0291,0.0034,0.0291
mib_Latn,0.0194,0.01,0.0194
bxr_Cyrl,0.0291,0.005,0.0291
sll_Latn,0.0097,0.0005,0.0097
chu_Cyrl,0.7573,0.3493,0.7573
nmo_Latn,0.0097,0.0024,0.0097
clu_Latn,0.1553,0.0491,0.1553
muy_Latn,0.0097,0.0008,0.0097
xtm_Latn,0.0291,0.0105,0.0291
mvn_Latn,0.0291,0.0081,0.0291
lob_Latn,0.0097,0.0039,0.0097
hwc_Latn,0.3495,0.1572,0.3495
amo_Latn,0.0291,0.0092,0.0291
thk_Latn,0.0194,0.0068,0.0194
maw_Latn,0.0194,0.0018,0.0194
knk_Latn,0.0097,0.0003,0.0097
eri_Latn,0.0194,0.0047,0.0194
mtg_Latn,0.0291,0.0063,0.0291
sxb_Latn,0.0291,0.006,0.0291
mwp_Latn,0.0097,0.0013,0.0097
nya_Latn,0.0388,0.0102,0.0388
lmk_Latn,0.0194,0.0039,0.0194
alq_Latn,0.0194,0.0029,0.0194
pww_Thai,0.0,0.0,0.0
yuj_Latn,0.0097,0.0013,0.0097
sqi_Latn,0.2816,0.1063,0.2816
bmr_Latn,0.0194,0.0066,0.0194
yss_Latn,0.0194,0.0052,0.0194
swp_Latn,0.0291,0.0118,0.0291
mxb_Latn,0.0194,0.0055,0.0194
aak_Latn,0.0,0.0,0.0
gnw_Latn,0.0291,0.0066,0.0291
urk_Thai,0.0194,0.0016,0.0194
mic_Latn,0.0,0.0,0.0
omw_Latn,0.0,0.0,0.0
nde_Latn,0.0485,0.0108,0.0485
nak_Latn,0.0194,0.0047,0.0194
tuo_Latn,0.0097,0.0005,0.0097
kpx_Latn,0.0097,0.0003,0.0097
bzj_Latn,0.0583,0.021,0.0583
agr_Latn,0.0291,0.0076,0.0291
ade_Latn,0.0194,0.0026,0.0194
xnn_Latn,0.0291,0.0118,0.0291
any_Latn,0.0097,0.0013,0.0097
mfq_Latn,0.0097,0.0003,0.0097
amn_Latn,0.0194,0.0018,0.0194
mux_Latn,0.0,0.0,0.0
hae_Latn,0.0194,0.0037,0.0194
bef_Latn,0.0,0.0,0.0
msa_Latn,0.0874,0.0325,0.0874
dgc_Latn,0.0485,0.0192,0.0485
ify_Latn,0.0291,0.015,0.0291
poe_Latn,0.0097,0.006,0.0097
enq_Latn,0.0097,0.0013,0.0097
qvi_Latn,0.0194,0.0034,0.0194
sat_Latn,0.0194,0.0008,0.0194
mnf_Latn,0.0097,0.0021,0.0097
aey_Latn,0.0194,0.0042,0.0194
kbm_Latn,0.0291,0.0102,0.0291
ycn_Latn,0.0194,0.0055,0.0194
tac_Latn,0.0,0.0,0.0
lam_Latn,0.0097,0.0008,0.0097
bmq_Latn,0.0194,0.0045,0.0194
ktj_Latn,0.0097,0.001,0.0097
gui_Latn,0.0194,0.0102,0.0194
mqj_Latn,0.0291,0.0129,0.0291
xsi_Latn,0.0194,0.0039,0.0194
snf_Latn,0.0194,0.0024,0.0194
for_Latn,0.0097,0.001,0.0097
btd_Latn,0.0388,0.0136,0.0388
mbc_Latn,0.0194,0.0055,0.0194
kjh_Cyrl,0.0388,0.0105,0.0388
hui_Latn,0.0097,0.0018,0.0097
bqj_Latn,0.0291,0.0079,0.0291
jac_Latn,0.0194,0.0079,0.0194
rus_Cyrl,0.8544,0.5022,0.8544
bbc_Latn,0.0388,0.0152,0.0388
chf_Latn,0.0291,0.0073,0.0291
dow_Latn,0.0097,0.006,0.0097
amm_Latn,0.0,0.0,0.0
kin_Latn,0.0291,0.0087,0.0291
mee_Latn,0.0194,0.0045,0.0194
ton_Latn,0.0097,0.001,0.0097
esu_Latn,0.0194,0.0068,0.0194
soy_Latn,0.0097,0.0003,0.0097
tuk_Arab,0.0194,0.0045,0.0194
rub_Latn,0.0097,0.0013,0.0097
msb_Latn,0.1748,0.0627,0.1748
pah_Latn,0.0097,0.0034,0.0097
ava_Cyrl,0.0194,0.0034,0.0194
cub_Latn,0.0194,0.0094,0.0194
tgk_Cyrl,0.1262,0.0365,0.1262
mjw_Latn,0.0194,0.0052,0.0194
kek_Latn,0.0194,0.0073,0.0194
zyp_Latn,0.0194,0.0037,0.0194
ter_Latn,0.0097,0.001,0.0097
hne_Deva,0.0485,0.0136,0.0485
cce_Latn,0.0291,0.0092,0.0291
wos_Latn,0.0097,0.001,0.0097
fuq_Latn,0.0291,0.0031,0.0291
aca_Latn,0.0291,0.0102,0.0291
qvh_Latn,0.0388,0.0092,0.0388
ozm_Latn,0.0097,0.0034,0.0097
nph_Latn,0.0097,0.0018,0.0097
pls_Latn,0.0291,0.0102,0.0291
nca_Latn,0.0194,0.0045,0.0194
kqe_Latn,0.0388,0.0115,0.0388
bki_Latn,0.0194,0.0039,0.0194
fij_Latn,0.0194,0.0037,0.0194
jbu_Latn,0.0097,0.0013,0.0097
ewe_Latn,0.0194,0.0034,0.0194
tnp_Latn,0.0097,0.0013,0.0097
udu_Latn,0.0097,0.0003,0.0097
mau_Latn,0.0194,0.0055,0.0194
mbb_Latn,0.0291,0.0068,0.0291
guh_Latn,0.0291,0.0073,0.0291
mpt_Latn,0.0,0.0,0.0
chv_Cyrl,0.0097,0.0031,0.0097
hag_Latn,0.0194,0.0026,0.0194
est_Latn,0.2718,0.1002,0.2718
zpz_Latn,0.0194,0.0045,0.0194
gag_Latn,0.1845,0.0562,0.1845
too_Latn,0.0194,0.0073,0.0194
bsc_Latn,0.0097,0.0021,0.0097
zsm_Latn,0.2039,0.0764,0.2039
dov_Latn,0.0291,0.0084,0.0291
kyq_Latn,0.0194,0.0026,0.0194
cjo_Latn,0.0097,0.001,0.0097
aze_Cyrl,0.0583,0.0171,0.0583
wbi_Latn,0.0194,0.0037,0.0194
xtn_Latn,0.0194,0.0094,0.0194
kzf_Latn,0.0194,0.0071,0.0194
tum_Latn,0.0291,0.0073,0.0291
kpz_Latn,0.0291,0.006,0.0291
bjv_Latn,0.0194,0.0021,0.0194
vag_Latn,0.0194,0.0073,0.0194
mox_Latn,0.0097,0.0008,0.0097
zho_Hani,0.7767,0.3367,0.7767
bzh_Latn,0.0194,0.0058,0.0194
jiv_Latn,0.0194,0.001,0.0194
cuc_Latn,0.0097,0.0021,0.0097
aai_Latn,0.0194,0.0055,0.0194
ndg_Latn,0.0388,0.0134,0.0388
box_Latn,0.0194,0.0024,0.0194
mzh_Latn,0.0291,0.0087,0.0291
krc_Cyrl,0.0388,0.0102,0.0388
ngp_Latn,0.0194,0.0037,0.0194
cof_Latn,0.0291,0.0094,0.0291
mps_Latn,0.0097,0.001,0.0097
ixl_Latn,0.0194,0.0052,0.0194
gdn_Latn,0.0097,0.0003,0.0097
toh_Latn,0.0291,0.0071,0.0291
cya_Latn,0.0194,0.0089,0.0194
bps_Latn,0.0097,0.0029,0.0097
amk_Latn,0.0194,0.0081,0.0194
nhe_Latn,0.0097,0.0039,0.0097
way_Latn,0.0097,0.0005,0.0097
ium_Thai,0.0097,0.0003,0.0097
ksj_Latn,0.0194,0.0026,0.0194
ssd_Latn,0.0194,0.006,0.0194
awi_Latn,0.0097,0.0024,0.0097
nan_Latn,0.0097,0.0029,0.0097
sps_Latn,0.0,0.0,0.0
mlh_Latn,0.0097,0.0008,0.0097
agw_Latn,0.0194,0.006,0.0194
tat_Cyrl,0.0485,0.0113,0.0485
byx_Latn,0.0097,0.0024,0.0097
nwi_Latn,0.0194,0.0029,0.0194
mif_Latn,0.0194,0.0042,0.0194
blh_Latn,0.0097,0.0016,0.0097
kus_Latn,0.0194,0.0097,0.0194
cfm_Latn,0.0097,0.0016,0.0097
nwx_Deva,0.0097,0.0026,0.0097
myx_Latn,0.0194,0.0087,0.0194
fuv_Latn,0.0097,0.0016,0.0097
mal_Mlym,0.1553,0.0449,0.1553
dru_Latn,0.0194,0.006,0.0194
gom_Latn,0.0291,0.0055,0.0291
acf_Latn,0.0777,0.0178,0.0777
rmn_Latn,0.0291,0.0105,0.0291
mhy_Latn,0.0388,0.0205,0.0388
npo_Latn,0.0097,0.001,0.0097
qvo_Latn,0.0194,0.0058,0.0194
cak_Latn,0.0291,0.0073,0.0291
ktb_Ethi,0.0,0.0,0.0
plt_Latn,0.0388,0.0094,0.0388
bar_Latn,0.1068,0.0401,0.1068
njm_Latn,0.0194,0.0026,0.0194
jae_Latn,0.0194,0.0055,0.0194
yom_Latn,0.0291,0.0071,0.0291
bul_Cyrl,0.6893,0.3395,0.6893
etu_Latn,0.0194,0.0063,0.0194
pua_Latn,0.0194,0.0081,0.0194
ppo_Latn,0.0097,0.0018,0.0097
wuv_Latn,0.0291,0.0134,0.0291
urd_Deva,0.2233,0.0792,0.2233
bwu_Latn,0.0194,0.0042,0.0194
hch_Latn,0.0097,0.0005,0.0097
guo_Latn,0.0194,0.0066,0.0194
nhd_Latn,0.0291,0.0102,0.0291
dop_Latn,0.0097,0.0024,0.0097
toi_Latn,0.0388,0.0118,0.0388
log_Latn,0.0194,0.0013,0.0194
gaa_Latn,0.0291,0.0084,0.0291
kor_Hang,0.6893,0.29,0.6893
sig_Latn,0.0194,0.0026,0.0194
bpr_Latn,0.0194,0.0045,0.0194
prf_Latn,0.0485,0.0226,0.0485
mse_Latn,0.0291,0.0079,0.0291
kan_Knda,0.1165,0.0302,0.1165
ibo_Latn,0.0097,0.0045,0.0097
myy_Latn,0.0194,0.0081,0.0194
yaa_Latn,0.0194,0.0055,0.0194
mig_Latn,0.0194,0.0071,0.0194
abx_Latn,0.0388,0.0131,0.0388
dur_Latn,0.0291,0.005,0.0291
hns_Latn,0.0388,0.0126,0.0388
big_Latn,0.0,0.0,0.0
tuk_Latn,0.068,0.0144,0.068
kqc_Latn,0.0194,0.0066,0.0194
plu_Latn,0.0097,0.0045,0.0097
sbd_Latn,0.0194,0.0026,0.0194
quy_Latn,0.0291,0.0092,0.0291
mna_Latn,0.0194,0.0037,0.0194
sas_Latn,0.068,0.0262,0.068
qvn_Latn,0.0291,0.0089,0.0291
laj_Latn,0.0291,0.0058,0.0291
isn_Latn,0.0291,0.0084,0.0291
mhx_Latn,0.0097,0.0018,0.0097
vun_Latn,0.0291,0.0058,0.0291
rmo_Latn,0.0291,0.0089,0.0291
apn_Latn,0.0097,0.0003,0.0097
urt_Latn,0.0194,0.0042,0.0194
nob_Latn,0.7961,0.3776,0.7961
gun_Latn,0.0291,0.01,0.0291
cmo_Latn,0.0291,0.0052,0.0291
mbd_Latn,0.0291,0.0047,0.0291
lzh_Hani,0.3301,0.1519,0.3301
kno_Latn,0.0097,0.0003,0.0097
mas_Latn,0.0291,0.0079,0.0291
sna_Latn,0.0291,0.006,0.0291
hun_Latn,0.5534,0.2154,0.5534
fil_Latn,0.4854,0.1782,0.4854
cha_Latn,0.0291,0.0136,0.0291
are_Latn,0.0194,0.0076,0.0194
zos_Latn,0.0194,0.006,0.0194
ong_Latn,0.0194,0.0039,0.0194
mzm_Latn,0.0097,0.0005,0.0097
ngu_Latn,0.0194,0.0094,0.0194
awk_Latn,0.0097,0.0042,0.0097
lex_Latn,0.0194,0.0097,0.0194
nre_Latn,0.0097,0.0058,0.0097
agu_Latn,0.0291,0.0066,0.0291
czt_Latn,0.0194,0.0013,0.0194
toj_Latn,0.0194,0.0084,0.0194
arb_Arab,0.4854,0.2125,0.4854
nhg_Latn,0.0485,0.0178,0.0485
ruf_Latn,0.0194,0.005,0.0194
akp_Latn,0.0194,0.0076,0.0194
ote_Latn,0.0097,0.0008,0.0097
gum_Latn,0.0291,0.0076,0.0291
noa_Latn,0.0097,0.0016,0.0097
xsm_Latn,0.0194,0.0018,0.0194
urw_Latn,0.0194,0.0039,0.0194
mww_Latn,0.0291,0.0052,0.0291
njo_Latn,0.0291,0.006,0.0291
viv_Latn,0.0,0.0,0.0
nyf_Latn,0.0388,0.01,0.0388
rai_Latn,0.0291,0.0079,0.0291
qvm_Latn,0.0291,0.0076,0.0291
mnb_Latn,0.0291,0.0126,0.0291
xla_Latn,0.0194,0.0039,0.0194
quz_Latn,0.0194,0.0092,0.0194
auc_Latn,0.0,0.0,0.0
avt_Latn,0.0097,0.0045,0.0097
trn_Latn,0.0194,0.0068,0.0194
bmu_Latn,0.0097,0.0003,0.0097
acd_Latn,0.0194,0.0045,0.0194
mkl_Latn,0.0194,0.0024,0.0194
lai_Latn,0.0291,0.0081,0.0291
tew_Latn,0.0097,0.0013,0.0097
ukr_Cyrl,0.6505,0.3004,0.6505
spp_Latn,0.0097,0.0008,0.0097
tui_Latn,0.0097,0.0045,0.0097
lug_Latn,0.0291,0.0089,0.0291
ssg_Latn,0.0097,0.0018,0.0097
kvg_Latn,0.0097,0.0021,0.0097
ndc_Latn,0.0388,0.0063,0.0388
uzb_Latn,0.1553,0.0417,0.1553
kup_Latn,0.0097,0.0031,0.0097
mzl_Latn,0.0097,0.0008,0.0097
mie_Latn,0.0291,0.01,0.0291
ken_Latn,0.0097,0.0031,0.0097
kor_Latn,0.0,0.0,0.0
dyu_Latn,0.0194,0.0047,0.0194
oss_Cyrl,0.0194,0.0073,0.0194
slk_Latn,0.5631,0.2196,0.5631
rug_Latn,0.0194,0.0031,0.0194
