code,Qwen/Qwen3-Embedding-0.6B_max,Qwen/Qwen3-Embedding-0.6B_mean,avg
mwv_Latn,0.0291,0.0131,0.0291
njn_Latn,0.0485,0.0164,0.0485
niy_Latn,0.0194,0.0047,0.0194
mta_Latn,0.0291,0.008,0.0291
mgh_Latn,0.0194,0.0047,0.0194
fin_Latn,0.4369,0.1239,0.4369
yon_Latn,0.0291,0.0057,0.0291
kkc_Latn,0.0194,0.0054,0.0194
maq_Latn,0.0583,0.0121,0.0583
snc_Latn,0.0291,0.0104,0.0291
smt_Latn,0.0485,0.0181,0.0485
mbf_Latn,0.4369,0.1781,0.4369
gul_Latn,0.4563,0.2019,0.4563
tro_Latn,0.0388,0.0124,0.0388
kyu_Mymr,0.0,0.0,0.0
kto_Latn,0.0194,0.0084,0.0194
icr_Latn,0.1845,0.067,0.1845
jmc_Latn,0.0388,0.0114,0.0388
ace_Latn,0.0485,0.0174,0.0485
kgf_Latn,0.0291,0.0104,0.0291
isl_Latn,0.1942,0.0519,0.1942
ivb_Latn,0.0485,0.0097,0.0485
kbh_Latn,0.0485,0.0167,0.0485
npl_Latn,0.068,0.0224,0.068
plw_Latn,0.0485,0.01,0.0485
snd_Arab,0.165,0.0509,0.165
lwo_Latn,0.0194,0.0013,0.0194
tui_Latn,0.0194,0.007,0.0194
lug_Latn,0.0097,0.004,0.0097
spp_Latn,0.0194,0.0074,0.0194
ssg_Latn,0.0388,0.008,0.0388
tew_Latn,0.0583,0.0094,0.0583
ukr_Cyrl,0.7379,0.3284,0.7379
mie_Latn,0.0777,0.0214,0.0777
ken_Latn,0.0194,0.0047,0.0194
ndc_Latn,0.0194,0.011,0.0194
kvg_Latn,0.0194,0.005,0.0194
kup_Latn,0.0291,0.0044,0.0291
uzb_Latn,0.1068,0.0264,0.1068
mzl_Latn,0.0583,0.0074,0.0583
dik_Latn,0.0194,0.0064,0.0194
mpp_Latn,0.0291,0.009,0.0291
rug_Latn,0.0291,0.0067,0.0291
nmh_Latn,0.0485,0.0134,0.0485
coe_Latn,0.0388,0.008,0.0388
pam_Latn,0.0777,0.0288,0.0777
kor_Latn,0.0194,0.0013,0.0194
dyu_Latn,0.0194,0.0084,0.0194
slk_Latn,0.6214,0.2862,0.6214
oss_Cyrl,0.0291,0.0064,0.0291
kik_Latn,0.0291,0.007,0.0291
amh_Latn,0.0097,0.0007,0.0097
pdc_Latn,0.1068,0.0325,0.1068
wbm_Latn,0.0194,0.007,0.0194
gum_Latn,0.0291,0.0087,0.0291
xsm_Latn,0.0291,0.007,0.0291
urw_Latn,0.0097,0.0003,0.0097
noa_Latn,0.0291,0.0067,0.0291
nyf_Latn,0.0388,0.0127,0.0388
rai_Latn,0.0583,0.0167,0.0583
njo_Latn,0.0291,0.0087,0.0291
mww_Latn,0.0,0.0,0.0
viv_Latn,0.0291,0.004,0.0291
auc_Latn,0.0,0.0,0.0
avt_Latn,0.0388,0.0084,0.0388
qvm_Latn,0.0485,0.0127,0.0485
mnb_Latn,0.0388,0.0141,0.0388
xla_Latn,0.0194,0.0054,0.0194
quz_Latn,0.1068,0.0241,0.1068
acd_Latn,0.0291,0.0094,0.0291
lai_Latn,0.0388,0.0117,0.0388
mkl_Latn,0.0291,0.009,0.0291
trn_Latn,0.0388,0.0077,0.0388
bmu_Latn,0.0194,0.004,0.0194
zos_Latn,0.0583,0.0137,0.0583
ong_Latn,0.0194,0.007,0.0194
are_Latn,0.0874,0.0244,0.0874
ngu_Latn,0.1068,0.0214,0.1068
mzm_Latn,0.0194,0.004,0.0194
