code,Qwen/Qwen3-Embedding-4B_max,Qwen/Qwen3-Embedding-4B_mean,avg
mkj_Latn,0.0583,0.0218,0.0583
asm_Beng,0.5534,0.1609,0.5534
sba_Latn,0.0291,0.01,0.0291
cao_Latn,0.0388,0.011,0.0388
bba_Latn,0.0388,0.0142,0.0388
chd_Latn,0.068,0.0199,0.068
bav_Latn,0.0388,0.0121,0.0388
dnj_Latn,0.0,0.0,0.0
mwq_Latn,0.0485,0.011,0.0485
wsk_Latn,0.0583,0.0236,0.0583
alp_Latn,0.0485,0.0152,0.0485
xal_Cyrl,0.0291,0.0042,0.0291
khs_Latn,0.0,0.0,0.0
ppk_Latn,0.068,0.0257,0.068
aji_Latn,0.0583,0.016,0.0583
knj_Latn,0.0971,0.0202,0.0971
bwq_Latn,0.0388,0.0073,0.0388
mav_Latn,0.0097,0.006,0.0097
kxc_Ethi,0.0,0.0,0.0
zga_Latn,0.0194,0.0063,0.0194
chu_Cyrl,0.835,0.434,0.835
nmo_Latn,0.0583,0.0136,0.0583
clu_Latn,0.1845,0.0653,0.1845
sll_Latn,0.0194,0.006,0.0194
lob_Latn,0.0194,0.0026,0.0194
hwc_Latn,0.8447,0.4083,0.8447
amo_Latn,0.0194,0.0102,0.0194
muy_Latn,0.0097,0.0034,0.0097
xtm_Latn,0.0777,0.0226,0.0777
mvn_Latn,0.0485,0.0126,0.0485
bib_Latn,0.0388,0.0081,0.0388
csy_Latn,0.0777,0.0144,0.0777
yad_Latn,0.0388,0.0052,0.0388
mib_Latn,0.0583,0.0199,0.0583
bxr_Cyrl,0.0485,0.0142,0.0485
mzk_Latn,0.0388,0.0121,0.0388
tsw_Latn,0.0194,0.0052,0.0194
yuj_Latn,0.0291,0.0052,0.0291
pww_Thai,0.0097,0.0003,0.0097
sqi_Latn,0.534,0.1834,0.534
bmr_Latn,0.0291,0.0155,0.0291
yss_Latn,0.0291,0.0084,0.0291
mxb_Latn,0.0583,0.0131,0.0583
swp_Latn,0.0485,0.0205,0.0485
thk_Latn,0.0194,0.0045,0.0194
maw_Latn,0.0194,0.0037,0.0194
knk_Latn,0.0291,0.0042,0.0291
eri_Latn,0.0388,0.0105,0.0388
nya_Latn,0.0388,0.0147,0.0388
lmk_Latn,0.0388,0.0094,0.0388
alq_Latn,0.0388,0.01,0.0388
mtg_Latn,0.0485,0.0102,0.0485
mwp_Latn,0.0097,0.0034,0.0097
sxb_Latn,0.0194,0.0068,0.0194
mux_Latn,0.0194,0.0042,0.0194
any_Latn,0.0194,0.0052,0.0194
mfq_Latn,0.0194,0.0034,0.0194
amn_Latn,0.0291,0.0084,0.0291
hae_Latn,0.0194,0.0079,0.0194
bef_Latn,0.0097,0.0037,0.0097
msa_Latn,0.2136,0.0777,0.2136
omw_Latn,0.0097,0.0003,0.0097
nde_Latn,0.0388,0.0118,0.0388
aak_Latn,0.0194,0.0016,0.0194
gnw_Latn,0.0485,0.015,0.0485
urk_Thai,0.0097,0.0018,0.0097
mic_Latn,0.0194,0.005,0.0194
bzj_Latn,0.165,0.0619,0.165
agr_Latn,0.068,0.0228,0.068
ade_Latn,0.0291,0.0058,0.0291
xnn_Latn,0.0583,0.0244,0.0583
