code,swiss-ai/Apertus-v1.5-70B_max,swiss-ai/Apertus-v1.5-70B_mean,avg
kor_Hang,0.81,0.2032,0.81
hau_Latn,0.09,0.0165,0.09
mya_Mymr,0.14,0.0186,0.14
arb_Arab,0.7,0.1665,0.7
eng_Latn,1.0,1.0,1.0
swe_Latn,0.92,0.3214,0.92
ibo_Latn,0.26,0.0431,0.26
eus_Latn,0.19,0.0323,0.19
slk_Latn,0.94,0.3222,0.94
ces_Latn,0.93,0.2881,0.93
kir_Cyrl,0.31,0.0486,0.31
ukr_Cyrl,0.92,0.3068,0.92
rus_Cyrl,0.96,0.5709,0.96
mal_Mlym,0.32,0.0656,0.32
mri_Latn,0.31,0.05,0.31
zsm_Latn,0.42,0.0923,0.42
ssw_Latn,0.14,0.0254,0.14
nya_Latn,0.27,0.0372,0.27
ind_Latn,0.86,0.3952,0.86
cat_Latn,0.88,0.3336,0.88
fra_Latn,0.95,0.4943,0.95
ben_Beng,0.47,0.068,0.47
ilo_Latn,0.18,0.0336,0.18
nob_Latn,0.97,0.4201,0.97
por_Latn,0.89,0.461,0.89
ckb_Arab,0.08,0.011,0.08
bul_Cyrl,0.91,0.2948,0.91
kaz_Cyrl,0.36,0.0546,0.36
jav_Latn,0.27,0.0414,0.27
tha_Thai,0.4,0.0867,0.4
kin_Latn,0.23,0.0406,0.23
sot_Latn,0.25,0.0477,0.25
ell_Grek,0.72,0.1968,0.72
isl_Latn,0.7,0.1572,0.7
urd_Arab,0.64,0.1221,0.64
fuv_Latn,0.05,0.0151,0.05
sin_Sinh,0.11,0.0167,0.11
dan_Latn,0.95,0.3568,0.95
lit_Latn,0.83,0.2357,0.83
vie_Latn,0.78,0.2544,0.78
wol_Latn,0.05,0.0112,0.05
war_Latn,0.22,0.0372,0.22
yor_Latn,0.09,0.0132,0.09
som_Latn,0.15,0.0217,0.15
zul_Latn,0.31,0.0507,0.31
tsn_Latn,0.11,0.02,0.11
lin_Latn,0.13,0.0251,0.13
deu_Latn,0.85,0.2865,0.85
slv_Latn,0.83,0.2037,0.83
pan_Guru,0.35,0.0556,0.35
tur_Latn,0.73,0.2298,0.73
tgk_Cyrl,0.35,0.0468,0.35
hun_Latn,0.88,0.2481,0.88
spa_Latn,0.92,0.416,0.92
tgl_Latn,0.58,0.0981,0.58
ron_Latn,0.88,0.2551,0.88
pol_Latn,0.91,0.3265,0.91
hye_Armn,0.61,0.1207,0.61
kat_Geor,0.62,0.1043,0.62
hat_Latn,0.35,0.068,0.35
tso_Latn,0.08,0.0209,0.08
mar_Deva,0.44,0.0677,0.44
plt_Latn,0.34,0.0473,0.34
mlt_Latn,0.49,0.0753,0.49
hin_Deva,0.75,0.1677,0.75
khm_Khmr,0.15,0.0256,0.15
xho_Latn,0.17,0.0331,0.17
arz_Arab,0.64,0.1517,0.64
sun_Latn,0.18,0.0301,0.18
sna_Latn,0.26,0.0444,0.26
bam_Latn,0.03,0.0116,0.03
swh_Latn,0.55,0.1004,0.55
ita_Latn,0.94,0.5149,0.94
hrv_Latn,0.91,0.2848,0.91
est_Latn,0.84,0.2277,0.84
tel_Telu,0.34,0.0553,0.34
asm_Beng,0.16,0.0228,0.16
pes_Arab,0.78,0.2286,0.78
afr_Latn,0.97,0.3122,0.97
tir_Ethi,0.06,0.0064,0.06
kan_Knda,0.42,0.0696,0.42
lug_Latn,0.11,0.0202,0.11
guj_Gujr,0.26,0.0446,0.26
nld_Latn,0.98,0.3564,0.98
amh_Ethi,0.1,0.0183,0.1
ceb_Latn,0.4,0.0746,0.4
fin_Latn,0.89,0.2521,0.89
heb_Hebr,0.65,0.1458,0.65
tam_Taml,0.4,0.0517,0.4
shn_Mymr,0.0,0.0,0.0
