code,google/gemma-4-26B-A4B_max,google/gemma-4-26B-A4B_mean,avg
war_Latn,0.7573,0.2816,0.7573
nso_Latn,0.6796,0.249,0.6796
hau_Latn,0.466,0.1892,0.466
sin_Sinh,0.7087,0.2346,0.7087
lit_Latn,0.8058,0.4159,0.8058
afr_Latn,0.9417,0.6007,0.9417
pes_Arab,0.7573,0.3667,0.7573
mkd_Cyrl,0.8835,0.4845,0.8835
kor_Hang,0.8835,0.4497,0.8835
ind_Latn,0.9126,0.6126,0.9126
kir_Cyrl,0.6214,0.2098,0.6214
arb_Arab,0.767,0.378,0.767
tsn_Latn,0.5146,0.1898,0.5146
fin_Latn,0.8932,0.4914,0.8932
ibo_Latn,0.6796,0.2747,0.6796
spa_Latn,0.9029,0.5788,0.9029
ell_Grek,0.8544,0.4917,0.8544
kat_Geor,0.8252,0.4112,0.8252
slk_Latn,0.8447,0.4585,0.8447
nya_Latn,0.7282,0.3169,0.7282
kaz_Cyrl,0.5631,0.2017,0.5631
ben_Beng,0.9126,0.44,0.9126
hat_Latn,0.6117,0.2421,0.6117
ory_Orya,0.6505,0.2249,0.6505
tir_Ethi,0.7573,0.3063,0.7573
hun_Latn,0.9029,0.533,0.9029
eus_Latn,0.3398,0.1174,0.3398
sot_Latn,0.6408,0.2465,0.6408
urd_Arab,0.7767,0.3392,0.7767
kan_Knda,0.6796,0.2837,0.6796
nob_Latn,0.9612,0.6198,0.9612
lug_Latn,0.3398,0.1112,0.3398
zsm_Latn,0.6019,0.2371,0.6019
fra_Latn,0.9515,0.648,0.9515
tgk_Cyrl,0.6602,0.2656,0.6602
dan_Latn,0.9806,0.6361,0.9806
shn_Mymr,0.3107,0.0482,0.3107
urd_Latn,0.3592,0.1262,0.3592
pan_Guru,0.8447,0.3805,0.8447
xho_Latn,0.5922,0.2189,0.5922
pol_Latn,0.9515,0.5788,0.9515
tha_Thai,0.8932,0.4598,0.8932
por_Latn,0.9126,0.5647,0.9126
guj_Gujr,0.699,0.2894,0.699
tam_Taml,0.7767,0.316,0.7767
fuv_Latn,0.1262,0.0291,0.1262
tso_Latn,0.5922,0.2242,0.5922
luo_Latn,0.3398,0.0958,0.3398
eng_Latn,1.0,1.0,1.0
hrv_Latn,0.8544,0.4638,0.8544
amh_Ethi,0.9029,0.4065,0.9029
slv_Latn,0.8155,0.4065,0.8155
mal_Mlym,0.7282,0.326,0.7282
wol_Latn,0.1068,0.0235,0.1068
tur_Latn,0.6699,0.3019,0.6699
cat_Latn,0.767,0.4241,0.767
hin_Deva,0.835,0.4056,0.835
hin_Latn,0.3398,0.1306,0.3398
mar_Deva,0.6893,0.3085,0.6893
swh_Latn,0.9029,0.4641,0.9029
bul_Cyrl,0.8932,0.5271,0.8932
kin_Latn,0.5534,0.2189,0.5534
bam_Latn,0.1942,0.0501,0.1942
plt_Latn,0.7476,0.331,0.7476
ary_Arab,0.4078,0.1353,0.4078
zul_Latn,0.767,0.3182,0.767
heb_Hebr,0.6408,0.3032,0.6408
npi_Deva,0.8252,0.3367,0.8252
ron_Latn,0.9612,0.591,0.9612
ckb_Arab,0.3301,0.1087,0.3301
snd_Arab,0.4854,0.1538,0.4854
sun_Latn,0.4272,0.1331,0.4272
ilo_Latn,0.6796,0.2433,0.6796
som_Latn,0.466,0.1751,0.466
asm_Beng,0.767,0.3044,0.767
ukr_Cyrl,0.9126,0.5374,0.9126
tel_Telu,0.7379,0.2888,0.7379
tgl_Latn,0.8932,0.5127,0.8932
deu_Latn,0.9126,0.5318,0.9126
swe_Latn,0.8738,0.5215,0.8738
rus_Cyrl,0.9126,0.6621,0.9126
nld_Latn,1.0,0.7203,1.0
yor_Latn,0.7573,0.2709,0.7573
khm_Khmr,0.7476,0.2969,0.7476
sna_Latn,0.6893,0.2963,0.6893
mya_Mymr,0.5146,0.191,0.5146
srp_Cyrl,0.8835,0.4836,0.8835
lin_Latn,0.6214,0.2167,0.6214
ces_Latn,0.9223,0.5468,0.9223
mri_Latn,0.5437,0.1744,0.5437
kac_Latn,0.0971,0.0163,0.0971
vie_Latn,0.8738,0.4547,0.8738
est_Latn,0.7864,0.4012,0.7864
mlt_Latn,0.767,0.3545,0.767
isl_Latn,0.8544,0.4194,0.8544
ita_Latn,0.9515,0.6389,0.9515
jav_Latn,0.5922,0.1942,0.5922
ceb_Latn,0.8738,0.3746,0.8738
ssw_Latn,0.6505,0.2255,0.6505
arz_Arab,0.9417,0.5396,0.9417
hye_Armn,0.8932,0.4237,0.8932
