code,google/gemma-4-31B_max,google/gemma-4-31B_mean,avg
war_Latn,0.8155,0.2588,0.8155
nso_Latn,0.835,0.2831,0.835
hau_Latn,0.5728,0.2118,0.5728
sin_Sinh,0.767,0.2613,0.767
lit_Latn,0.8932,0.4251,0.8932
afr_Latn,1.0,0.5701,1.0
pes_Arab,0.8252,0.3382,0.8252
mkd_Cyrl,0.9612,0.4617,0.9612
kor_Hang,0.9515,0.4617,0.9515
ind_Latn,0.9417,0.5518,0.9417
kir_Cyrl,0.7379,0.2435,0.7379
arb_Arab,0.8155,0.3492,0.8155
tsn_Latn,0.8155,0.2481,0.8155
fin_Latn,0.9515,0.4705,0.9515
ibo_Latn,0.8058,0.2761,0.8058
spa_Latn,0.9903,0.548,0.9903
ell_Grek,0.9223,0.4671,0.9223
kat_Geor,0.8544,0.3705,0.8544
slk_Latn,0.9223,0.4606,0.9223
nya_Latn,0.8738,0.3306,0.8738
kaz_Cyrl,0.6408,0.2182,0.6408
ben_Beng,0.9515,0.3944,0.9515
hat_Latn,0.8835,0.312,0.8835
ory_Orya,0.7961,0.2227,0.7961
tir_Ethi,0.9126,0.3037,0.9126
hun_Latn,0.9515,0.5017,0.9515
eus_Latn,0.6117,0.176,0.6117
sot_Latn,0.8058,0.2704,0.8058
urd_Arab,0.8835,0.3404,0.8835
kan_Knda,0.7961,0.293,0.7961
nob_Latn,0.9903,0.5852,0.9903
lug_Latn,0.6408,0.1609,0.6408
zsm_Latn,0.7864,0.2502,0.7864
fra_Latn,0.9903,0.5894,0.9903
tgk_Cyrl,0.8544,0.3161,0.8544
dan_Latn,1.0,0.5819,1.0
shn_Mymr,0.5049,0.0648,0.5049
urd_Latn,0.7184,0.2107,0.7184
pan_Guru,0.8738,0.3247,0.8738
xho_Latn,0.767,0.2437,0.767
pol_Latn,0.9806,0.5467,0.9806
tha_Thai,0.9709,0.3901,0.9709
por_Latn,0.9515,0.5168,0.9515
guj_Gujr,0.8058,0.3056,0.8058
tam_Taml,0.8641,0.3048,0.8641
fuv_Latn,0.301,0.0455,0.301
tso_Latn,0.8155,0.2403,0.8155
luo_Latn,0.5922,0.1367,0.5922
eng_Latn,1.0,1.0,1.0
hrv_Latn,0.9223,0.4617,0.9223
amh_Ethi,0.9515,0.3992,0.9515
slv_Latn,0.9612,0.4651,0.9612
mal_Mlym,0.8544,0.3285,0.8544
wol_Latn,0.4175,0.0839,0.4175
tur_Latn,0.8252,0.3509,0.8252
cat_Latn,0.9029,0.4331,0.9029
hin_Deva,0.8544,0.3755,0.8544
hin_Latn,0.6117,0.2145,0.6117
mar_Deva,0.8252,0.3314,0.8252
swh_Latn,0.9806,0.4517,0.9806
bul_Cyrl,0.9612,0.5099,0.9612
kin_Latn,0.7379,0.2419,0.7379
bam_Latn,0.4272,0.0656,0.4272
plt_Latn,0.8932,0.3298,0.8932
ary_Arab,0.5922,0.1472,0.5922
zul_Latn,0.8058,0.314,0.8058
heb_Hebr,0.7184,0.2566,0.7184
npi_Deva,0.8932,0.3409,0.8932
ron_Latn,0.9806,0.526,0.9806
ckb_Arab,0.4757,0.1361,0.4757
snd_Arab,0.7184,0.2352,0.7184
sun_Latn,0.5146,0.148,0.5146
ilo_Latn,0.8058,0.2477,0.8058
som_Latn,0.5922,0.1972,0.5922
asm_Beng,0.8738,0.3097,0.8738
ukr_Cyrl,0.9806,0.5101,0.9806
tel_Telu,0.8058,0.2959,0.8058
tgl_Latn,0.9612,0.464,0.9612
deu_Latn,0.9903,0.5128,0.9903
swe_Latn,0.9709,0.523,0.9709
rus_Cyrl,0.9709,0.622,0.9709
nld_Latn,1.0,0.6333,1.0
yor_Latn,0.8544,0.2644,0.8544
khm_Khmr,0.8447,0.2941,0.8447
sna_Latn,0.8738,0.3261,0.8738
mya_Mymr,0.8155,0.2284,0.8155
srp_Cyrl,0.9417,0.4654,0.9417
lin_Latn,0.835,0.2679,0.835
ces_Latn,0.9709,0.5072,0.9709
mri_Latn,0.7573,0.2284,0.7573
kac_Latn,0.2718,0.038,0.2718
vie_Latn,0.9223,0.4324,0.9223
est_Latn,0.9126,0.4417,0.9126
mlt_Latn,0.9515,0.3906,0.9515
isl_Latn,0.932,0.4234,0.932
ita_Latn,0.9709,0.5816,0.9709
jav_Latn,0.6699,0.2064,0.6699
ceb_Latn,0.9223,0.3627,0.9223
ssw_Latn,0.767,0.2282,0.767
arz_Arab,0.9417,0.4168,0.9417
hye_Armn,0.932,0.3737,0.932
