code,google/gemma-4-E4B_max,google/gemma-4-E4B_mean,avg
war_Latn,0.6214,0.133,0.6214
nso_Latn,0.5049,0.1136,0.5049
hau_Latn,0.3592,0.0804,0.3592
sin_Sinh,0.6408,0.1323,0.6408
lit_Latn,0.767,0.2389,0.767
afr_Latn,0.9806,0.4319,0.9806
pes_Arab,0.7961,0.2314,0.7961
mkd_Cyrl,0.8932,0.3534,0.8932
kor_Hang,0.9223,0.3283,0.9223
ind_Latn,0.8932,0.431,0.8932
kir_Cyrl,0.5825,0.1095,0.5825
arb_Arab,0.8058,0.2409,0.8058
tsn_Latn,0.4272,0.0926,0.4272
fin_Latn,0.9029,0.3466,0.9029
ibo_Latn,0.5825,0.1316,0.5825
spa_Latn,0.8641,0.3757,0.8641
ell_Grek,0.8544,0.3317,0.8544
kat_Geor,0.7379,0.226,0.7379
slk_Latn,0.7864,0.294,0.7864
nya_Latn,0.6214,0.1488,0.6214
kaz_Cyrl,0.5825,0.105,0.5825
ben_Beng,0.8252,0.2797,0.8252
hat_Latn,0.5728,0.1228,0.5728
ory_Orya,0.6893,0.1483,0.6893
tir_Ethi,0.6311,0.1319,0.6311
hun_Latn,0.8932,0.3567,0.8932
eus_Latn,0.1748,0.0312,0.1748
sot_Latn,0.466,0.1106,0.466
urd_Arab,0.6505,0.161,0.6505
kan_Knda,0.6311,0.1416,0.6311
nob_Latn,0.932,0.4604,0.932
lug_Latn,0.2233,0.0375,0.2233
zsm_Latn,0.5534,0.1167,0.5534
fra_Latn,0.9515,0.4531,0.9515
tgk_Cyrl,0.7184,0.1741,0.7184
dan_Latn,0.9417,0.4561,0.9417
shn_Mymr,0.1068,0.0102,0.1068
urd_Latn,0.5243,0.0853,0.5243
pan_Guru,0.6505,0.1736,0.6505
xho_Latn,0.3398,0.0675,0.3398
pol_Latn,0.9223,0.4116,0.9223
tha_Thai,0.932,0.2958,0.932
por_Latn,0.9223,0.3981,0.9223
guj_Gujr,0.7184,0.1982,0.7184
tam_Taml,0.7961,0.1953,0.7961
fuv_Latn,0.0874,0.0088,0.0874
tso_Latn,0.3689,0.0616,0.3689
luo_Latn,0.0971,0.0187,0.0971
eng_Latn,1.0,1.0,1.0
hrv_Latn,0.8155,0.3003,0.8155
amh_Ethi,0.835,0.2107,0.835
slv_Latn,0.8252,0.2831,0.8252
mal_Mlym,0.7864,0.1869,0.7864
wol_Latn,0.1359,0.019,0.1359
tur_Latn,0.7282,0.1824,0.7282
cat_Latn,0.767,0.2709,0.767
hin_Deva,0.8641,0.2761,0.8641
hin_Latn,0.4175,0.0795,0.4175
mar_Deva,0.7573,0.2283,0.7573
swh_Latn,0.7767,0.2698,0.7767
bul_Cyrl,0.8544,0.3829,0.8544
kin_Latn,0.4757,0.0962,0.4757
bam_Latn,0.068,0.0111,0.068
plt_Latn,0.5825,0.1427,0.5825
ary_Arab,0.3398,0.0655,0.3398
zul_Latn,0.534,0.1244,0.534
heb_Hebr,0.6505,0.1648,0.6505
npi_Deva,0.8544,0.2204,0.8544
ron_Latn,0.932,0.4285,0.932
ckb_Arab,0.301,0.0524,0.301
snd_Arab,0.5146,0.0939,0.5146
sun_Latn,0.3107,0.0666,0.3107
ilo_Latn,0.4369,0.0858,0.4369
som_Latn,0.3495,0.0551,0.3495
asm_Beng,0.7573,0.1818,0.7573
ukr_Cyrl,0.932,0.3786,0.932
tel_Telu,0.7379,0.1691,0.7379
tgl_Latn,0.8058,0.2818,0.8058
deu_Latn,0.7961,0.2511,0.7961
swe_Latn,0.8252,0.3479,0.8252
rus_Cyrl,0.9612,0.5157,0.9612
nld_Latn,0.9806,0.522,0.9806
yor_Latn,0.5825,0.1287,0.5825
khm_Khmr,0.699,0.1847,0.699
sna_Latn,0.534,0.1165,0.534
mya_Mymr,0.6019,0.114,0.6019
srp_Cyrl,0.8738,0.35,0.8738
lin_Latn,0.4272,0.0772,0.4272
ces_Latn,0.9126,0.3949,0.9126
mri_Latn,0.3107,0.0583,0.3107
kac_Latn,0.0291,0.0038,0.0291
vie_Latn,0.8447,0.3109,0.8447
est_Latn,0.767,0.2642,0.767
mlt_Latn,0.6699,0.1962,0.6699
isl_Latn,0.8447,0.2723,0.8447
ita_Latn,0.9223,0.4529,0.9223
jav_Latn,0.4854,0.0908,0.4854
ceb_Latn,0.8058,0.2021,0.8058
ssw_Latn,0.3883,0.0774,0.3883
arz_Arab,0.8738,0.3308,0.8738
hye_Armn,0.8447,0.2443,0.8447
