code,cis-lmu/glot500-base_max,cis-lmu/glot500-base_mean,avg
ilo_Latn,0.4854,0.1628,0.4854
amh_Ethi,0.4272,0.1807,0.4272
tir_Ethi,0.1942,0.0777,0.1942
hye_Armn,0.7282,0.3682,0.7282
khm_Khmr,0.2718,0.1053,0.2718
pol_Latn,0.7864,0.3898,0.7864
ind_Latn,0.7961,0.4615,0.7961
ory_Orya,0.5631,0.2584,0.5631
ron_Latn,0.6214,0.2711,0.6214
ita_Latn,0.835,0.4772,0.835
ces_Latn,0.7087,0.3615,0.7087
pan_Guru,0.3398,0.1441,0.3398
luo_Latn,0.1942,0.0829,0.1942
tel_Telu,0.2136,0.0889,0.2136
war_Latn,0.2524,0.0836,0.2524
lit_Latn,0.6893,0.3383,0.6893
sot_Latn,0.4757,0.1919,0.4757
kir_Cyrl,0.5243,0.2457,0.5243
pes_Arab,0.7476,0.4085,0.7476
hin_Deva,0.7282,0.3786,0.7282
nya_Latn,0.5534,0.224,0.5534
asm_Beng,0.3301,0.1217,0.3301
est_Latn,0.8155,0.3801,0.8155
zsm_Latn,0.0777,0.0388,0.0777
kin_Latn,0.3495,0.1441,0.3495
tgk_Cyrl,0.6019,0.2748,0.6019
rus_Cyrl,0.8738,0.5101,0.8738
sna_Latn,0.5146,0.1949,0.5146
nob_Latn,0.9806,0.6871,0.9806
hun_Latn,0.5437,0.2524,0.5437
kor_Hang,0.466,0.1919,0.466
kan_Knda,0.233,0.1016,0.233
ibo_Latn,0.233,0.0941,0.233
mal_Mlym,0.2427,0.0926,0.2427
fuv_Latn,0.0583,0.0254,0.0583
plt_Latn,0.4466,0.183,0.4466
bul_Cyrl,0.8835,0.528,0.8835
fin_Latn,0.8252,0.4264,0.8252
isl_Latn,0.7767,0.3973,0.7767
snd_Arab,0.2136,0.0822,0.2136
lug_Latn,0.4272,0.1792,0.4272
ukr_Cyrl,0.835,0.4459,0.835
slk_Latn,0.7767,0.4003,0.7767
arb_Arab,0.2136,0.0784,0.2136
bam_Latn,0.2913,0.0934,0.2913
yor_Latn,0.0777,0.0254,0.0777
kac_Latn,0.1359,0.0433,0.1359
cat_Latn,0.699,0.3809,0.699
zul_Latn,0.5825,0.2382,0.5825
hrv_Latn,0.8058,0.4347,0.8058
slv_Latn,0.7379,0.357,0.7379
swh_Latn,0.6893,0.3428,0.6893
sin_Sinh,0.165,0.0724,0.165
xho_Latn,0.4466,0.186,0.4466
tsn_Latn,0.3301,0.1247,0.3301
ben_Beng,0.3689,0.1688,0.3689
tso_Latn,0.3981,0.1352,0.3981
heb_Hebr,0.3883,0.1763,0.3883
mlt_Latn,0.3981,0.1456,0.3981
mkd_Cyrl,0.8835,0.4765,0.8835
arz_Arab,0.1262,0.0299,0.1262
srp_Cyrl,0.8932,0.4862,0.8932
hin_Latn,0.3786,0.1329,0.3786
afr_Latn,0.9223,0.5116,0.9223
guj_Gujr,0.5243,0.2397,0.5243
eus_Latn,0.0388,0.0187,0.0388
ary_Arab,0.0097,0.0007,0.0097
mya_Mymr,0.0874,0.0329,0.0874
ceb_Latn,0.3592,0.1329,0.3592
tur_Latn,0.6019,0.298,0.6019
deu_Latn,0.2136,0.112,0.2136
wol_Latn,0.1748,0.0657,0.1748
urd_Arab,0.2233,0.0986,0.2233
shn_Mymr,0.0,0.0,0.0
kaz_Cyrl,0.5437,0.224,0.5437
nso_Latn,0.4563,0.1426,0.4563
npi_Deva,0.4563,0.2211,0.4563
hat_Latn,0.5534,0.2136,0.5534
tha_Thai,0.0777,0.0246,0.0777
tam_Taml,0.2621,0.1083,0.2621
kat_Geor,0.7087,0.351,0.7087
ell_Grek,0.7476,0.3391,0.7476
hau_Latn,0.4466,0.1456,0.4466
dan_Latn,0.932,0.5706,0.932
ckb_Arab,0.2427,0.0836,0.2427
mri_Latn,0.2816,0.0986,0.2816
som_Latn,0.2136,0.0807,0.2136
spa_Latn,0.7767,0.4347,0.7767
jav_Latn,0.3495,0.1202,0.3495
ssw_Latn,0.3398,0.1426,0.3398
sun_Latn,0.2621,0.1143,0.2621
nld_Latn,0.8932,0.5325,0.8932
swe_Latn,0.7961,0.4653,0.7961
tgl_Latn,0.699,0.3697,0.699
eng_Latn,1.0,1.0,1.0
urd_Latn,0.0194,0.0037,0.0194
mar_Deva,0.7864,0.3816,0.7864
vie_Latn,0.5825,0.2621,0.5825
por_Latn,0.8447,0.4608,0.8447
fra_Latn,0.6602,0.3682,0.6602
lin_Latn,0.5825,0.2293,0.5825
