code,meta-llama/Llama-3.1-8B_max,meta-llama/Llama-3.1-8B_mean,avg
slv_Latn,0.5728,0.2739,0.5728
hrv_Latn,0.5534,0.2986,0.5534
zul_Latn,0.0971,0.0318,0.0971
yor_Latn,0.0874,0.0312,0.0874
bam_Latn,0.0388,0.0132,0.0388
cat_Latn,0.6893,0.426,0.6893
kac_Latn,0.0291,0.0079,0.0291
ben_Beng,0.534,0.1939,0.534
tso_Latn,0.0485,0.0177,0.0485
mlt_Latn,0.301,0.118,0.301
heb_Hebr,0.5728,0.2698,0.5728
sin_Sinh,0.2039,0.038,0.2039
tsn_Latn,0.0971,0.0315,0.0971
xho_Latn,0.0971,0.0321,0.0971
swh_Latn,0.466,0.15,0.466
hin_Latn,0.3592,0.0968,0.3592
afr_Latn,0.7961,0.4442,0.7961
arz_Arab,0.8058,0.3875,0.8058
srp_Cyrl,0.7476,0.3863,0.7476
mkd_Cyrl,0.8641,0.4678,0.8641
wol_Latn,0.0485,0.0118,0.0485
ceb_Latn,0.4563,0.1527,0.4563
deu_Latn,0.8058,0.4613,0.8058
tur_Latn,0.6408,0.2919,0.6408
mya_Mymr,0.068,0.0171,0.068
guj_Gujr,0.3592,0.1018,0.3592
ary_Arab,0.1748,0.0453,0.1748
eus_Latn,0.0777,0.0303,0.0777
npi_Deva,0.4563,0.1698,0.4563
nso_Latn,0.0971,0.0312,0.0971
kaz_Cyrl,0.3301,0.1247,0.3301
shn_Mymr,0.0291,0.0026,0.0291
urd_Arab,0.5146,0.1971,0.5146
ell_Grek,0.7864,0.5154,0.7864
hau_Latn,0.165,0.0591,0.165
kat_Geor,0.4757,0.1339,0.4757
hat_Latn,0.2136,0.0762,0.2136
tam_Taml,0.3107,0.0685,0.3107
tha_Thai,0.5534,0.1954,0.5534
ssw_Latn,0.068,0.0197,0.068
sun_Latn,0.1456,0.06,0.1456
jav_Latn,0.165,0.063,0.165
som_Latn,0.0971,0.0229,0.0971
spa_Latn,0.8155,0.5246,0.8155
ckb_Arab,0.1359,0.0318,0.1359
dan_Latn,0.7961,0.4975,0.7961
mri_Latn,0.3301,0.0897,0.3301
fra_Latn,0.8932,0.6655,0.8932
lin_Latn,0.068,0.0206,0.068
mar_Deva,0.4078,0.1827,0.4078
urd_Latn,0.3689,0.1071,0.3689
vie_Latn,0.7184,0.4557,0.7184
por_Latn,0.8155,0.5881,0.8155
nld_Latn,0.9709,0.6946,0.9709
swe_Latn,0.7961,0.4754,0.7961
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.7476,0.318,0.7476
amh_Ethi,0.0291,0.0035,0.0291
tir_Ethi,0.0097,0.0012,0.0097
ilo_Latn,0.1845,0.0656,0.1845
ory_Orya,0.0777,0.0235,0.0777
ind_Latn,0.9126,0.5969,0.9126
pol_Latn,0.7961,0.4798,0.7961
hye_Armn,0.5049,0.1801,0.5049
khm_Khmr,0.0874,0.0135,0.0874
ces_Latn,0.8252,0.4984,0.8252
ron_Latn,0.8544,0.4798,0.8544
ita_Latn,0.8641,0.6237,0.8641
kir_Cyrl,0.2913,0.0977,0.2913
pes_Arab,0.7379,0.3954,0.7379
hin_Deva,0.6893,0.3269,0.6893
tel_Telu,0.3204,0.0936,0.3204
luo_Latn,0.0291,0.0124,0.0291
war_Latn,0.301,0.09,0.301
sot_Latn,0.0874,0.0241,0.0874
lit_Latn,0.4369,0.2033,0.4369
pan_Guru,0.2524,0.0435,0.2524
asm_Beng,0.2816,0.0788,0.2816
nya_Latn,0.0583,0.0229,0.0583
rus_Cyrl,0.9126,0.702,0.9126
kin_Latn,0.1165,0.0285,0.1165
tgk_Cyrl,0.3592,0.1021,0.3592
est_Latn,0.5049,0.2415,0.5049
zsm_Latn,0.4757,0.1242,0.4757
mal_Mlym,0.301,0.0738,0.301
fuv_Latn,0.0485,0.0112,0.0485
plt_Latn,0.0874,0.0277,0.0874
bul_Cyrl,0.8058,0.4946,0.8058
kor_Hang,0.7379,0.4063,0.7379
kan_Knda,0.2427,0.0662,0.2427
ibo_Latn,0.233,0.0718,0.233
nob_Latn,0.8155,0.531,0.8155
sna_Latn,0.1359,0.03,0.1359
hun_Latn,0.8447,0.474,0.8447
arb_Arab,0.6893,0.3369,0.6893
ukr_Cyrl,0.8738,0.559,0.8738
lug_Latn,0.068,0.015,0.068
slk_Latn,0.6311,0.3063,0.6311
fin_Latn,0.6117,0.2813,0.6117
isl_Latn,0.5243,0.2148,0.5243
snd_Arab,0.2816,0.0915,0.2816
