code,intfloat/multilingual-e5-base_max,intfloat/multilingual-e5-base_mean,avg
sun_Latn,0.835,0.2001,0.835
ssw_Latn,0.8155,0.1949,0.8155
jav_Latn,0.8932,0.2651,0.8932
som_Latn,0.9709,0.3211,0.9709
spa_Latn,0.9709,0.5108,0.9709
dan_Latn,1.0,0.6475,1.0
ckb_Arab,0.8641,0.1949,0.8641
mri_Latn,0.932,0.1972,0.932
fra_Latn,0.9903,0.4742,0.9903
lin_Latn,0.9417,0.2465,0.9417
vie_Latn,0.9709,0.3891,0.9709
mar_Deva,0.9806,0.4473,0.9806
urd_Latn,0.0388,0.0052,0.0388
por_Latn,1.0,0.4712,1.0
nld_Latn,1.0,0.5975,1.0
tgl_Latn,0.9903,0.4003,0.9903
eng_Latn,1.0,1.0,1.0
swe_Latn,0.9903,0.4638,0.9903
nso_Latn,0.9417,0.2173,0.9417
npi_Deva,0.9417,0.3331,0.9417
shn_Mymr,0.3981,0.0358,0.3981
kaz_Cyrl,0.9515,0.3234,0.9515
urd_Arab,0.9612,0.2562,0.9612
hau_Latn,0.9223,0.2898,0.9223
ell_Grek,0.9903,0.5056,0.9903
kat_Geor,0.9806,0.404,0.9806
hat_Latn,0.8641,0.2046,0.8641
tha_Thai,0.9806,0.2069,0.9806
tam_Taml,0.9612,0.2972,0.9612
afr_Latn,1.0,0.4937,1.0
hin_Latn,0.0291,0.003,0.0291
arz_Arab,0.3883,0.0545,0.3883
srp_Cyrl,0.9709,0.4683,0.9709
mkd_Cyrl,0.9806,0.4802,0.9806
wol_Latn,0.7087,0.1479,0.7087
deu_Latn,0.9223,0.3144,0.9223
tur_Latn,0.9903,0.3779,0.9903
ceb_Latn,0.8738,0.2114,0.8738
mya_Mymr,0.9515,0.2166,0.9515
ary_Arab,0.1845,0.0217,0.1845
eus_Latn,0.2913,0.05,0.2913
guj_Gujr,0.9029,0.3406,0.9029
slv_Latn,0.9709,0.3652,0.9709
hrv_Latn,1.0,0.4332,1.0
zul_Latn,0.9806,0.301,0.9806
bam_Latn,0.7961,0.1546,0.7961
yor_Latn,0.9029,0.1516,0.9029
kac_Latn,0.5728,0.0836,0.5728
cat_Latn,0.9903,0.4578,0.9903
ben_Beng,0.9903,0.348,0.9903
mlt_Latn,0.8641,0.1912,0.8641
heb_Hebr,0.7864,0.2465,0.7864
tso_Latn,0.9417,0.2069,0.9417
sin_Sinh,1.0,0.3084,1.0
xho_Latn,0.932,0.2913,0.932
tsn_Latn,0.9709,0.2606,0.9709
swh_Latn,0.9806,0.3981,0.9806
plt_Latn,0.8835,0.2353,0.8835
mal_Mlym,0.9612,0.3279,0.9612
fuv_Latn,0.7184,0.1434,0.7184
bul_Cyrl,1.0,0.5952,1.0
kan_Knda,0.9806,0.2935,0.9806
kor_Hang,0.9417,0.3532,0.9417
ibo_Latn,0.9515,0.1904,0.9515
hun_Latn,0.9806,0.4309,0.9806
sna_Latn,0.9709,0.2845,0.9709
nob_Latn,1.0,0.6184,1.0
arb_Arab,0.7961,0.1486,0.7961
lug_Latn,0.9709,0.2278,0.9709
ukr_Cyrl,1.0,0.4944,1.0
slk_Latn,0.9903,0.4429,0.9903
fin_Latn,0.9903,0.5444,0.9903
snd_Arab,0.9515,0.3234,0.9515
isl_Latn,0.932,0.4137,0.932
asm_Beng,0.9417,0.2412,0.9417
nya_Latn,0.9417,0.2293,0.9417
rus_Cyrl,0.9903,0.5519,0.9903
kin_Latn,0.9417,0.2621,0.9417
tgk_Cyrl,0.9709,0.2689,0.9709
zsm_Latn,0.8641,0.1494,0.8641
est_Latn,0.9709,0.3831,0.9709
ces_Latn,0.9806,0.5123,0.9806
ita_Latn,0.9903,0.5497,0.9903
ron_Latn,0.9806,0.416,0.9806
kir_Cyrl,0.9709,0.304,0.9709
pes_Arab,0.9417,0.3839,0.9417
hin_Deva,0.9806,0.4347,0.9806
luo_Latn,0.7282,0.1583,0.7282
tel_Telu,0.9515,0.3264,0.9515
sot_Latn,0.9223,0.2577,0.9223
lit_Latn,0.9709,0.3742,0.9709
war_Latn,0.8835,0.2106,0.8835
pan_Guru,0.9806,0.3794,0.9806
tir_Ethi,0.9223,0.2226,0.9223
amh_Ethi,1.0,0.3465,1.0
ilo_Latn,0.7573,0.1613,0.7573
ind_Latn,1.0,0.4511,1.0
ory_Orya,1.0,0.3846,1.0
pol_Latn,1.0,0.4996,1.0
khm_Khmr,0.9612,0.283,0.9612
hye_Armn,0.9806,0.407,0.9806
