code,mistralai/Mistral-7B-v0.3_max,mistralai/Mistral-7B-v0.3_mean,avg
est_Latn,0.2136,0.0468,0.2136
zsm_Latn,0.1748,0.0418,0.1748
kin_Latn,0.0291,0.0059,0.0291
tgk_Cyrl,0.0194,0.0044,0.0194
rus_Cyrl,0.8447,0.5822,0.8447
nya_Latn,0.0291,0.0118,0.0291
asm_Beng,0.0291,0.0074,0.0291
fin_Latn,0.4078,0.1636,0.4078
isl_Latn,0.3592,0.1194,0.3592
snd_Arab,0.0194,0.0029,0.0194
ukr_Cyrl,0.8252,0.4457,0.8252
lug_Latn,0.0097,0.0047,0.0097
slk_Latn,0.4175,0.2151,0.4175
arb_Arab,0.6893,0.2342,0.6893
nob_Latn,0.699,0.4025,0.699
sna_Latn,0.0291,0.0129,0.0291
hun_Latn,0.5631,0.2445,0.5631
kor_Hang,0.5146,0.2142,0.5146
kan_Knda,0.0388,0.0074,0.0388
ibo_Latn,0.0097,0.0038,0.0097
fuv_Latn,0.0097,0.0012,0.0097
mal_Mlym,0.0,0.0,0.0
plt_Latn,0.0291,0.0118,0.0291
bul_Cyrl,0.8252,0.4525,0.8252
hye_Armn,0.0485,0.0097,0.0485
khm_Khmr,0.0194,0.0026,0.0194
pol_Latn,0.7573,0.4066,0.7573
ory_Orya,0.0,0.0,0.0
ind_Latn,0.6019,0.2486,0.6019
ilo_Latn,0.0388,0.0159,0.0388
amh_Ethi,0.0097,0.0009,0.0097
tir_Ethi,0.0097,0.0012,0.0097
pan_Guru,0.0,0.0,0.0
tel_Telu,0.0097,0.0018,0.0097
luo_Latn,0.0194,0.0079,0.0194
war_Latn,0.068,0.0218,0.068
lit_Latn,0.1456,0.0559,0.1456
sot_Latn,0.0291,0.0109,0.0291
kir_Cyrl,0.0194,0.0056,0.0194
hin_Deva,0.3786,0.0824,0.3786
pes_Arab,0.3398,0.103,0.3398
ron_Latn,0.6019,0.2783,0.6019
ita_Latn,0.8252,0.5075,0.8252
ces_Latn,0.6796,0.3363,0.6796
hat_Latn,0.1262,0.0306,0.1262
tam_Taml,0.0583,0.0109,0.0583
tha_Thai,0.301,0.0685,0.301
kat_Geor,0.0291,0.0079,0.0291
ell_Grek,0.534,0.2371,0.534
hau_Latn,0.0291,0.0103,0.0291
urd_Arab,0.233,0.0403,0.233
shn_Mymr,0.0,0.0,0.0
kaz_Cyrl,0.0583,0.0109,0.0583
npi_Deva,0.1845,0.0294,0.1845
nso_Latn,0.0291,0.0115,0.0291
nld_Latn,0.9029,0.509,0.9029
swe_Latn,0.7184,0.4098,0.7184
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.3398,0.1036,0.3398
urd_Latn,0.2427,0.0506,0.2427
mar_Deva,0.1068,0.0115,0.1068
vie_Latn,0.3592,0.1265,0.3592
por_Latn,0.7961,0.4904,0.7961
fra_Latn,0.9029,0.6234,0.9029
lin_Latn,0.0291,0.0112,0.0291
ckb_Arab,0.0291,0.0056,0.0291
dan_Latn,0.7379,0.4169,0.7379
mri_Latn,0.1068,0.0232,0.1068
som_Latn,0.0194,0.0076,0.0194
spa_Latn,0.6796,0.3513,0.6796
jav_Latn,0.0291,0.0132,0.0291
ssw_Latn,0.0291,0.0091,0.0291
sun_Latn,0.0388,0.0124,0.0388
swh_Latn,0.0583,0.0206,0.0583
sin_Sinh,0.0097,0.0015,0.0097
tsn_Latn,0.0291,0.0094,0.0291
xho_Latn,0.0388,0.0135,0.0388
ben_Beng,0.1748,0.0335,0.1748
tso_Latn,0.0291,0.0124,0.0291
heb_Hebr,0.4175,0.1359,0.4175
mlt_Latn,0.0583,0.0209,0.0583
yor_Latn,0.0291,0.0097,0.0291
bam_Latn,0.0097,0.0079,0.0097
cat_Latn,0.699,0.4039,0.699
kac_Latn,0.0097,0.0018,0.0097
zul_Latn,0.0291,0.0118,0.0291
hrv_Latn,0.5437,0.2392,0.5437
slv_Latn,0.5922,0.2863,0.5922
guj_Gujr,0.0097,0.0003,0.0097
eus_Latn,0.0485,0.0118,0.0485
ary_Arab,0.0583,0.015,0.0583
mya_Mymr,0.0097,0.0006,0.0097
ceb_Latn,0.1359,0.0438,0.1359
tur_Latn,0.3786,0.1212,0.3786
deu_Latn,0.5631,0.263,0.5631
wol_Latn,0.0097,0.0024,0.0097
mkd_Cyrl,0.6117,0.2689,0.6117
arz_Arab,0.6602,0.228,0.6602
srp_Cyrl,0.7476,0.3742,0.7476
hin_Latn,0.1456,0.0359,0.1456
afr_Latn,0.5631,0.2501,0.5631
