code,mistralai/Mixtral-8x22B-v0.1_max,mistralai/Mixtral-8x22B-v0.1_mean,avg
afr_Latn,0.8641,0.5636,0.8641
amh_Ethi,0.0194,0.0003,0.0194
arb_Arab,0.6893,0.2753,0.6893
ary_Arab,0.1845,0.037,0.1845
arz_Arab,0.7282,0.2127,0.7282
asm_Beng,0.1942,0.0545,0.1942
bam_Latn,0.0194,0.0135,0.0194
ben_Beng,0.4757,0.1443,0.4757
bul_Cyrl,0.9417,0.6055,0.9417
cat_Latn,0.9417,0.6411,0.9417
ceb_Latn,0.4951,0.2322,0.4951
ces_Latn,0.9126,0.5747,0.9126
ckb_Arab,0.0583,0.0181,0.0583
dan_Latn,0.9515,0.6282,0.9515
deu_Latn,0.9806,0.6391,0.9806
ell_Grek,0.9126,0.3206,0.9126
eng_Latn,1.0,1.0,1.0
est_Latn,0.6214,0.3327,0.6214
eus_Latn,0.165,0.0836,0.165
fin_Latn,0.9029,0.4895,0.9029
fra_Latn,1.0,0.6694,1.0
fuv_Latn,0.0291,0.0116,0.0291
guj_Gujr,0.3592,0.0625,0.3592
hat_Latn,0.4369,0.227,0.4369
hau_Latn,0.0874,0.0468,0.0874
heb_Hebr,0.6602,0.2776,0.6602
hin_Deva,0.7087,0.2572,0.7087
hin_Latn,0.3107,0.1729,0.3107
hrv_Latn,0.8932,0.5818,0.8932
hun_Latn,0.8835,0.5319,0.8835
hye_Armn,0.4078,0.0903,0.4078
ibo_Latn,0.068,0.0271,0.068
ilo_Latn,0.1165,0.0717,0.1165
ind_Latn,0.7573,0.3883,0.7573
isl_Latn,0.7282,0.3437,0.7282
ita_Latn,0.9903,0.7249,0.9903
jav_Latn,0.0874,0.0446,0.0874
kac_Latn,0.0097,0.0058,0.0097
kan_Knda,0.2427,0.0801,0.2427
kat_Geor,0.233,0.0634,0.233
kaz_Cyrl,0.1165,0.0557,0.1165
khm_Khmr,0.1068,0.0196,0.1068
kin_Latn,0.0388,0.0255,0.0388
kir_Cyrl,0.0971,0.0543,0.0971
kor_Hang,0.8544,0.3812,0.8544
lin_Latn,0.0388,0.023,0.0388
lit_Latn,0.6311,0.3579,0.6311
lug_Latn,0.0194,0.0058,0.0194
luo_Latn,0.0291,0.0158,0.0291
mal_Mlym,0.233,0.0325,0.233
mar_Deva,0.3883,0.1213,0.3883
mkd_Cyrl,0.9029,0.5396,0.9029
mlt_Latn,0.2039,0.1024,0.2039
mri_Latn,0.3398,0.1347,0.3398
mya_Mymr,0.0583,0.014,0.0583
nld_Latn,0.9806,0.6488,0.9806
nob_Latn,0.9515,0.6886,0.9515
npi_Deva,0.5534,0.1724,0.5534
nso_Latn,0.0583,0.0203,0.0583
nya_Latn,0.068,0.0284,0.068
ory_Orya,0.1359,0.0194,0.1359
pan_Guru,0.1359,0.0082,0.1359
pes_Arab,0.7282,0.2609,0.7282
plt_Latn,0.0971,0.0353,0.0971
pol_Latn,0.9515,0.5873,0.9515
por_Latn,0.9417,0.6593,0.9417
ron_Latn,0.8835,0.4931,0.8835
rus_Cyrl,0.9709,0.6622,0.9709
shn_Mymr,0.0097,0.0002,0.0097
sin_Sinh,0.0194,0.0053,0.0194
slk_Latn,0.8544,0.5151,0.8544
slv_Latn,0.932,0.5737,0.932
sna_Latn,0.165,0.0867,0.165
snd_Arab,0.0874,0.0255,0.0874
som_Latn,0.0291,0.0153,0.0291
sot_Latn,0.0583,0.0286,0.0583
spa_Latn,0.8932,0.6065,0.8932
srp_Cyrl,0.9029,0.6004,0.9029
ssw_Latn,0.0777,0.0279,0.0777
sun_Latn,0.0874,0.0465,0.0874
swe_Latn,0.9515,0.6737,0.9515
swh_Latn,0.4175,0.2179,0.4175
tam_Taml,0.4272,0.1109,0.4272
tel_Telu,0.2136,0.062,0.2136
tgk_Cyrl,0.2136,0.0927,0.2136
tgl_Latn,0.6893,0.3136,0.6893
tha_Thai,0.6019,0.2003,0.6019
tir_Ethi,0.0,0.0,0.0
tsn_Latn,0.0485,0.0293,0.0485
tso_Latn,0.0291,0.0138,0.0291
tur_Latn,0.5534,0.3006,0.5534
ukr_Cyrl,0.9806,0.6186,0.9806
urd_Arab,0.5437,0.1674,0.5437
urd_Latn,0.3689,0.1853,0.3689
vie_Latn,0.7087,0.2766,0.7087
war_Latn,0.233,0.1235,0.233
wol_Latn,0.0777,0.0262,0.0777
xho_Latn,0.1165,0.0547,0.1165
yor_Latn,0.0971,0.0123,0.0971
zsm_Latn,0.3204,0.1323,0.3204
zul_Latn,0.1748,0.079,0.1748
