code,jhu-clsp/mmBERT-base_max,jhu-clsp/mmBERT-base_mean,avg
kin_Latn,0.0485,0.0122,0.0485
tgk_Cyrl,0.1068,0.0274,0.1068
rus_Cyrl,0.7961,0.3786,0.7961
zsm_Latn,0.0874,0.0249,0.0874
est_Latn,0.4466,0.1169,0.4466
asm_Beng,0.0194,0.0017,0.0194
nya_Latn,0.0097,0.0038,0.0097
arb_Arab,0.0583,0.0215,0.0583
fin_Latn,0.5728,0.1469,0.5728
snd_Arab,0.0291,0.0059,0.0291
isl_Latn,0.3592,0.095,0.3592
ukr_Cyrl,0.6019,0.2085,0.6019
lug_Latn,0.0291,0.0055,0.0291
slk_Latn,0.6408,0.214,0.6408
plt_Latn,0.0777,0.0203,0.0777
mal_Mlym,0.0097,0.0008,0.0097
fuv_Latn,0.0388,0.0068,0.0388
bul_Cyrl,0.7767,0.2782,0.7767
hun_Latn,0.3883,0.1237,0.3883
nob_Latn,0.9417,0.4968,0.9417
sna_Latn,0.0388,0.0135,0.0388
kan_Knda,0.0388,0.0038,0.0388
kor_Hang,0.2913,0.0587,0.2913
ibo_Latn,0.0097,0.0025,0.0097
pol_Latn,0.6311,0.1959,0.6311
ory_Orya,0.0194,0.003,0.0194
ind_Latn,0.7379,0.3056,0.7379
khm_Khmr,0.0291,0.0038,0.0291
hye_Armn,0.1165,0.0228,0.1165
tir_Ethi,0.0,0.0,0.0
amh_Ethi,0.0194,0.0017,0.0194
ilo_Latn,0.0194,0.0084,0.0194
tel_Telu,0.0291,0.0055,0.0291
luo_Latn,0.0194,0.0101,0.0194
sot_Latn,0.0583,0.0152,0.0583
lit_Latn,0.4369,0.1385,0.4369
war_Latn,0.0777,0.0194,0.0777
kir_Cyrl,0.068,0.0106,0.068
pes_Arab,0.4854,0.1802,0.4854
hin_Deva,0.4175,0.111,0.4175
pan_Guru,0.0777,0.008,0.0777
ces_Latn,0.7379,0.2554,0.7379
ita_Latn,0.8544,0.4247,0.8544
ron_Latn,0.7087,0.1667,0.7087
hau_Latn,0.0291,0.0097,0.0291
ell_Grek,0.534,0.0946,0.534
hat_Latn,0.233,0.0654,0.233
tam_Taml,0.0388,0.0063,0.0388
tha_Thai,0.1359,0.0287,0.1359
kat_Geor,0.0388,0.0063,0.0388
shn_Mymr,0.0,0.0,0.0
kaz_Cyrl,0.1165,0.0127,0.1165
npi_Deva,0.1456,0.0253,0.1456
nso_Latn,0.0583,0.0131,0.0583
urd_Arab,0.1068,0.0207,0.1068
vie_Latn,0.4951,0.179,0.4951
mar_Deva,0.1553,0.0338,0.1553
urd_Latn,0.0097,0.0042,0.0097
por_Latn,0.7767,0.3491,0.7767
fra_Latn,0.8252,0.3331,0.8252
lin_Latn,0.0388,0.0063,0.0388
nld_Latn,0.9223,0.5201,0.9223
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.4369,0.1182,0.4369
swe_Latn,0.8252,0.3558,0.8252
jav_Latn,0.0874,0.0295,0.0874
sun_Latn,0.068,0.022,0.068
ssw_Latn,0.0291,0.0097,0.0291
ckb_Arab,0.0194,0.0076,0.0194
dan_Latn,0.9029,0.4432,0.9029
mri_Latn,0.1165,0.0367,0.1165
som_Latn,0.0874,0.0122,0.0874
spa_Latn,0.5631,0.29,0.5631
ben_Beng,0.1456,0.0215,0.1456
mlt_Latn,0.1553,0.0388,0.1553
heb_Hebr,0.2524,0.0667,0.2524
tso_Latn,0.0291,0.0093,0.0291
swh_Latn,0.3107,0.0827,0.3107
sin_Sinh,0.0194,0.0025,0.0194
tsn_Latn,0.0291,0.0059,0.0291
xho_Latn,0.0777,0.0169,0.0777
slv_Latn,0.5728,0.1697,0.5728
yor_Latn,0.0,0.0,0.0
bam_Latn,0.0291,0.0101,0.0291
cat_Latn,0.6699,0.236,0.6699
kac_Latn,0.0097,0.0013,0.0097
hrv_Latn,0.6796,0.2288,0.6796
zul_Latn,0.0388,0.0131,0.0388
deu_Latn,0.5437,0.2718,0.5437
tur_Latn,0.3883,0.1114,0.3883
ceb_Latn,0.2136,0.049,0.2136
wol_Latn,0.0194,0.0034,0.0194
ary_Arab,0.0194,0.003,0.0194
eus_Latn,0.0194,0.0093,0.0194
guj_Gujr,0.0971,0.0165,0.0971
mya_Mymr,0.0097,0.0004,0.0097
arz_Arab,0.0291,0.0046,0.0291
srp_Cyrl,0.5534,0.1663,0.5534
afr_Latn,0.835,0.3959,0.835
hin_Latn,0.0583,0.0156,0.0583
mkd_Cyrl,0.6602,0.1718,0.6602
