code,Qwen/Qwen3.5-9B-Base_max,Qwen/Qwen3.5-9B-Base_mean,avg
ssw_Latn,0.1942,0.0697,0.1942
sun_Latn,0.2233,0.0868,0.2233
jav_Latn,0.3107,0.1274,0.3107
som_Latn,0.233,0.0797,0.233
spa_Latn,0.835,0.5478,0.835
dan_Latn,0.8544,0.554,0.8544
ckb_Arab,0.2233,0.0741,0.2233
mri_Latn,0.2621,0.0806,0.2621
fra_Latn,0.9417,0.7146,0.9417
lin_Latn,0.0777,0.0274,0.0777
urd_Latn,0.2816,0.0927,0.2816
mar_Deva,0.1748,0.063,0.1748
vie_Latn,0.9029,0.6117,0.9029
por_Latn,0.9126,0.6546,0.9126
nld_Latn,0.9903,0.7335,0.9903
swe_Latn,0.7864,0.4557,0.7864
tgl_Latn,0.4563,0.1745,0.4563
eng_Latn,1.0,1.0,1.0
nso_Latn,0.2427,0.088,0.2427
npi_Deva,0.2427,0.0794,0.2427
shn_Mymr,0.0097,0.0006,0.0097
kaz_Cyrl,0.4466,0.1809,0.4466
urd_Arab,0.6311,0.261,0.6311
ell_Grek,0.9029,0.4931,0.9029
hau_Latn,0.1845,0.068,0.1845
kat_Geor,0.6408,0.3454,0.6408
hat_Latn,0.4272,0.1615,0.4272
tha_Thai,0.301,0.108,0.301
tam_Taml,0.1456,0.048,0.1456
hin_Latn,0.2524,0.0727,0.2524
afr_Latn,0.932,0.589,0.932
arz_Arab,0.8447,0.449,0.8447
srp_Cyrl,0.8544,0.501,0.8544
mkd_Cyrl,0.8447,0.5043,0.8447
wol_Latn,0.1068,0.0312,0.1068
ceb_Latn,0.3786,0.145,0.3786
tur_Latn,0.6893,0.3127,0.6893
deu_Latn,0.8447,0.5181,0.8447
mya_Mymr,0.0583,0.0147,0.0583
guj_Gujr,0.3786,0.1409,0.3786
eus_Latn,0.165,0.0665,0.165
ary_Arab,0.2816,0.1091,0.2816
slv_Latn,0.7767,0.4172,0.7767
zul_Latn,0.3204,0.1224,0.3204
hrv_Latn,0.7864,0.461,0.7864
bam_Latn,0.0388,0.0138,0.0388
yor_Latn,0.2233,0.0759,0.2233
kac_Latn,0.0097,0.0035,0.0097
cat_Latn,0.767,0.4351,0.767
ben_Beng,0.3495,0.1453,0.3495
tso_Latn,0.0971,0.0347,0.0971
heb_Hebr,0.6699,0.3689,0.6699
mlt_Latn,0.4757,0.2251,0.4757
sin_Sinh,0.2427,0.083,0.2427
xho_Latn,0.1845,0.0688,0.1845
tsn_Latn,0.2524,0.1003,0.2524
swh_Latn,0.4854,0.2154,0.4854
mal_Mlym,0.2136,0.0741,0.2136
fuv_Latn,0.0583,0.0159,0.0583
plt_Latn,0.1845,0.0703,0.1845
bul_Cyrl,0.8544,0.5584,0.8544
kor_Hang,0.9029,0.566,0.9029
kan_Knda,0.2039,0.0788,0.2039
ibo_Latn,0.3592,0.1347,0.3592
sna_Latn,0.2427,0.0765,0.2427
nob_Latn,0.8447,0.5563,0.8447
hun_Latn,0.8447,0.5096,0.8447
arb_Arab,0.7961,0.4307,0.7961
lug_Latn,0.0971,0.0279,0.0971
ukr_Cyrl,0.8058,0.516,0.8058
slk_Latn,0.767,0.4242,0.767
fin_Latn,0.8252,0.4763,0.8252
isl_Latn,0.7087,0.3851,0.7087
snd_Arab,0.3786,0.1415,0.3786
asm_Beng,0.3786,0.1415,0.3786
nya_Latn,0.2233,0.0824,0.2233
rus_Cyrl,0.8932,0.6758,0.8932
kin_Latn,0.1942,0.068,0.1942
tgk_Cyrl,0.5825,0.2613,0.5825
est_Latn,0.6699,0.381,0.6699
zsm_Latn,0.5049,0.228,0.5049
ces_Latn,0.8738,0.5705,0.8738
ron_Latn,0.9029,0.5811,0.9029
ita_Latn,0.9223,0.664,0.9223
kir_Cyrl,0.3592,0.1312,0.3592
pes_Arab,0.7767,0.4001,0.7767
hin_Deva,0.534,0.2177,0.534
luo_Latn,0.0291,0.0112,0.0291
tel_Telu,0.1068,0.0406,0.1068
war_Latn,0.2039,0.0733,0.2039
lit_Latn,0.7864,0.4428,0.7864
sot_Latn,0.2621,0.1121,0.2621
pan_Guru,0.4466,0.1812,0.4466
amh_Ethi,0.3301,0.1153,0.3301
tir_Ethi,0.2427,0.0635,0.2427
ilo_Latn,0.1942,0.06,0.1942
ind_Latn,0.9612,0.6814,0.9612
ory_Orya,0.3786,0.1486,0.3786
pol_Latn,0.8155,0.5184,0.8155
hye_Armn,0.6796,0.3472,0.6796
khm_Khmr,0.2039,0.0571,0.2039
