code,Qwen/Qwen3-1.7B_max,Qwen/Qwen3-1.7B_mean,avg
mri_Latn,0.0,0.0,0.0
dan_Latn,0.4466,0.163,0.4466
ckb_Arab,0.0,0.0,0.0
spa_Latn,0.5922,0.2866,0.5922
som_Latn,0.0,0.0,0.0
jav_Latn,0.0194,0.006,0.0194
sun_Latn,0.0291,0.0107,0.0291
ssw_Latn,0.0097,0.0007,0.0097
tgl_Latn,0.1262,0.0358,0.1262
eng_Latn,1.0,1.0,1.0
swe_Latn,0.4369,0.1456,0.4369
nld_Latn,0.5631,0.228,0.5631
por_Latn,0.7184,0.3539,0.7184
vie_Latn,0.4854,0.2005,0.4854
urd_Latn,0.0194,0.006,0.0194
mar_Deva,0.0485,0.0084,0.0485
lin_Latn,0.0097,0.0013,0.0097
fra_Latn,0.7864,0.3833,0.7864
urd_Arab,0.0777,0.0167,0.0777
kaz_Cyrl,0.0194,0.0033,0.0194
shn_Mymr,0.0,0.0,0.0
nso_Latn,0.0097,0.0033,0.0097
npi_Deva,0.0291,0.005,0.0291
tha_Thai,0.1553,0.0325,0.1553
tam_Taml,0.0194,0.004,0.0194
hat_Latn,0.0194,0.0057,0.0194
kat_Geor,0.0097,0.001,0.0097
hau_Latn,0.0097,0.0003,0.0097
ell_Grek,0.0971,0.0268,0.0971
mkd_Cyrl,0.301,0.088,0.301
srp_Cyrl,0.2524,0.0646,0.2524
arz_Arab,0.301,0.0469,0.301
afr_Latn,0.3301,0.1322,0.3301
hin_Latn,0.0194,0.004,0.0194
eus_Latn,0.0097,0.0017,0.0097
ary_Arab,0.0194,0.0047,0.0194
guj_Gujr,0.0194,0.0023,0.0194
mya_Mymr,0.0,0.0,0.0
tur_Latn,0.233,0.07,0.233
deu_Latn,0.3398,0.1383,0.3398
ceb_Latn,0.0777,0.0241,0.0777
wol_Latn,0.0194,0.0027,0.0194
kac_Latn,0.0,0.0,0.0
cat_Latn,0.4563,0.1871,0.4563
bam_Latn,0.0097,0.0027,0.0097
yor_Latn,0.0,0.0,0.0
zul_Latn,0.0097,0.0023,0.0097
hrv_Latn,0.233,0.0891,0.233
slv_Latn,0.2233,0.0726,0.2233
swh_Latn,0.0194,0.0023,0.0194
xho_Latn,0.0097,0.0013,0.0097
tsn_Latn,0.0194,0.0013,0.0194
sin_Sinh,0.0,0.0,0.0
heb_Hebr,0.2718,0.0874,0.2718
mlt_Latn,0.0194,0.003,0.0194
tso_Latn,0.0097,0.004,0.0097
ben_Beng,0.0485,0.0147,0.0485
hun_Latn,0.2136,0.0499,0.2136
sna_Latn,0.0097,0.005,0.0097
nob_Latn,0.3981,0.1634,0.3981
ibo_Latn,0.0097,0.0023,0.0097
kan_Knda,0.0097,0.0017,0.0097
kor_Hang,0.3107,0.0907,0.3107
bul_Cyrl,0.3495,0.1152,0.3495
plt_Latn,0.0097,0.001,0.0097
fuv_Latn,0.0,0.0,0.0
mal_Mlym,0.0194,0.0047,0.0194
snd_Arab,0.0194,0.0044,0.0194
isl_Latn,0.0485,0.0134,0.0485
fin_Latn,0.1165,0.0281,0.1165
slk_Latn,0.2427,0.0877,0.2427
lug_Latn,0.0097,0.0007,0.0097
ukr_Cyrl,0.3883,0.1045,0.3883
arb_Arab,0.3204,0.0629,0.3204
nya_Latn,0.0097,0.0007,0.0097
asm_Beng,0.0194,0.0027,0.0194
zsm_Latn,0.068,0.0181,0.068
est_Latn,0.0874,0.0275,0.0874
tgk_Cyrl,0.0097,0.0003,0.0097
kin_Latn,0.0,0.0,0.0
rus_Cyrl,0.7184,0.3134,0.7184
ita_Latn,0.7864,0.3642,0.7864
ron_Latn,0.4078,0.1312,0.4078
ces_Latn,0.3495,0.0978,0.3495
pan_Guru,0.0097,0.0003,0.0097
lit_Latn,0.2136,0.0572,0.2136
sot_Latn,0.0097,0.0023,0.0097
war_Latn,0.0485,0.0171,0.0485
luo_Latn,0.0097,0.0023,0.0097
tel_Telu,0.0194,0.002,0.0194
hin_Deva,0.0874,0.0204,0.0874
pes_Arab,0.1165,0.0352,0.1165
kir_Cyrl,0.0097,0.0017,0.0097
ilo_Latn,0.0194,0.003,0.0194
tir_Ethi,0.0097,0.0003,0.0097
amh_Ethi,0.0,0.0,0.0
khm_Khmr,0.0,0.0,0.0
hye_Armn,0.0388,0.0067,0.0388
pol_Latn,0.3981,0.1379,0.3981
ind_Latn,0.6214,0.2253,0.6214
ory_Orya,0.0291,0.0033,0.0291
