code,Qwen/Qwen3-4B_max,Qwen/Qwen3-4B_mean,avg
hin_Latn,0.0194,0.0039,0.0194
afr_Latn,0.5825,0.249,0.5825
arz_Arab,0.2136,0.0451,0.2136
srp_Cyrl,0.3301,0.1309,0.3301
mkd_Cyrl,0.4369,0.1816,0.4369
wol_Latn,0.0194,0.0052,0.0194
ceb_Latn,0.1845,0.0693,0.1845
tur_Latn,0.2621,0.0984,0.2621
deu_Latn,0.4563,0.2191,0.4563
mya_Mymr,0.0,0.0,0.0
guj_Gujr,0.0583,0.0173,0.0583
eus_Latn,0.0194,0.0063,0.0194
ary_Arab,0.0291,0.0071,0.0291
slv_Latn,0.3301,0.126,0.3301
zul_Latn,0.0194,0.0042,0.0194
hrv_Latn,0.3107,0.1349,0.3107
yor_Latn,0.0,0.0,0.0
bam_Latn,0.0194,0.0076,0.0194
cat_Latn,0.5922,0.269,0.5922
kac_Latn,0.0,0.0,0.0
ben_Beng,0.1068,0.0346,0.1068
tso_Latn,0.0194,0.0042,0.0194
heb_Hebr,0.2621,0.0984,0.2621
mlt_Latn,0.0291,0.0073,0.0291
sin_Sinh,0.0097,0.0005,0.0097
tsn_Latn,0.0194,0.0045,0.0194
xho_Latn,0.0097,0.001,0.0097
swh_Latn,0.0291,0.0105,0.0291
ssw_Latn,0.0194,0.0052,0.0194
sun_Latn,0.0485,0.0144,0.0485
jav_Latn,0.0485,0.0152,0.0485
som_Latn,0.0,0.0,0.0
spa_Latn,0.699,0.3865,0.699
ckb_Arab,0.0097,0.0016,0.0097
dan_Latn,0.5534,0.2737,0.5534
mri_Latn,0.0194,0.0005,0.0194
fra_Latn,0.835,0.4797,0.835
lin_Latn,0.0194,0.0037,0.0194
urd_Latn,0.0485,0.0126,0.0485
mar_Deva,0.0777,0.0218,0.0777
vie_Latn,0.534,0.2595,0.534
por_Latn,0.6893,0.3957,0.6893
nld_Latn,0.6893,0.3309,0.6893
swe_Latn,0.5534,0.253,0.5534
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.2427,0.0808,0.2427
npi_Deva,0.0485,0.0136,0.0485
nso_Latn,0.0097,0.0052,0.0097
kaz_Cyrl,0.0291,0.0097,0.0291
shn_Mymr,0.0,0.0,0.0
urd_Arab,0.1262,0.0341,0.1262
ell_Grek,0.2427,0.0934,0.2427
hau_Latn,0.0194,0.0016,0.0194
kat_Geor,0.0291,0.0071,0.0291
hat_Latn,0.0388,0.0097,0.0388
tam_Taml,0.0485,0.0105,0.0485
tha_Thai,0.2233,0.0672,0.2233
ces_Latn,0.4563,0.2049,0.4563
ron_Latn,0.5049,0.2125,0.5049
ita_Latn,0.8252,0.4707,0.8252
kir_Cyrl,0.0388,0.006,0.0388
pes_Arab,0.1748,0.0614,0.1748
hin_Deva,0.1748,0.0535,0.1748
tel_Telu,0.068,0.0157,0.068
luo_Latn,0.0097,0.005,0.0097
war_Latn,0.0874,0.0276,0.0874
lit_Latn,0.3107,0.1157,0.3107
sot_Latn,0.0291,0.0055,0.0291
pan_Guru,0.0097,0.001,0.0097
amh_Ethi,0.0,0.0,0.0
tir_Ethi,0.0,0.0,0.0
ilo_Latn,0.0388,0.0131,0.0388
ory_Orya,0.0194,0.0031,0.0194
ind_Latn,0.6699,0.3243,0.6699
pol_Latn,0.4951,0.2152,0.4951
hye_Armn,0.0485,0.0163,0.0485
khm_Khmr,0.0097,0.0003,0.0097
mal_Mlym,0.0583,0.0142,0.0583
fuv_Latn,0.0,0.0,0.0
plt_Latn,0.0194,0.0039,0.0194
bul_Cyrl,0.4951,0.2333,0.4951
kor_Hang,0.4272,0.1535,0.4272
kan_Knda,0.0291,0.0058,0.0291
ibo_Latn,0.0097,0.0037,0.0097
nob_Latn,0.6214,0.2766,0.6214
sna_Latn,0.0097,0.001,0.0097
hun_Latn,0.3592,0.1336,0.3592
arb_Arab,0.3204,0.1275,0.3204
ukr_Cyrl,0.466,0.2015,0.466
lug_Latn,0.0097,0.0039,0.0097
slk_Latn,0.3981,0.1716,0.3981
fin_Latn,0.2233,0.08,0.2233
isl_Latn,0.0971,0.0304,0.0971
snd_Arab,0.0485,0.0157,0.0485
asm_Beng,0.0291,0.0079,0.0291
nya_Latn,0.0194,0.0047,0.0194
rus_Cyrl,0.7476,0.4075,0.7476
kin_Latn,0.0097,0.0024,0.0097
tgk_Cyrl,0.0291,0.0063,0.0291
est_Latn,0.2427,0.0769,0.2427
zsm_Latn,0.0971,0.0338,0.0971
