code,Qwen/Qwen3-8B-Base_max,Qwen/Qwen3-8B-Base_mean,avg
arz_Arab,0.5049,0.2173,0.5049
srp_Cyrl,0.6117,0.2359,0.6117
afr_Latn,0.7282,0.3133,0.7282
hin_Latn,0.1068,0.0297,0.1068
mkd_Cyrl,0.7476,0.302,0.7476
deu_Latn,0.6699,0.3183,0.6699
tur_Latn,0.4078,0.1435,0.4078
ceb_Latn,0.3981,0.1477,0.3981
wol_Latn,0.0194,0.0068,0.0194
ary_Arab,0.068,0.0152,0.068
eus_Latn,0.068,0.0197,0.068
guj_Gujr,0.1553,0.0478,0.1553
mya_Mymr,0.0583,0.006,0.0583
slv_Latn,0.4757,0.1874,0.4757
yor_Latn,0.0291,0.0047,0.0291
bam_Latn,0.0194,0.0063,0.0194
cat_Latn,0.7087,0.343,0.7087
kac_Latn,0.0097,0.0016,0.0097
hrv_Latn,0.5146,0.2199,0.5146
zul_Latn,0.0388,0.0084,0.0388
ben_Beng,0.2136,0.0769,0.2136
mlt_Latn,0.1262,0.0344,0.1262
heb_Hebr,0.4563,0.1643,0.4563
tso_Latn,0.0291,0.0113,0.0291
swh_Latn,0.1068,0.0228,0.1068
sin_Sinh,0.0194,0.0052,0.0194
tsn_Latn,0.0194,0.0076,0.0194
xho_Latn,0.0388,0.0092,0.0388
jav_Latn,0.1456,0.043,0.1456
sun_Latn,0.1165,0.0357,0.1165
ssw_Latn,0.0388,0.0121,0.0388
ckb_Arab,0.0291,0.0055,0.0291
dan_Latn,0.6893,0.3416,0.6893
mri_Latn,0.0583,0.0121,0.0583
som_Latn,0.0194,0.0018,0.0194
spa_Latn,0.7573,0.4479,0.7573
vie_Latn,0.7184,0.3902,0.7184
mar_Deva,0.2233,0.0617,0.2233
urd_Latn,0.1262,0.0375,0.1262
por_Latn,0.8058,0.4831,0.8058
fra_Latn,0.9223,0.5684,0.9223
lin_Latn,0.0291,0.0094,0.0291
nld_Latn,0.8641,0.4545,0.8641
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.4854,0.1703,0.4854
swe_Latn,0.6311,0.2999,0.6311
shn_Mymr,0.0,0.0,0.0
kaz_Cyrl,0.1456,0.0478,0.1456
npi_Deva,0.1748,0.0512,0.1748
nso_Latn,0.0194,0.0058,0.0194
urd_Arab,0.2524,0.0871,0.2524
hau_Latn,0.0194,0.0034,0.0194
ell_Grek,0.3592,0.1622,0.3592
hat_Latn,0.0777,0.0249,0.0777
tam_Taml,0.1359,0.0462,0.1359
tha_Thai,0.5049,0.1595,0.5049
kat_Geor,0.1068,0.0365,0.1068
ces_Latn,0.6214,0.2855,0.6214
ita_Latn,0.8738,0.5413,0.8738
ron_Latn,0.7184,0.3225,0.7184
tel_Telu,0.0777,0.0236,0.0777
luo_Latn,0.0291,0.0092,0.0291
sot_Latn,0.0388,0.0115,0.0388
lit_Latn,0.4854,0.1984,0.4854
war_Latn,0.233,0.0771,0.233
kir_Cyrl,0.0777,0.0228,0.0777
hin_Deva,0.301,0.1113,0.301
pes_Arab,0.4078,0.1388,0.4078
pan_Guru,0.068,0.0152,0.068
tir_Ethi,0.0194,0.0029,0.0194
amh_Ethi,0.0388,0.0071,0.0388
ilo_Latn,0.1262,0.0328,0.1262
pol_Latn,0.6214,0.2978,0.6214
ory_Orya,0.1262,0.0226,0.1262
ind_Latn,0.835,0.4356,0.835
khm_Khmr,0.0291,0.0031,0.0291
hye_Armn,0.2039,0.0677,0.2039
plt_Latn,0.0388,0.0094,0.0388
fuv_Latn,0.0097,0.0016,0.0097
mal_Mlym,0.1553,0.0449,0.1553
bul_Cyrl,0.6893,0.3395,0.6893
hun_Latn,0.5534,0.2154,0.5534
nob_Latn,0.7961,0.3776,0.7961
sna_Latn,0.0291,0.006,0.0291
kan_Knda,0.1165,0.0302,0.1165
kor_Hang,0.6893,0.29,0.6893
ibo_Latn,0.0097,0.0045,0.0097
arb_Arab,0.4854,0.2125,0.4854
fin_Latn,0.3883,0.132,0.3883
snd_Arab,0.1553,0.0509,0.1553
isl_Latn,0.2039,0.0745,0.2039
ukr_Cyrl,0.6505,0.3004,0.6505
lug_Latn,0.0291,0.0089,0.0291
slk_Latn,0.5631,0.2196,0.5631
asm_Beng,0.1748,0.0478,0.1748
nya_Latn,0.0388,0.0102,0.0388
kin_Latn,0.0291,0.0087,0.0291
tgk_Cyrl,0.1262,0.0365,0.1262
rus_Cyrl,0.8544,0.5022,0.8544
zsm_Latn,0.2039,0.0764,0.2039
est_Latn,0.2718,0.1002,0.2718
