code,Qwen/Qwen3-Embedding-0.6B_max,Qwen/Qwen3-Embedding-0.6B_mean,avg
ces_Latn,0.7184,0.301,0.7184
ron_Latn,0.6602,0.2889,0.6602
ita_Latn,0.9709,0.606,0.9709
pes_Arab,0.4563,0.1835,0.4563
hin_Deva,0.8155,0.3247,0.8155
kir_Cyrl,0.0388,0.0107,0.0388
war_Latn,0.068,0.0275,0.068
sot_Latn,0.0388,0.0234,0.0388
lit_Latn,0.3592,0.1219,0.3592
tel_Telu,0.2913,0.0429,0.2913
luo_Latn,0.0485,0.0181,0.0485
pan_Guru,0.3107,0.0479,0.3107
amh_Ethi,0.0388,0.0084,0.0388
tir_Ethi,0.0291,0.0047,0.0291
ilo_Latn,0.0971,0.0258,0.0971
ory_Orya,0.301,0.0559,0.301
ind_Latn,0.835,0.4151,0.835
pol_Latn,0.8447,0.4329,0.8447
hye_Armn,0.2718,0.0703,0.2718
khm_Khmr,0.0971,0.01,0.0971
bul_Cyrl,0.8932,0.4453,0.8932
mal_Mlym,0.3689,0.0706,0.3689
fuv_Latn,0.0291,0.0084,0.0291
plt_Latn,0.0388,0.011,0.0388
ibo_Latn,0.0388,0.0094,0.0388
kor_Hang,0.8252,0.3726,0.8252
kan_Knda,0.2427,0.0418,0.2427
nob_Latn,0.835,0.4202,0.835
sna_Latn,0.0291,0.0121,0.0291
hun_Latn,0.4951,0.1948,0.4951
arb_Arab,0.5922,0.236,0.5922
slk_Latn,0.6214,0.2862,0.6214
ukr_Cyrl,0.7379,0.3284,0.7379
lug_Latn,0.0097,0.004,0.0097
isl_Latn,0.1942,0.0519,0.1942
snd_Arab,0.165,0.0509,0.165
fin_Latn,0.4369,0.1239,0.4369
asm_Beng,0.3883,0.0696,0.3883
nya_Latn,0.0485,0.0144,0.0485
rus_Cyrl,0.932,0.5243,0.932
tgk_Cyrl,0.0194,0.002,0.0194
kin_Latn,0.0291,0.0121,0.0291
est_Latn,0.1845,0.0472,0.1845
zsm_Latn,0.1942,0.075,0.1942
hin_Latn,0.0485,0.0137,0.0485
afr_Latn,0.7864,0.3934,0.7864
srp_Cyrl,0.6019,0.2524,0.6019
arz_Arab,0.5437,0.1965,0.5437
mkd_Cyrl,0.7184,0.2946,0.7184
wol_Latn,0.0291,0.0094,0.0291
ceb_Latn,0.1165,0.0355,0.1165
deu_Latn,0.7476,0.3803,0.7476
tur_Latn,0.5049,0.2313,0.5049
mya_Mymr,0.1068,0.0171,0.1068
guj_Gujr,0.4369,0.1055,0.4369
ary_Arab,0.1456,0.0311,0.1456
eus_Latn,0.1068,0.0341,0.1068
slv_Latn,0.6311,0.2749,0.6311
hrv_Latn,0.6019,0.2213,0.6019
zul_Latn,0.0388,0.0177,0.0388
cat_Latn,0.7573,0.3994,0.7573
kac_Latn,0.0291,0.0077,0.0291
yor_Latn,0.1068,0.0264,0.1068
bam_Latn,0.0291,0.0137,0.0291
tso_Latn,0.0291,0.0167,0.0291
mlt_Latn,0.068,0.0238,0.068
heb_Hebr,0.5728,0.2718,0.5728
ben_Beng,0.6796,0.1942,0.6796
tsn_Latn,0.0291,0.0107,0.0291
xho_Latn,0.0291,0.0134,0.0291
sin_Sinh,0.0291,0.0084,0.0291
swh_Latn,0.0874,0.0281,0.0874
ssw_Latn,0.0388,0.0174,0.0388
sun_Latn,0.1165,0.0378,0.1165
jav_Latn,0.068,0.0221,0.068
spa_Latn,0.8447,0.4895,0.8447
som_Latn,0.0583,0.0107,0.0583
mri_Latn,0.0485,0.0171,0.0485
ckb_Arab,0.0291,0.0094,0.0291
dan_Latn,0.8447,0.4017,0.8447
lin_Latn,0.0388,0.0157,0.0388
fra_Latn,0.9515,0.5966,0.9515
por_Latn,0.9515,0.5936,0.9515
mar_Deva,0.4369,0.1416,0.4369
urd_Latn,0.1262,0.0271,0.1262
vie_Latn,0.8932,0.5367,0.8932
swe_Latn,0.8738,0.3736,0.8738
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.1748,0.0663,0.1748
nld_Latn,0.835,0.4838,0.835
npi_Deva,0.3981,0.0914,0.3981
nso_Latn,0.0291,0.0157,0.0291
shn_Mymr,0.0,0.0,0.0
kaz_Cyrl,0.1359,0.0348,0.1359
urd_Arab,0.4757,0.1694,0.4757
ell_Grek,0.6408,0.2163,0.6408
hau_Latn,0.0583,0.0181,0.0583
kat_Geor,0.1068,0.0325,0.1068
tam_Taml,0.2621,0.0529,0.2621
tha_Thai,0.6893,0.2538,0.6893
hat_Latn,0.1165,0.0415,0.1165
