code,Qwen/Qwen3-Embedding-8B_max,Qwen/Qwen3-Embedding-8B_mean,avg
ilo_Latn,0.2136,0.0651,0.2136
tir_Ethi,0.0583,0.0076,0.0583
amh_Ethi,0.2427,0.0695,0.2427
khm_Khmr,0.5631,0.1532,0.5631
hye_Armn,0.8058,0.3222,0.8058
ory_Orya,0.6408,0.1624,0.6408
ind_Latn,0.9903,0.6064,0.9903
pol_Latn,0.932,0.5172,0.932
ita_Latn,0.9806,0.704,0.9806
ron_Latn,0.932,0.5106,0.932
ces_Latn,0.932,0.4938,0.932
pan_Guru,0.5437,0.1721,0.5437
kir_Cyrl,0.3301,0.0942,0.3301
hin_Deva,0.8544,0.3689,0.8544
pes_Arab,0.8155,0.3731,0.8155
tel_Telu,0.6311,0.2293,0.6311
luo_Latn,0.068,0.0268,0.068
lit_Latn,0.9126,0.4487,0.9126
sot_Latn,0.068,0.0283,0.068
war_Latn,0.4951,0.1506,0.4951
nya_Latn,0.0874,0.0249,0.0874
asm_Beng,0.7282,0.2411,0.7282
zsm_Latn,0.5922,0.2393,0.5922
est_Latn,0.7476,0.2973,0.7476
rus_Cyrl,0.9417,0.6644,0.9417
kin_Latn,0.068,0.0268,0.068
tgk_Cyrl,0.466,0.137,0.466
kan_Knda,0.6019,0.1997,0.6019
kor_Hang,0.9515,0.5463,0.9515
ibo_Latn,0.0485,0.0215,0.0485
hun_Latn,0.8641,0.4327,0.8641
nob_Latn,0.9515,0.5972,0.9515
sna_Latn,0.0583,0.0226,0.0583
plt_Latn,0.068,0.0239,0.068
fuv_Latn,0.0291,0.0087,0.0291
mal_Mlym,0.7767,0.2595,0.7767
bul_Cyrl,0.9515,0.5492,0.9515
ukr_Cyrl,0.9515,0.519,0.9515
lug_Latn,0.0485,0.0147,0.0485
slk_Latn,0.9515,0.4681,0.9515
fin_Latn,0.7184,0.301,0.7184
snd_Arab,0.6214,0.2181,0.6214
isl_Latn,0.6893,0.2417,0.6893
arb_Arab,0.9417,0.4959,0.9417
zul_Latn,0.0971,0.0315,0.0971
hrv_Latn,0.835,0.4083,0.835
yor_Latn,0.1359,0.0436,0.1359
bam_Latn,0.068,0.0202,0.068
cat_Latn,0.9612,0.5623,0.9612
kac_Latn,0.0291,0.011,0.0291
slv_Latn,0.8544,0.3658,0.8544
sin_Sinh,0.2718,0.0719,0.2718
tsn_Latn,0.0388,0.0134,0.0388
xho_Latn,0.0971,0.0325,0.0971
swh_Latn,0.3981,0.1412,0.3981
ben_Beng,0.8155,0.2545,0.8155
heb_Hebr,0.835,0.4411,0.835
mlt_Latn,0.3204,0.1023,0.3204
tso_Latn,0.0485,0.0231,0.0485
mkd_Cyrl,0.9417,0.4812,0.9417
afr_Latn,0.9515,0.5754,0.9515
hin_Latn,0.3592,0.0992,0.3592
arz_Arab,0.9612,0.4731,0.9612
srp_Cyrl,0.8544,0.4196,0.8544
mya_Mymr,0.5437,0.1057,0.5437
eus_Latn,0.1845,0.0614,0.1845
ary_Arab,0.3883,0.1231,0.3883
guj_Gujr,0.699,0.2669,0.699
wol_Latn,0.0291,0.0136,0.0291
tur_Latn,0.8058,0.4109,0.8058
deu_Latn,0.932,0.5471,0.932
ceb_Latn,0.7767,0.3159,0.7767
urd_Arab,0.7476,0.3146,0.7476
npi_Deva,0.7379,0.2257,0.7379
nso_Latn,0.0485,0.0189,0.0485
shn_Mymr,0.0,0.0,0.0
kaz_Cyrl,0.6602,0.1908,0.6602
kat_Geor,0.4951,0.1622,0.4951
hat_Latn,0.3301,0.1144,0.3301
tam_Taml,0.835,0.2739,0.835
tha_Thai,0.8252,0.3702,0.8252
hau_Latn,0.0485,0.0194,0.0485
ell_Grek,0.7767,0.3238,0.7767
som_Latn,0.0583,0.0197,0.0583
spa_Latn,0.9515,0.6258,0.9515
ckb_Arab,0.1262,0.0276,0.1262
dan_Latn,0.9515,0.55,0.9515
mri_Latn,0.1845,0.043,0.1845
sun_Latn,0.2913,0.0981,0.2913
ssw_Latn,0.0777,0.0297,0.0777
jav_Latn,0.3204,0.1286,0.3204
nld_Latn,0.9903,0.6303,0.9903
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.8058,0.3238,0.8058
swe_Latn,0.932,0.5489,0.932
fra_Latn,0.9903,0.6825,0.9903
lin_Latn,0.0485,0.0199,0.0485
vie_Latn,0.932,0.6106,0.932
urd_Latn,0.534,0.2118,0.534
mar_Deva,0.8155,0.2519,0.8155
por_Latn,1.0,0.6521,1.0
