code,FacebookAI/xlm-roberta-base_max,FacebookAI/xlm-roberta-base_mean,avg
nya_Latn,0.0291,0.006,0.0291
asm_Beng,0.0194,0.006,0.0194
zsm_Latn,0.068,0.0329,0.068
est_Latn,0.5728,0.2756,0.5728
rus_Cyrl,0.767,0.4361,0.767
kin_Latn,0.0291,0.0097,0.0291
tgk_Cyrl,0.0,0.0,0.0
kan_Knda,0.2136,0.0657,0.2136
kor_Hang,0.3592,0.1553,0.3592
ibo_Latn,0.0097,0.0037,0.0097
hun_Latn,0.7476,0.4167,0.7476
nob_Latn,0.8447,0.5706,0.8447
sna_Latn,0.0194,0.0075,0.0194
plt_Latn,0.1165,0.0523,0.1165
mal_Mlym,0.1456,0.0538,0.1456
fuv_Latn,0.0194,0.0037,0.0194
bul_Cyrl,0.8447,0.4899,0.8447
ukr_Cyrl,0.699,0.3951,0.699
lug_Latn,0.0097,0.0052,0.0097
slk_Latn,0.6019,0.292,0.6019
fin_Latn,0.835,0.4839,0.835
snd_Arab,0.1942,0.0799,0.1942
isl_Latn,0.6505,0.2913,0.6505
arb_Arab,0.0194,0.0075,0.0194
ilo_Latn,0.0291,0.0105,0.0291
tir_Ethi,0.0097,0.003,0.0097
amh_Ethi,0.1748,0.0687,0.1748
khm_Khmr,0.1359,0.0485,0.1359
hye_Armn,0.5437,0.2218,0.5437
ory_Orya,0.2233,0.0896,0.2233
ind_Latn,0.6602,0.3869,0.6602
pol_Latn,0.699,0.3495,0.699
ita_Latn,0.7087,0.4055,0.7087
ron_Latn,0.7573,0.3839,0.7573
ces_Latn,0.7767,0.4249,0.7767
pan_Guru,0.2039,0.0799,0.2039
kir_Cyrl,0.3204,0.1217,0.3204
pes_Arab,0.4951,0.2509,0.4951
hin_Deva,0.4854,0.2016,0.4854
tel_Telu,0.1359,0.0612,0.1359
luo_Latn,0.0291,0.0105,0.0291
lit_Latn,0.6796,0.3152,0.6796
sot_Latn,0.0194,0.0112,0.0194
war_Latn,0.0194,0.0082,0.0194
urd_Arab,0.1262,0.0373,0.1262
npi_Deva,0.1845,0.0851,0.1845
nso_Latn,0.0194,0.0082,0.0194
kaz_Cyrl,0.3204,0.1232,0.3204
shn_Mymr,0.0,0.0,0.0
kat_Geor,0.4369,0.1807,0.4369
hat_Latn,0.0194,0.0105,0.0194
tam_Taml,0.1359,0.053,0.1359
tha_Thai,0.1553,0.0433,0.1553
hau_Latn,0.0874,0.0306,0.0874
ell_Grek,0.6796,0.3204,0.6796
som_Latn,0.0971,0.0493,0.0971
spa_Latn,0.6602,0.4167,0.6602
ckb_Arab,0.0097,0.0022,0.0097
dan_Latn,0.9126,0.6102,0.9126
mri_Latn,0.0097,0.0015,0.0097
sun_Latn,0.0971,0.0351,0.0971
ssw_Latn,0.0097,0.0015,0.0097
jav_Latn,0.1359,0.0665,0.1359
nld_Latn,0.8835,0.5863,0.8835
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.4272,0.1949,0.4272
swe_Latn,0.6602,0.4078,0.6602
fra_Latn,0.6893,0.3757,0.6893
lin_Latn,0.0097,0.003,0.0097
vie_Latn,0.5146,0.2666,0.5146
urd_Latn,0.0097,0.0052,0.0097
mar_Deva,0.4272,0.1912,0.4272
por_Latn,0.699,0.3786,0.699
zul_Latn,0.0194,0.0112,0.0194
hrv_Latn,0.5437,0.2786,0.5437
yor_Latn,0.0,0.0,0.0
bam_Latn,0.0097,0.0067,0.0097
cat_Latn,0.699,0.3659,0.699
kac_Latn,0.0,0.0,0.0
slv_Latn,0.6602,0.3234,0.6602
sin_Sinh,0.1165,0.0418,0.1165
tsn_Latn,0.0388,0.0172,0.0388
xho_Latn,0.0485,0.0246,0.0485
swh_Latn,0.3495,0.1576,0.3495
ben_Beng,0.1748,0.0807,0.1748
heb_Hebr,0.2913,0.1426,0.2913
mlt_Latn,0.0194,0.009,0.0194
tso_Latn,0.0194,0.0075,0.0194
mkd_Cyrl,0.7184,0.3816,0.7184
afr_Latn,0.8447,0.4772,0.8447
hin_Latn,0.0485,0.0232,0.0485
arz_Arab,0.0,0.0,0.0
srp_Cyrl,0.6602,0.3473,0.6602
mya_Mymr,0.0291,0.006,0.0291
eus_Latn,0.0388,0.0127,0.0388
ary_Arab,0.0,0.0,0.0
guj_Gujr,0.233,0.0941,0.233
wol_Latn,0.0291,0.0149,0.0291
tur_Latn,0.5146,0.2188,0.5146
deu_Latn,0.3204,0.2128,0.3204
ceb_Latn,0.0583,0.0254,0.0583
