code,FacebookAI/xlm-roberta-large_max,FacebookAI/xlm-roberta-large_mean,avg
nya_Latn,0.0291,0.0101,0.0291
asm_Beng,0.1942,0.0551,0.1942
est_Latn,0.7184,0.3297,0.7184
zsm_Latn,0.1748,0.0637,0.1748
tgk_Cyrl,0.0097,0.0027,0.0097
kin_Latn,0.0291,0.0089,0.0291
rus_Cyrl,0.7864,0.414,0.7864
sna_Latn,0.0194,0.005,0.0194
nob_Latn,0.835,0.5441,0.835
hun_Latn,0.8932,0.454,0.8932
ibo_Latn,0.0097,0.0019,0.0097
kor_Hang,0.6408,0.2633,0.6408
kan_Knda,0.466,0.1604,0.466
bul_Cyrl,0.8447,0.4493,0.8447
mal_Mlym,0.4757,0.1639,0.4757
fuv_Latn,0.0097,0.0019,0.0097
plt_Latn,0.301,0.0963,0.301
isl_Latn,0.7282,0.3542,0.7282
snd_Arab,0.4757,0.1748,0.4757
fin_Latn,0.835,0.4458,0.835
slk_Latn,0.7184,0.3301,0.7184
lug_Latn,0.0194,0.0054,0.0194
ukr_Cyrl,0.8544,0.4381,0.8544
arb_Arab,0.1165,0.0318,0.1165
ilo_Latn,0.0388,0.012,0.0388
amh_Ethi,0.4854,0.1779,0.4854
tir_Ethi,0.0291,0.0066,0.0291
hye_Armn,0.699,0.3161,0.699
khm_Khmr,0.4078,0.1083,0.4078
pol_Latn,0.8058,0.4117,0.8058
ind_Latn,0.7767,0.3829,0.7767
ory_Orya,0.5146,0.1981,0.5146
ron_Latn,0.8835,0.4307,0.8835
ita_Latn,0.8058,0.4241,0.8058
ces_Latn,0.8835,0.459,0.8835
pan_Guru,0.4272,0.1425,0.4272
war_Latn,0.0291,0.0128,0.0291
sot_Latn,0.0097,0.0035,0.0097
lit_Latn,0.7379,0.3196,0.7379
luo_Latn,0.0194,0.0066,0.0194
tel_Telu,0.4757,0.165,0.4757
pes_Arab,0.6699,0.3033,0.6699
hin_Deva,0.6699,0.2769,0.6699
kir_Cyrl,0.3883,0.1336,0.3883
urd_Arab,0.3398,0.1115,0.3398
kaz_Cyrl,0.4563,0.181,0.4563
shn_Mymr,0.0,0.0,0.0
nso_Latn,0.0097,0.0058,0.0097
npi_Deva,0.4951,0.1918,0.4951
tha_Thai,0.3398,0.0893,0.3398
tam_Taml,0.4466,0.1577,0.4466
hat_Latn,0.0097,0.0016,0.0097
kat_Geor,0.5631,0.2272,0.5631
ell_Grek,0.8155,0.36,0.8155
hau_Latn,0.2913,0.1045,0.2913
mri_Latn,0.0,0.0,0.0
dan_Latn,0.932,0.5961,0.932
ckb_Arab,0.0097,0.0031,0.0097
spa_Latn,0.7184,0.4047,0.7184
som_Latn,0.2621,0.0967,0.2621
jav_Latn,0.301,0.1033,0.301
ssw_Latn,0.0388,0.0136,0.0388
sun_Latn,0.1748,0.0788,0.1748
swe_Latn,0.7476,0.414,0.7476
tgl_Latn,0.6699,0.28,0.6699
eng_Latn,1.0,1.0,1.0
nld_Latn,0.9515,0.6171,0.9515
por_Latn,0.7379,0.3631,0.7379
mar_Deva,0.5825,0.2419,0.5825
urd_Latn,0.068,0.0175,0.068
vie_Latn,0.5728,0.2718,0.5728
lin_Latn,0.0194,0.0097,0.0194
fra_Latn,0.7476,0.3841,0.7476
kac_Latn,0.0,0.0,0.0
cat_Latn,0.7379,0.3837,0.7379
bam_Latn,0.0194,0.0039,0.0194
yor_Latn,0.0,0.0,0.0
hrv_Latn,0.699,0.3239,0.699
zul_Latn,0.068,0.0287,0.068
slv_Latn,0.7767,0.3693,0.7767
swh_Latn,0.5922,0.2233,0.5922
xho_Latn,0.0971,0.0299,0.0971
tsn_Latn,0.0194,0.0109,0.0194
sin_Sinh,0.4175,0.1472,0.4175
tso_Latn,0.0194,0.0023,0.0194
mlt_Latn,0.0194,0.007,0.0194
heb_Hebr,0.4466,0.1678,0.4466
ben_Beng,0.4272,0.1748,0.4272
mkd_Cyrl,0.7573,0.3779,0.7573
srp_Cyrl,0.7184,0.36,0.7184
arz_Arab,0.0194,0.0039,0.0194
hin_Latn,0.2136,0.0652,0.2136
afr_Latn,0.8544,0.468,0.8544
guj_Gujr,0.4757,0.1903,0.4757
ary_Arab,0.0097,0.0031,0.0097
eus_Latn,0.1262,0.0404,0.1262
mya_Mymr,0.301,0.0967,0.301
ceb_Latn,0.0777,0.0373,0.0777
deu_Latn,0.5922,0.2482,0.5922
tur_Latn,0.5049,0.219,0.5049
wol_Latn,0.0194,0.0117,0.0194
