code,FacebookAI/xlm-roberta-base_max,FacebookAI/xlm-roberta-base_mean,avg
mwm_Latn,0.0097,0.0007,0.0097
zad_Latn,0.0097,0.0022,0.0097
cko_Latn,0.0,0.0,0.0
bdd_Latn,0.0097,0.0022,0.0097
bgs_Latn,0.0194,0.0045,0.0194
lbj_Tibt,0.0,0.0,0.0
guw_Latn,0.0097,0.006,0.0097
kma_Latn,0.0097,0.0022,0.0097
smo_Latn,0.0097,0.0067,0.0097
knv_Latn,0.0,0.0,0.0
maj_Latn,0.0,0.0,0.0
kdj_Latn,0.0097,0.006,0.0097
cwt_Latn,0.0194,0.0045,0.0194
las_Latn,0.0,0.0,0.0
nuy_Latn,0.0097,0.0007,0.0097
apw_Latn,0.0194,0.006,0.0194
hil_Latn,0.0291,0.0105,0.0291
pib_Latn,0.0097,0.0015,0.0097
eka_Latn,0.0097,0.0045,0.0097
wol_Latn,0.0291,0.0149,0.0291
dad_Latn,0.0097,0.003,0.0097
bkv_Latn,0.0097,0.0022,0.0097
cas_Latn,0.0,0.0,0.0
gyr_Latn,0.0097,0.0045,0.0097
yuw_Latn,0.0,0.0,0.0
mmo_Latn,0.0,0.0,0.0
gil_Latn,0.0097,0.0007,0.0097
ium_Laoo,0.0,0.0,0.0
mlp_Latn,0.0097,0.0007,0.0097
ghs_Latn,0.0097,0.0007,0.0097
mog_Latn,0.0097,0.006,0.0097
faa_Latn,0.0,0.0,0.0
qwh_Latn,0.0291,0.0097,0.0291
deu_Latn,0.3204,0.2128,0.3204
ksr_Latn,0.0,0.0,0.0
nav_Latn,0.0097,0.0037,0.0097
hnj_Latn,0.0,0.0,0.0
tur_Latn,0.5146,0.2188,0.5146
sue_Latn,0.0,0.0,0.0
mzw_Latn,0.0097,0.0015,0.0097
ceb_Latn,0.0583,0.0254,0.0583
mcb_Latn,0.0,0.0,0.0
bvr_Latn,0.0097,0.0007,0.0097
ljp_Latn,0.0583,0.0299,0.0583
esk_Latn,0.0097,0.0067,0.0097
dip_Latn,0.0097,0.0037,0.0097
cjp_Latn,0.0,0.0,0.0
top_Latn,0.0,0.0,0.0
zsr_Latn,0.0097,0.0015,0.0097
gbo_Latn,0.0,0.0,0.0
ubr_Latn,0.0194,0.0082,0.0194
yim_Latn,0.0097,0.0022,0.0097
mak_Latn,0.0097,0.0015,0.0097
ebk_Latn,0.0291,0.0112,0.0291
bgr_Latn,0.0,0.0,0.0
