code,FacebookAI/xlm-roberta-large_max,FacebookAI/xlm-roberta-large_mean,avg
mam_Latn,0.0,0.0,0.0
gup_Latn,0.0194,0.0047,0.0194
bgt_Latn,0.0291,0.0085,0.0291
zac_Latn,0.0097,0.0062,0.0097
bam_Latn,0.0194,0.0039,0.0194
yor_Latn,0.0,0.0,0.0
yle_Latn,0.0097,0.0004,0.0097
lgm_Latn,0.0194,0.0117,0.0194
qug_Latn,0.0097,0.0012,0.0097
dts_Latn,0.0097,0.0004,0.0097
kac_Latn,0.0,0.0,0.0
tdt_Latn,0.0194,0.0074,0.0194
cat_Latn,0.7379,0.3837,0.7379
krj_Latn,0.0583,0.0202,0.0583
bkq_Latn,0.0097,0.0027,0.0097
dgz_Latn,0.0,0.0,0.0
myv_Cyrl,0.0097,0.0008,0.0097
cbc_Latn,0.0,0.0,0.0
bmh_Latn,0.0097,0.0023,0.0097
kwd_Latn,0.0097,0.0004,0.0097
ven_Latn,0.0097,0.0074,0.0097
asg_Latn,0.0,0.0,0.0
lat_Latn,0.8058,0.3973,0.8058
gor_Latn,0.0097,0.0082,0.0097
rmq_Latn,0.068,0.0326,0.068
ctd_Latn,0.0097,0.0004,0.0097
gle_Latn,0.3883,0.1367,0.3883
miy_Latn,0.0,0.0,0.0
blw_Latn,0.0097,0.005,0.0097
naq_Latn,0.0,0.0,0.0
ghe_Deva,0.0,0.0,0.0
ziw_Latn,0.0194,0.0054,0.0194
dar_Cyrl,0.0,0.0,0.0
ata_Latn,0.0,0.0,0.0
cpu_Latn,0.0291,0.007,0.0291
itv_Latn,0.0194,0.005,0.0194
kck_Latn,0.0291,0.014,0.0291
kxm_Thai,0.0,0.0,0.0
lee_Latn,0.0097,0.0012,0.0097
wro_Latn,0.0194,0.0058,0.0194
nxd_Latn,0.0194,0.0066,0.0194
hto_Latn,0.0,0.0,0.0
kiw_Latn,0.0,0.0,0.0
mfk_Latn,0.0194,0.0012,0.0194
zul_Latn,0.068,0.0287,0.068
cmn_Hani,0.5728,0.2388,0.5728
hrv_Latn,0.699,0.3239,0.699
dyi_Latn,0.0097,0.0012,0.0097
wwa_Latn,0.0097,0.0008,0.0097
bre_Latn,0.1845,0.0598,0.1845
nzm_Latn,0.0,0.0,0.0
alj_Latn,0.0194,0.0058,0.0194
lmp_Latn,0.0097,0.0012,0.0097
bel_Cyrl,0.7087,0.3406,0.7087
kxw_Latn,0.0,0.0,0.0
zab_Latn,0.0097,0.0039,0.0097
gvf_Latn,0.0097,0.0004,0.0097
guq_Latn,0.0097,0.0023,0.0097
kmg_Latn,0.0097,0.0016,0.0097
ubu_Latn,0.0097,0.0004,0.0097
izz_Latn,0.0097,0.0004,0.0097
mal_Latn,0.0,0.0,0.0
kdl_Latn,0.0,0.0,0.0
jni_Latn,0.0097,0.0016,0.0097
agx_Cyrl,0.0,0.0,0.0
tbl_Latn,0.0,0.0,0.0
nep_Deva,0.3398,0.1254,0.3398
fuh_Latn,0.0097,0.0023,0.0097
taj_Deva,0.0,0.0,0.0
swk_Latn,0.0194,0.0089,0.0194
bhg_Latn,0.0194,0.0097,0.0194
ifa_Latn,0.0291,0.0097,0.0291
quf_Latn,0.0097,0.0043,0.0097
lgl_Latn,0.0097,0.0019,0.0097
uig_Cyrl,0.0097,0.0004,0.0097
kab_Latn,0.0,0.0,0.0
ria_Latn,0.0,0.0,0.0
moa_Latn,0.0,0.0,0.0
des_Latn,0.0,0.0,0.0
suc_Latn,0.0097,0.0016,0.0097
tpz_Latn,0.0097,0.0004,0.0097
boa_Latn,0.0,0.0,0.0
wnu_Latn,0.0097,0.0019,0.0097
kbd_Cyrl,0.0097,0.0004,0.0097
tcs_Latn,0.0,0.0,0.0
lia_Latn,0.0,0.0,0.0
slv_Latn,0.7767,0.3693,0.7767
mcd_Latn,0.0097,0.0008,0.0097
nnb_Latn,0.0097,0.0008,0.0097
pap_Latn,0.0388,0.0206,0.0388
