code,script,fertility,fertility_decoder,tokens_per_char,alignment,num_tokenizers
aai_Latn,Latn,54.273,54.875,0.3788,0.0337,4
aak_Latn,Latn,139.417,154.155,0.6954,0.0086,4
aau_Latn,Latn,79.39,77.74,0.4112,0.0217,4
abt_Latn,Latn,81.54,83.03,0.4188,0.0143,4
abx_Latn,Latn,60.145,60.51,0.3725,0.0771,4
aca_Latn,Latn,69.777,70.285,0.4527,0.0383,4
acd_Latn,Latn,106.84,113.23,0.5746,0.0171,4
ace_Latn,Latn,71.392,72.005,0.3938,0.1022,4
acf_Latn,Latn,56.635,55.05,0.4426,0.1536,4
ach_Latn,Latn,42.817,42.375,0.4197,0.0697,4
acn_Latn,Latn,59.547,59.895,0.4065,0.0205,4
acr_Latn,Latn,69.44,67.85,0.4167,0.0371,4
acu_Latn,Latn,66.672,69.335,0.3777,0.0257,4
ade_Latn,Latn,71.647,72.935,0.496,0.0263,4
adh_Latn,Latn,45.415,45.64,0.3977,0.0554,4
adi_Latn,Latn,47.208,48.045,0.3964,0.0314,4
adj_Latn,Latn,77.773,79.175,0.5941,0.0274,4
adl_Latn,Latn,59.315,61.77,0.45,0.0257,4
aeb_Arab,Arab,97.667,92.735,0.7057,0.1662,4
aer_Latn,Latn,114.02,111.9,0.3843,0.0217,4
aeu_Latn,Latn,96.532,98.135,0.4291,0.0029,4
aey_Latn,Latn,57.038,57.495,0.3861,0.0263,4
afr_Latn,Latn,37.753,40.075,0.3024,0.7778,4
agd_Latn,Latn,64.715,67.01,0.3854,0.0103,4
agg_Latn,Latn,107.2,113.54,0.5118,0.0108,4
agm_Latn,Latn,129.833,138.655,0.5116,0.0074,4
agn_Latn,Latn,55.317,55.275,0.33,0.0617,4
agr_Latn,Latn,55.155,56.47,0.3952,0.0297,4
agu_Latn,Latn,77.762,74.775,0.4376,0.0228,4
agw_Latn,Latn,60.057,60.225,0.3704,0.0411,4
agx_Cyrl,Cyrl,64.213,66.715,0.521,0.0194,4
ahk_Latn,Latn,126.56,134.67,0.6274,0.0017,4
aia_Latn,Latn,74.312,71.495,0.4288,0.0263,4
aii_Syrc,Syrc,143.285,183.65,1.1578,0.0188,4
aim_Latn,Latn,45.175,45.11,0.3558,0.0365,4
aji_Latn,Latn,78.983,80.905,0.5774,0.0337,4
ajz_Latn,Latn,49.262,49.235,0.3721,0.0297,4
akb_Latn,Latn,52.97,53.84,0.3444,0.0788,4
ake_Latn,Latn,84.79,86.56,0.5526,0.0063,4
akh_Latn,Latn,82.07,83.5,0.3721,0.0057,4
akp_Latn,Latn,71.877,76.065,0.5933,0.036,4
ald_Latn,Latn,102.142,105.475,0.6987,0.0177,4
alj_Latn,Latn,50.565,51.41,0.3575,0.0383,4
aln_Latn,Latn,45.78,51.79,0.3767,0.5231,4
alp_Latn,Latn,55.475,56.63,0.3588,0.0302,4
alq_Latn,Latn,79.103,78.115,0.4315,0.0223,4
alt_Cyrl,Cyrl,52.715,60.0,0.4865,0.1473,4
aly_Latn,Latn,86.06,81.49,0.4111,0.0257,4
alz_Latn,Latn,44.625,44.21,0.4051,0.0668,4
ame_Latn,Latn,122.373,124.575,0.5,0.0205,4
amf_Latn,Latn,52.355,54.04,0.3724,0.0223,4
amh_Ethi,Ethi,82.942,130.895,1.1144,0.2296,4
amh_Latn,Latn,70.7,78.54,0.6318,0.008,4
amk_Latn,Latn,63.767,64.805,0.3741,0.0251,4
amm_Latn,Latn,71.87,71.09,0.3879,0.0034,4
amn_Latn,Latn,58.523,59.525,0.39,0.0188,4
amo_Latn,Latn,41.617,43.015,0.3805,0.032,4
amu_Latn,Latn,92.532,95.925,0.5313,0.0308,4
anm_Latn,Latn,58.1,61.37,0.4562,0.0291,4
ann_Latn,Latn,82.38,83.7,0.4954,0.0165,4
anv_Latn,Latn,82.662,86.245,0.6015,0.02,4
any_Latn,Latn,99.525,102.62,0.634,0.0137,4
aoi_Latn,Latn,141.845,143.44,0.3901,0.0034,4
aom_Latn,Latn,85.62,85.39,0.4514,0.0223,4
aon_Latn,Latn,76.907,77.495,0.3784,0.0165,4
aoz_Latn,Latn,44.688,44.315,0.3756,0.0371,4
apb_Latn,Latn,78.713,82.635,0.4308,0.0223,4
ape_Latn,Latn,76.85,78.81,0.3773,0.0217,4
apn_Latn,Latn,136.875,134.39,0.5201,0.0051,4
apr_Latn,Latn,76.22,77.23,0.3513,0.0165,4
apt_Latn,Latn,50.188,50.885,0.3923,0.0325,4
apu_Latn,Latn,71.025,72.3,0.4172,0.0108,4
apw_Latn,Latn,79.2,80.41,0.5753,0.0308,4
apy_Latn,Latn,83.912,84.885,0.4299,0.0086,4
apz_Latn,Latn,106.212,107.985,0.4554,0.0046,4
arb_Arab,Arab,59.377,58.355,0.5853,0.4963,4
are_Latn,Latn,65.883,67.225,0.37,0.04,4
arl_Latn,Latn,83.422,86.195,0.3863,0.0205,4
arn_Latn,Latn,65.04,64.91,0.4193,0.0382,4
arp_Latn,Latn,58.352,59.395,0.4199,0.024,4
ary_Arab,Arab,103.653,98.395,0.7234,0.1176,4
arz_Arab,Arab,95.023,89.195,0.7758,0.4655,4
asg_Latn,Latn,69.255,72.74,0.4907,0.0188,4
asm_Beng,Beng,101.995,149.37,0.8484,0.301,4
aso_Latn,Latn,88.938,89.515,0.3998,0.0091,4
ata_Latn,Latn,77.278,77.315,0.4073,0.0103,4
atb_Latn,Latn,76.825,75.58,0.4607,0.0154,4
atd_Latn,Latn,74.285,73.06,0.3713,0.0285,4
atg_Latn,Latn,66.453,65.365,0.5282,0.0154,4
att_Latn,Latn,77.35,77.07,0.4142,0.0263,4
auc_Latn,Latn,110.78,112.92,0.5039,0.0023,4
ava_Cyrl,Cyrl,75.53,77.56,0.5356,0.0148,4
avt_Latn,Latn,74.355,76.96,0.4758,0.0303,4
awa_Deva,Deva,71.142,87.365,0.6035,0.2267,4
awb_Latn,Latn,64.205,66.23,0.4531,0.0063,4
awi_Latn,Latn,48.097,48.315,0.3851,0.0165,4
awk_Latn,Latn,64.125,66.54,0.4562,0.0183,4
aym_Latn,Latn,60.395,61.69,0.4155,0.0777,4
ayo_Latn,Latn,85.38,86.17,0.3883,0.0205,4
ayr_Latn,Latn,56.933,58.875,0.4121,0.0771,4
azb_Latn,Latn,41.167,50.955,0.3815,0.4517,4
aze_Cyrl,Cyrl,66.833,77.295,0.5981,0.1382,4
aze_Latn,Latn,42.495,51.24,0.3789,0.4803,4
azg_Latn,Latn,94.53,92.18,0.4591,0.0228,4
azz_Latn,Latn,90.295,90.72,0.3726,0.0303,4
bak_Cyrl,Cyrl,79.22,91.39,0.633,0.2039,4
bam_Latn,Latn,55.587,56.625,0.4822,0.0919,4
ban_Latn,Latn,61.538,64.325,0.3313,0.1045,4
bao_Latn,Latn,95.147,99.315,0.518,0.0234,4
bar_Latn,Latn,50.285,49.78,0.3799,0.1839,4
bav_Latn,Latn,83.517,88.185,0.6162,0.024,4
bba_Latn,Latn,54.73,56.53,0.5002,0.04,4
bbc_Latn,Latn,43.995,45.03,0.3512,0.0868,4
bbj_Latn,Latn,59.227,61.885,0.605,0.0343,4
bbr_Latn,Latn,64.99,64.7,0.4055,0.0211,4
bch_Latn,Latn,56.495,56.61,0.3804,0.0348,4
bci_Latn,Latn,52.903,50.515,0.4298,0.0383,4
bcl_Latn,Latn,46.582,48.265,0.3346,0.2496,4
bcw_Latn,Latn,106.84,112.83,0.4986,0.0114,4
bdd_Latn,Latn,69.175,69.65,0.4114,0.0165,4
