code,script,fertility,fertility_decoder,tokens_per_char,alignment,num_tokenizers
ace_Arab,Arab,71.56,80.25,0.6043,0.0451,4
ace_Latn,Latn,51.955,55.23,0.3564,0.2944,4
acm_Arab,Arab,43.413,48.775,0.3579,0.8216,4
acq_Arab,Arab,43.26,48.25,0.3583,0.8327,4
aeb_Arab,Arab,43.157,47.825,0.3611,0.7081,4
afr_Latn,Latn,45.078,50.135,0.293,0.8957,4
ajp_Arab,Arab,40.56,45.27,0.3645,0.8201,4
aka_Latn,Latn,72.107,76.335,0.4817,0.208,4
als_Latn,Latn,53.407,64.015,0.3358,0.7199,4
amh_Ethi,Ethi,103.968,164.955,1.1364,0.3033,4
apc_Arab,Arab,42.402,47.015,0.3634,0.7884,4
arb_Arab,Arab,43.195,48.21,0.3514,0.8642,4
arb_Latn,Latn,64.735,68.28,0.4074,0.1514,4
ars_Arab,Arab,43.428,48.295,0.3534,0.8592,4
ary_Arab,Arab,46.617,51.325,0.3712,0.5968,4
arz_Arab,Arab,43.19,48.36,0.3573,0.7762,4
asm_Beng,Beng,116.47,170.24,0.8493,0.3996,4
ast_Latn,Latn,43.715,45.75,0.296,0.8323,4
awa_Deva,Deva,71.995,100.09,0.5233,0.5275,4
ayr_Latn,Latn,59.597,63.165,0.3977,0.1261,4
azb_Arab,Arab,59.745,69.77,0.4644,0.2872,4
azj_Latn,Latn,55.782,73.785,0.3483,0.6088,4
bak_Cyrl,Cyrl,84.79,101.4,0.5701,0.3725,4
bam_Latn,Latn,62.843,67.585,0.4576,0.1543,4
ban_Latn,Latn,43.043,48.525,0.278,0.443,4
bel_Cyrl,Cyrl,67.032,84.535,0.4134,0.6323,4
bem_Latn,Latn,60.752,64.625,0.349,0.1997,4
ben_Beng,Beng,103.627,161.215,0.7312,0.5532,4
bho_Deva,Deva,80.578,109.835,0.5408,0.466,4
bjn_Arab,Arab,70.84,78.44,0.5458,0.0365,4
bjn_Latn,Latn,44.017,48.745,0.3019,0.5331,4
bod_Tibt,Tibt,152.25,280.05,0.924,0.087,4
bos_Latn,Latn,45.373,53.485,0.3161,0.9057,4
bug_Latn,Latn,50.853,54.805,0.343,0.257,4
bul_Cyrl,Cyrl,50.528,62.955,0.3373,0.9113,4
cat_Latn,Latn,46.028,50.655,0.2888,0.94,4
ceb_Latn,Latn,52.113,55.275,0.3081,0.5764,4
ces_Latn,Latn,45.017,51.715,0.3307,0.8951,4
cjk_Latn,Latn,52.835,56.34,0.3526,0.1366,4
ckb_Arab,Arab,94.81,112.26,0.6624,0.2839,4
crh_Latn,Latn,48.515,53.57,0.3327,0.479,4
cym_Latn,Latn,52.362,59.915,0.3566,0.5371,4
dan_Latn,Latn,42.082,47.805,0.2848,0.9503,4
deu_Latn,Latn,42.73,46.43,0.2566,0.9641,4
dik_Latn,Latn,72.32,76.85,0.5158,0.16,4
dyu_Latn,Latn,55.665,58.04,0.3907,0.1218,4
dzo_Tibt,Tibt,169.398,306.685,0.9341,0.0257,4
ell_Grek,Grek,76.52,105.3,0.4558,0.7056,4
epo_Latn,Latn,46.058,52.625,0.3238,0.8221,4
est_Latn,Latn,44.4,52.9,0.3231,0.7324,4
eus_Latn,Latn,47.57,56.1,0.3078,0.5737,4
ewe_Latn,Latn,65.648,69.265,0.5071,0.156,4
fao_Latn,Latn,54.08,60.75,0.3679,0.5,4
fij_Latn,Latn,60.832,64.135,0.3571,0.1974,4
fin_Latn,Latn,48.027,58.445,0.3155,0.764,4
fon_Latn,Latn,88.64,96.75,0.5941,0.1325,4
fra_Latn,Latn,44.612,46.905,0.2653,0.9596,4
fur_Latn,Latn,52.392,53.995,0.3305,0.5592,4
fuv_Latn,Latn,48.343,50.775,0.3804,0.1733,4
gaz_Latn,Latn,61.333,66.075,0.3747,0.1186,4
gla_Latn,Latn,63.27,69.78,0.3641,0.3378,4
gle_Latn,Latn,57.14,65.54,0.3543,0.4178,4
glg_Latn,Latn,40.418,44.875,0.2562,0.9636,4
grn_Latn,Latn,59.697,62.305,0.3952,0.2547,4
guj_Gujr,Gujr,130.645,213.4,0.9549,0.5188,4
hat_Latn,Latn,47.47,50.05,0.3605,0.5158,4
hau_Latn,Latn,49.93,56.04,0.3372,0.3618,4
heb_Hebr,Hebr,56.24,75.03,0.5146,0.8464,4
hin_Deva,Deva,71.55,102.22,0.5072,0.6974,4
hne_Deva,Deva,71.718,98.625,0.5254,0.4926,4
hrv_Latn,Latn,44.89,52.9,0.3179,0.8982,4
hun_Latn,Latn,51.415,63.62,0.335,0.8036,4
hye_Armn,Armn,128.332,210.975,0.7919,0.5775,4
ibo_Latn,Latn,66.968,67.255,0.4734,0.2717,4
ilo_Latn,Latn,54.587,58.055,0.3212,0.3623,4
ind_Latn,Latn,38.095,45.47,0.2464,0.9653,4
isl_Latn,Latn,51.115,61.98,0.3647,0.5918,4
ita_Latn,Latn,43.255,47.77,0.2551,0.9624,4
jav_Latn,Latn,43.513,49.635,0.2989,0.6401,4
jpn_Jpan,Jpan,41.028,44.095,0.654,0.8372,4
kab_Latn,Latn,62.115,64.84,0.446,0.0891,4
kac_Latn,Latn,66.868,69.205,0.3626,0.1385,4
kam_Latn,Latn,53.0,55.4,0.392,0.1747,4
kan_Knda,Knda,135.385,227.02,0.9269,0.4775,4
kas_Arab,Arab,81.977,100.045,0.5877,0.2516,4
kas_Deva,Deva,79.708,101.675,0.6125,0.2056,4
kat_Geor,Geor,133.235,221.47,0.8507,0.5161,4
kaz_Cyrl,Cyrl,62.347,87.625,0.4303,0.5485,4
kbp_Latn,Latn,111.347,122.115,0.6879,0.1111,4
kea_Latn,Latn,46.422,49.085,0.3351,0.525,4
khk_Cyrl,Cyrl,66.705,94.06,0.448,0.4542,4
khm_Khmr,Khmr,141.983,229.095,0.8167,0.3694,4
kik_Latn,Latn,69.453,70.995,0.4384,0.1872,4
kin_Latn,Latn,57.967,61.045,0.3694,0.2687,4
kir_Cyrl,Cyrl,59.987,82.725,0.4117,0.4948,4
kmb_Latn,Latn,57.895,62.27,0.3674,0.1409,4
kmr_Latn,Latn,53.883,62.665,0.3863,0.39,4
knc_Arab,Arab,108.073,105.455,0.7757,0.0319,4
knc_Latn,Latn,72.915,78.21,0.4181,0.1449,4
kon_Latn,Latn,53.745,56.59,0.3406,0.2088,4
kor_Hang,Hang,41.41,45.47,0.5951,0.7841,4
lao_Laoo,Laoo,129.34,213.67,0.9009,0.3995,4
lij_Latn,Latn,56.888,57.935,0.3623,0.5517,4
lim_Latn,Latn,53.05,56.1,0.3398,0.5634,4
lin_Latn,Latn,52.152,54.545,0.3422,0.2276,4
lit_Latn,Latn,49.492,60.835,0.3506,0.754,4
lmo_Latn,Latn,56.188,57.595,0.3443,0.5201,4
ltg_Latn,Latn,57.285,63.38,0.4032,0.3311,4
ltz_Latn,Latn,56.477,58.425,0.3484,0.5676,4
lua_Latn,Latn,50.645,53.48,0.3359,0.2068,4
lug_Latn,Latn,52.582,55.595,0.3688,0.1927,4
luo_Latn,Latn,51.168,52.875,0.3444,0.19,4
lus_Latn,Latn,53.688,54.835,0.3438,0.2266,4
lvs_Latn,Latn,55.31,69.49,0.3738,0.7677,4
mag_Deva,Deva,72.56,99.14,0.5342,0.5197,4
mai_Deva,Deva,75.233,100.335,0.5524,0.4598,4
mal_Mlym,Mlym,141.105,236.45,0.879,0.4438,4
mar_Deva,Deva,75.552,110.355,0.5212,0.5645,4
min_Arab,Arab,77.188,85.805,0.5592,0.032,4
min_Latn,Latn,47.505,52.05,0.3092,0.47,4
