,gemma2-9B,gemma-7B,llama3.1-70B,llama3.1-8B,llama3-8B,llama2-7B,llama1-7B,mistral-7B,olmo-7B,avg
eng_Latn,0.9178,0.8467,0.9456,0.8767,0.8689,0.4822,0.4156,0.8389,0.7711,0.7737
fra_Latn,0.9178,0.8367,0.9361,0.8767,0.8689,0.3665,0.4114,0.8389,0.7017,0.7505
por_Latn,0.9178,0.8408,0.9361,0.8767,0.8689,0.4050,0.4114,0.8389,0.6323,0.7476
deu_Latn,0.9169,0.8367,0.9361,0.8767,0.8689,0.3520,0.4156,0.8389,0.6477,0.7433
spa_Latn,0.9151,0.8275,0.9456,0.8767,0.8689,0.3665,0.4156,0.8389,0.5629,0.7353
ita_Latn,0.9169,0.8283,0.9172,0.8767,0.8689,0.3520,0.4156,0.8389,0.5552,0.7300
cat_Latn,0.9151,0.8241,0.9361,0.8767,0.8689,0.3906,0.4156,0.8389,0.5012,0.7297
nld_Latn,0.9160,0.8199,0.9456,0.8767,0.8689,0.3424,0.4156,0.8389,0.5243,0.7276
rus_Cyrl,0.9142,0.8233,0.9361,0.8767,0.8689,0.3375,0.4114,0.8305,0.5089,0.7231
zho_Hans,0.9124,0.8040,0.9361,0.8767,0.8689,0.3231,0.3408,0.8137,0.6169,0.7214
glg_Latn,0.9169,0.8266,0.9078,0.8767,0.8689,0.3086,0.4073,0.8221,0.5243,0.7177
swe_Latn,0.9178,0.8308,0.9456,0.8767,0.8689,0.3809,0.4156,0.8389,0.3701,0.7162
dan_Latn,0.9160,0.8266,0.9361,0.8767,0.8689,0.3086,0.4114,0.8221,0.4395,0.7118
ces_Latn,0.9151,0.8224,0.9456,0.8767,0.8689,0.2604,0.4156,0.8389,0.4318,0.7084
ron_Latn,0.9160,0.8157,0.9361,0.8767,0.8689,0.2266,0.4114,0.8305,0.4781,0.7067
nob_Latn,0.9142,0.8233,0.9456,0.8767,0.8689,0.3375,0.3907,0.8137,0.3856,0.7062
zho_Hant,0.9115,0.8124,0.9361,0.8767,0.8689,0.3134,0.3159,0.7886,0.5243,0.7053
pol_Latn,0.9178,0.8141,0.9456,0.8767,0.8689,0.2218,0.4156,0.8389,0.3778,0.6975
ast_Latn,0.8978,0.8049,0.9078,0.8767,0.8602,0.2122,0.4031,0.7718,0.4935,0.6920
ind_Latn,0.9178,0.8333,0.9267,0.8679,0.8689,0.2218,0.3034,0.8221,0.4164,0.6865
oci_Latn,0.8852,0.7463,0.9456,0.8767,0.8689,0.2170,0.3907,0.8137,0.4010,0.6828
