,gemma2-9B,gemma-7B,llama3.1-70B,llama3.1-8B,llama3-8B,llama2-7B,llama1-7B,mistral-7B,olmo-7B,avg
eng_Latn,0.6775,0.5870,0.7014,0.5794,0.5836,0.5128,0.5000,0.5862,0.4872,0.5795
fra_Latn,0.6171,0.4808,0.4770,0.4832,0.4824,0.2677,0.4135,0.4679,0.1268,0.4240
por_Latn,0.6159,0.4835,0.5054,0.4848,0.4817,0.2733,0.3727,0.4572,0.1144,0.4210
spa_Latn,0.6152,0.4760,0.4895,0.4932,0.4945,0.2491,0.3991,0.4530,0.0986,0.4187
deu_Latn,0.6050,0.4779,0.4706,0.4749,0.4715,0.2491,0.4042,0.4558,0.0976,0.4118
ita_Latn,0.5962,0.4564,0.4619,0.4558,0.4570,0.2166,0.3795,0.4370,0.0908,0.3946
nld_Latn,0.5807,0.4422,0.4835,0.4491,0.4487,0.2236,0.3738,0.4285,0.0806,0.3901
swe_Latn,0.5786,0.4456,0.4774,0.4410,0.4396,0.2409,0.3598,0.4100,0.0785,0.3857
rus_Cyrl,0.5859,0.4552,0.4493,0.4835,0.4842,0.1285,0.3867,0.4397,0.0471,0.3845
glg_Latn,0.5782,0.4455,0.4625,0.4440,0.4469,0.2061,0.3597,0.3961,0.0920,0.3812
cat_Latn,0.5653,0.4252,0.4408,0.4372,0.4370,0.2224,0.3530,0.4386,0.0728,0.3769
dan_Latn,0.5761,0.4425,0.4619,0.4145,0.4149,0.1883,0.3364,0.4075,0.0710,0.3681
ces_Latn,0.5596,0.4242,0.4893,0.4386,0.4404,0.1458,0.3329,0.4130,0.0444,0.3653
nob_Latn,0.5711,0.4410,0.4674,0.4089,0.4129,0.2028,0.2983,0.3832,0.0716,0.3619
zho_Hans,0.5847,0.4379,0.5035,0.4907,0.4886,0.0329,0.2247,0.4034,0.0598,0.3585
ukr_Cyrl,0.5583,0.4200,0.4368,0.4442,0.4460,0.1215,0.3411,0.4297,0.0115,0.3566
ast_Latn,0.5391,0.4079,0.4402,0.4312,0.4366,0.1478,0.3182,0.3624,0.0766,0.3511
ron_Latn,0.5681,0.4227,0.4249,0.4149,0.4193,0.1228,0.3100,0.3965,0.0546,0.3482
pol_Latn,0.5616,0.4181,0.4151,0.4093,0.4138,0.1207,0.3256,0.4047,0.0379,0.3452
ind_Latn,0.5963,0.4556,0.4610,0.4349,0.4340,0.1086,0.1733,0.3501,0.0536,0.3408
zho_Hant,0.5727,0.4457,0.4804,0.4769,0.4798,0.0365,0.1571,0.3531,0.0446,0.3385
