code,swiss-ai/Apertus-8B-2509_max,swiss-ai/Apertus-8B-2509_mean,avg
bjn_Latn,0.49,0.2048,0.49
zul_Latn,0.14,0.0509,0.14
kon_Latn,0.14,0.0488,0.14
hrv_Latn,0.66,0.2494,0.66
bam_Latn,0.07,0.0221,0.07
yor_Latn,0.08,0.0427,0.08
kac_Latn,0.1,0.0197,0.1
srd_Latn,0.54,0.1894,0.54
cat_Latn,0.73,0.2967,0.73
gle_Latn,0.22,0.0824,0.22
slv_Latn,0.5,0.2033,0.5
pap_Latn,0.66,0.1824,0.66
bel_Cyrl,0.39,0.1145,0.39
kas_Deva,0.14,0.0479,0.14
kab_Latn,0.08,0.0206,0.08
sin_Sinh,0.06,0.0148,0.06
xho_Latn,0.16,0.0509,0.16
tsn_Latn,0.2,0.0548,0.2
swh_Latn,0.33,0.1085,0.33
glg_Latn,0.79,0.4279,0.79
ben_Beng,0.3,0.1079,0.3
tso_Latn,0.19,0.0448,0.19
heb_Hebr,0.55,0.1794,0.55
mlt_Latn,0.41,0.0939,0.41
ltg_Latn,0.2,0.0697,0.2
ban_Latn,0.53,0.2461,0.53
umb_Latn,0.15,0.033,0.15
kbp_Latn,0.04,0.0094,0.04
gla_Latn,0.17,0.0706,0.17
kmb_Latn,0.15,0.0424,0.15
mkd_Cyrl,0.62,0.1655,0.62
afr_Latn,0.75,0.2139,0.75
ajp_Arab,0.79,0.4197,0.79
fon_Latn,0.03,0.0085,0.03
aeb_Arab,0.59,0.2797,0.59
bug_Latn,0.18,0.1064,0.18
gaz_Latn,0.07,0.0252,0.07
arz_Arab,0.58,0.2645,0.58
srp_Cyrl,0.62,0.197,0.62
mya_Mymr,0.08,0.0255,0.08
azj_Latn,0.22,0.0661,0.22
awa_Deva,0.24,0.093,0.24
guj_Gujr,0.21,0.0748,0.21
eus_Latn,0.3,0.1121,0.3
ary_Arab,0.41,0.1915,0.41
smo_Latn,0.17,0.0385,0.17
jpn_Jpan,0.42,0.1821,0.42
mni_Beng,0.04,0.0245,0.04
wol_Latn,0.18,0.0573,0.18
ceb_Latn,0.33,0.1118,0.33
tur_Latn,0.39,0.1727,0.39
