code,swiss-ai/Apertus-v1.5-70B_max,swiss-ai/Apertus-v1.5-70B_mean,avg
kor_Hang,0.54,0.1548,0.54
hau_Latn,0.19,0.0204,0.19
mya_Mymr,0.04,0.0126,0.04
arb_Arab,0.71,0.2312,0.71
eng_Latn,1.0,1.0,1.0
pbt_Arab,0.12,0.0231,0.12
bod_Tibt,0.01,0.0017,0.01
swe_Latn,0.84,0.269,0.84
ibo_Latn,0.11,0.0244,0.11
gaz_Latn,0.08,0.0068,0.08
kea_Latn,0.39,0.0822,0.39
eus_Latn,0.25,0.0547,0.25
slk_Latn,0.58,0.1323,0.58
ces_Latn,0.68,0.1675,0.68
kir_Cyrl,0.07,0.0237,0.07
ukr_Cyrl,0.37,0.0969,0.37
rus_Cyrl,0.54,0.2198,0.54
mal_Mlym,0.04,0.019,0.04
khk_Cyrl,0.03,0.0125,0.03
mri_Latn,0.16,0.0285,0.16
zsm_Latn,0.69,0.2175,0.69
ssw_Latn,0.17,0.0264,0.17
nya_Latn,0.19,0.0352,0.19
ind_Latn,0.83,0.3209,0.83
cat_Latn,0.64,0.2216,0.64
fra_Latn,0.76,0.3633,0.76
ben_Beng,0.06,0.0278,0.06
ilo_Latn,0.21,0.042,0.21
nob_Latn,0.77,0.2859,0.77
por_Latn,0.82,0.4115,0.82
ckb_Arab,0.05,0.0169,0.05
bul_Cyrl,0.51,0.1123,0.51
kaz_Cyrl,0.07,0.0241,0.07
jav_Latn,0.25,0.0707,0.25
tha_Thai,0.12,0.0511,0.12
kin_Latn,0.17,0.031,0.17
zho_Hans,0.45,0.1756,0.45
sot_Latn,0.2,0.0251,0.2
lvs_Latn,0.26,0.0623,0.26
ell_Grek,0.17,0.0491,0.17
als_Latn,0.31,0.0552,0.31
isl_Latn,0.22,0.0479,0.22
urd_Arab,0.08,0.0321,0.08
fuv_Latn,0.16,0.047,0.16
sin_Sinh,0.03,0.0044,0.03
dan_Latn,0.77,0.243,0.77
lit_Latn,0.41,0.0896,0.41
apc_Arab,0.63,0.1822,0.63
vie_Latn,0.56,0.1772,0.56
wol_Latn,0.15,0.0384,0.15
war_Latn,0.37,0.0584,0.37
yor_Latn,0.08,0.0338,0.08
som_Latn,0.15,0.0454,0.15
zul_Latn,0.15,0.0401,0.15
tsn_Latn,0.17,0.032,0.17
lin_Latn,0.17,0.0244,0.17
deu_Latn,0.8,0.37,0.8
arb_Latn,0.09,0.0148,0.09
slv_Latn,0.66,0.1133,0.66
pan_Guru,0.04,0.0189,0.04
tur_Latn,0.35,0.1258,0.35
tgk_Cyrl,0.07,0.0211,0.07
hun_Latn,0.51,0.1163,0.51
spa_Latn,0.8,0.379,0.8
tgl_Latn,0.26,0.0647,0.26
ron_Latn,0.48,0.1377,0.48
pol_Latn,0.39,0.1326,0.39
glg_Latn,0.83,0.2763,0.83
oci_Latn,0.48,0.1156,0.48
acm_Arab,0.61,0.2043,0.61
hye_Armn,0.1,0.0389,0.1
kat_Geor,0.06,0.0159,0.06
hat_Latn,0.22,0.0486,0.22
uzn_Latn,0.11,0.0302,0.11
jpn_Jpan,0.21,0.0838,0.21
tso_Latn,0.16,0.0246,0.16
mar_Deva,0.08,0.0264,0.08
ast_Latn,0.66,0.1632,0.66
plt_Latn,0.17,0.0237,0.17
mlt_Latn,0.17,0.0436,0.17
hin_Deva,0.16,0.0523,0.16
lao_Laoo,0.05,0.0173,0.05
khm_Khmr,0.07,0.0231,0.07
xho_Latn,0.17,0.0335,0.17
arz_Arab,0.53,0.1609,0.53
sun_Latn,0.24,0.0725,0.24
sna_Latn,0.15,0.0304,0.15
bam_Latn,0.09,0.0081,0.09
swh_Latn,0.17,0.0399,0.17
ita_Latn,0.65,0.2678,0.65
zho_Hant,0.44,0.1458,0.44
ars_Arab,0.72,0.2219,0.72
hrv_Latn,0.64,0.1362,0.64
est_Latn,0.48,0.104,0.48
tel_Telu,0.1,0.0236,0.1
asm_Beng,0.04,0.0174,0.04
pes_Arab,0.47,0.1212,0.47
afr_Latn,0.72,0.1443,0.72
tir_Ethi,0.03,0.0047,0.03
kan_Knda,0.07,0.0199,0.07
lug_Latn,0.2,0.0395,0.2
guj_Gujr,0.08,0.0275,0.08
nld_Latn,0.7,0.2537,0.7
amh_Ethi,0.04,0.0094,0.04
ceb_Latn,0.26,0.0457,0.26
grn_Latn,0.15,0.0342,0.15
fin_Latn,0.44,0.1046,0.44
heb_Hebr,0.28,0.0586,0.28
tam_Taml,0.07,0.0257,0.07
shn_Mymr,0.02,0.0065,0.02
