code,google/gemma-4-12B_max,google/gemma-4-12B_mean,avg
war_Latn,0.94,0.4394,0.94
oci_Latn,0.99,0.5451,0.99
pbt_Arab,0.92,0.3467,0.92
hau_Latn,0.88,0.3633,0.88
sin_Sinh,0.98,0.332,0.98
lit_Latn,1.0,0.5259,1.0
afr_Latn,1.0,0.6057,1.0
pes_Arab,0.99,0.6171,0.99
zho_Hant,1.0,0.7063,1.0
uzn_Latn,0.96,0.3792,0.96
kor_Hang,0.98,0.5986,0.98
ind_Latn,1.0,0.7253,1.0
kir_Cyrl,0.9,0.3437,0.9
khk_Cyrl,0.93,0.3206,0.93
zho_Hans,1.0,0.7424,1.0
arb_Arab,0.99,0.6178,0.99
tsn_Latn,0.65,0.2006,0.65
fin_Latn,1.0,0.5308,1.0
ibo_Latn,0.7,0.2343,0.7
spa_Latn,1.0,0.7886,1.0
lao_Laoo,0.97,0.4165,0.97
ell_Grek,1.0,0.5329,1.0
kat_Geor,0.98,0.3965,0.98
slk_Latn,1.0,0.6006,1.0
nya_Latn,0.77,0.2849,0.77
kaz_Cyrl,0.97,0.401,0.97
ben_Beng,0.97,0.5692,0.97
hat_Latn,0.96,0.4861,0.96
tir_Ethi,0.69,0.1682,0.69
hun_Latn,1.0,0.5386,1.0
eus_Latn,0.98,0.4324,0.98
sot_Latn,0.78,0.2633,0.78
urd_Arab,0.97,0.4945,0.97
kan_Knda,0.93,0.4237,0.93
nob_Latn,1.0,0.6592,1.0
lug_Latn,0.61,0.1839,0.61
zsm_Latn,1.0,0.651,1.0
fra_Latn,1.0,0.7698,1.0
tgk_Cyrl,0.94,0.341,0.94
dan_Latn,1.0,0.6567,1.0
shn_Mymr,0.3,0.0557,0.3
arb_Latn,0.76,0.25,0.76
pan_Guru,0.97,0.4053,0.97
xho_Latn,0.86,0.3039,0.86
pol_Latn,1.0,0.6245,1.0
tha_Thai,1.0,0.599,1.0
bod_Tibt,0.39,0.0812,0.39
por_Latn,1.0,0.8027,1.0
glg_Latn,1.0,0.6624,1.0
guj_Gujr,0.95,0.4655,0.95
tam_Taml,0.96,0.4592,0.96
fuv_Latn,0.2,0.1047,0.2
tso_Latn,0.62,0.1724,0.62
eng_Latn,1.0,1.0,1.0
hrv_Latn,1.0,0.6239,1.0
amh_Ethi,0.93,0.3327,0.93
slv_Latn,1.0,0.5541,1.0
mal_Mlym,0.94,0.4318,0.94
wol_Latn,0.21,0.09,0.21
tur_Latn,0.98,0.5739,0.98
cat_Latn,1.0,0.6535,1.0
jpn_Jpan,0.99,0.63,0.99
hin_Deva,0.98,0.6165,0.98
acm_Arab,0.98,0.5806,0.98
mar_Deva,0.96,0.4827,0.96
swh_Latn,0.98,0.5251,0.98
ars_Arab,0.99,0.611,0.99
bul_Cyrl,1.0,0.6159,1.0
kin_Latn,0.8,0.27,0.8
bam_Latn,0.14,0.0598,0.14
plt_Latn,0.9,0.3527,0.9
zul_Latn,0.83,0.291,0.83
heb_Hebr,0.99,0.5502,0.99
ron_Latn,1.0,0.6433,1.0
ckb_Arab,0.94,0.3014,0.94
kea_Latn,0.8,0.4214,0.8
sun_Latn,0.92,0.4827,0.92
ilo_Latn,0.87,0.3367,0.87
som_Latn,0.91,0.3424,0.91
asm_Beng,0.92,0.3522,0.92
ukr_Cyrl,1.0,0.6386,1.0
gaz_Latn,0.41,0.1151,0.41
tel_Telu,0.94,0.4471,0.94
tgl_Latn,0.98,0.5341,0.98
als_Latn,0.99,0.5057,0.99
deu_Latn,1.0,0.7353,1.0
swe_Latn,1.0,0.6567,1.0
rus_Cyrl,1.0,0.7245,1.0
nld_Latn,1.0,0.6869,1.0
grn_Latn,0.42,0.1265,0.42
yor_Latn,0.59,0.1453,0.59
khm_Khmr,0.94,0.3937,0.94
sna_Latn,0.81,0.2869,0.81
mya_Mymr,0.84,0.2769,0.84
ast_Latn,1.0,0.5918,1.0
lin_Latn,0.54,0.201,0.54
ces_Latn,1.0,0.6312,1.0
mri_Latn,0.73,0.2382,0.73
vie_Latn,1.0,0.6951,1.0
apc_Arab,0.98,0.5624,0.98
est_Latn,1.0,0.5288,1.0
mlt_Latn,0.99,0.4663,0.99
isl_Latn,1.0,0.4257,1.0
ita_Latn,1.0,0.7418,1.0
jav_Latn,0.92,0.4665,0.92
ceb_Latn,0.99,0.4941,0.99
lvs_Latn,0.98,0.4837,0.98
ssw_Latn,0.66,0.2171,0.66
arz_Arab,0.96,0.5296,0.96
hye_Armn,0.98,0.3792,0.98
