code,google/gemma-4-26B-A4B_max,google/gemma-4-26B-A4B_mean,avg
war_Latn,0.95,0.5794,0.95
oci_Latn,0.95,0.6942,0.95
pbt_Arab,0.9,0.5432,0.9
hau_Latn,0.91,0.5239,0.91
sin_Sinh,0.89,0.5406,0.89
lit_Latn,0.99,0.7732,0.99
afr_Latn,0.99,0.8142,0.99
pes_Arab,0.99,0.8377,0.99
zho_Hant,1.0,0.8535,1.0
uzn_Latn,0.89,0.5755,0.89
kor_Hang,0.99,0.7974,0.99
ind_Latn,1.0,0.899,1.0
kir_Cyrl,0.86,0.4874,0.86
khk_Cyrl,0.86,0.5403,0.86
zho_Hans,1.0,0.8858,1.0
arb_Arab,1.0,0.8258,1.0
tsn_Latn,0.65,0.2861,0.65
fin_Latn,0.98,0.7771,0.98
ibo_Latn,0.68,0.3397,0.68
spa_Latn,1.0,0.91,1.0
lao_Laoo,0.94,0.6,0.94
ell_Grek,1.0,0.8074,1.0
kat_Geor,0.95,0.681,0.95
slk_Latn,0.99,0.8335,0.99
nya_Latn,0.81,0.3952,0.81
kaz_Cyrl,0.91,0.621,0.91
ben_Beng,0.94,0.7387,0.94
hat_Latn,0.94,0.6439,0.94
tir_Ethi,0.55,0.2058,0.55
hun_Latn,0.98,0.7987,0.98
eus_Latn,0.93,0.6158,0.93
sot_Latn,0.84,0.3932,0.84
urd_Arab,0.94,0.7048,0.94
kan_Knda,0.85,0.591,0.85
nob_Latn,1.0,0.8626,1.0
lug_Latn,0.59,0.2132,0.59
zsm_Latn,1.0,0.8665,1.0
fra_Latn,0.99,0.9016,0.99
tgk_Cyrl,0.89,0.5506,0.89
dan_Latn,0.99,0.8742,0.99
shn_Mymr,0.38,0.11,0.38
arb_Latn,0.76,0.3177,0.76
pan_Guru,0.91,0.6194,0.91
xho_Latn,0.83,0.4026,0.83
pol_Latn,1.0,0.849,1.0
tha_Thai,0.98,0.8032,0.98
bod_Tibt,0.39,0.1184,0.39
por_Latn,1.0,0.9158,1.0
glg_Latn,1.0,0.8455,1.0
guj_Gujr,0.92,0.6703,0.92
tam_Taml,0.95,0.6613,0.95
fuv_Latn,0.18,0.1019,0.18
tso_Latn,0.67,0.2016,0.67
eng_Latn,1.0,1.0,1.0
hrv_Latn,0.99,0.8339,0.99
amh_Ethi,0.88,0.5281,0.88
slv_Latn,0.99,0.799,0.99
mal_Mlym,0.89,0.6035,0.89
wol_Latn,0.26,0.1029,0.26
tur_Latn,0.98,0.7752,0.98
cat_Latn,1.0,0.8571,1.0
jpn_Jpan,0.99,0.7935,0.99
hin_Deva,0.98,0.8048,0.98
acm_Arab,0.98,0.7903,0.98
mar_Deva,0.9,0.6732,0.9
swh_Latn,0.99,0.74,0.99
ars_Arab,1.0,0.8213,1.0
bul_Cyrl,1.0,0.8419,1.0
kin_Latn,0.83,0.391,0.83
bam_Latn,0.2,0.0771,0.2
plt_Latn,0.88,0.4919,0.88
zul_Latn,0.87,0.4174,0.87
heb_Hebr,1.0,0.8106,1.0
ron_Latn,1.0,0.8777,1.0
ckb_Arab,0.88,0.4794,0.88
kea_Latn,0.91,0.529,0.91
sun_Latn,0.92,0.6239,0.92
ilo_Latn,0.86,0.4565,0.86
som_Latn,0.87,0.511,0.87
asm_Beng,0.83,0.4974,0.83
ukr_Cyrl,1.0,0.8535,1.0
gaz_Latn,0.56,0.199,0.56
tel_Telu,0.92,0.6274,0.92
tgl_Latn,0.99,0.7732,0.99
als_Latn,0.99,0.7529,0.99
deu_Latn,1.0,0.8984,1.0
swe_Latn,1.0,0.8926,1.0
rus_Cyrl,1.0,0.8952,1.0
nld_Latn,1.0,0.8813,1.0
grn_Latn,0.55,0.2074,0.55
yor_Latn,0.55,0.1755,0.55
khm_Khmr,0.95,0.6265,0.95
sna_Latn,0.86,0.4019,0.86
mya_Mymr,0.77,0.4519,0.77
ast_Latn,0.98,0.7474,0.98
lin_Latn,0.63,0.2416,0.63
ces_Latn,1.0,0.8568,1.0
mri_Latn,0.78,0.3381,0.78
vie_Latn,0.98,0.8697,0.98
apc_Arab,1.0,0.7571,1.0
est_Latn,0.98,0.7558,0.98
mlt_Latn,0.99,0.6768,0.99
isl_Latn,1.0,0.6171,1.0
ita_Latn,1.0,0.8974,1.0
jav_Latn,0.92,0.5826,0.92
ceb_Latn,0.96,0.6542,0.96
lvs_Latn,0.99,0.7419,0.99
ssw_Latn,0.62,0.2703,0.62
arz_Arab,0.96,0.7442,0.96
hye_Armn,0.95,0.6839,0.95
