code,google/gemma-4-E4B_max,google/gemma-4-E4B_mean,avg
war_Latn,0.95,0.457,0.95
oci_Latn,0.98,0.566,0.98
pbt_Arab,0.9,0.3988,0.9
hau_Latn,0.88,0.3798,0.88
sin_Sinh,0.91,0.3714,0.91
lit_Latn,1.0,0.5588,1.0
afr_Latn,1.0,0.6598,1.0
pes_Arab,1.0,0.6949,1.0
zho_Hant,1.0,0.8151,1.0
uzn_Latn,0.93,0.3805,0.93
kor_Hang,0.98,0.6686,0.98
ind_Latn,1.0,0.8077,1.0
kir_Cyrl,0.94,0.3502,0.94
khk_Cyrl,0.93,0.3516,0.93
zho_Hans,1.0,0.8505,1.0
arb_Arab,1.0,0.6791,1.0
tsn_Latn,0.52,0.1705,0.52
fin_Latn,1.0,0.5816,1.0
ibo_Latn,0.68,0.2402,0.68
spa_Latn,1.0,0.8693,1.0
lao_Laoo,0.97,0.4551,0.97
ell_Grek,1.0,0.563,1.0
kat_Geor,0.98,0.4453,0.98
slk_Latn,1.0,0.6486,1.0
nya_Latn,0.72,0.2721,0.72
kaz_Cyrl,0.94,0.4191,0.94
ben_Beng,0.95,0.6595,0.95
hat_Latn,0.96,0.483,0.96
tir_Ethi,0.55,0.1553,0.55
hun_Latn,0.99,0.6095,0.99
eus_Latn,0.97,0.4398,0.97
sot_Latn,0.76,0.2474,0.76
urd_Arab,0.98,0.596,0.98
kan_Knda,0.9,0.4488,0.9
nob_Latn,0.99,0.7349,0.99
lug_Latn,0.45,0.1521,0.45
zsm_Latn,1.0,0.7449,1.0
fra_Latn,1.0,0.8542,1.0
tgk_Cyrl,0.93,0.3644,0.93
dan_Latn,0.99,0.7386,0.99
shn_Mymr,0.31,0.0777,0.31
arb_Latn,0.68,0.227,0.68
pan_Guru,0.94,0.4295,0.94
xho_Latn,0.74,0.2716,0.74
pol_Latn,1.0,0.6716,1.0
tha_Thai,1.0,0.6284,1.0
bod_Tibt,0.41,0.1137,0.41
por_Latn,1.0,0.8419,1.0
glg_Latn,1.0,0.7702,1.0
guj_Gujr,0.94,0.5023,0.94
tam_Taml,0.95,0.5398,0.95
fuv_Latn,0.13,0.0774,0.13
tso_Latn,0.44,0.1328,0.44
eng_Latn,1.0,1.0,1.0
hrv_Latn,0.99,0.6826,0.99
amh_Ethi,0.91,0.3867,0.91
slv_Latn,0.99,0.6014,0.99
mal_Mlym,0.93,0.474,0.93
wol_Latn,0.22,0.0837,0.22
tur_Latn,0.96,0.6074,0.96
cat_Latn,1.0,0.7133,1.0
jpn_Jpan,0.99,0.7049,0.99
hin_Deva,0.98,0.756,0.98
acm_Arab,0.98,0.6456,0.98
mar_Deva,0.94,0.5642,0.94
swh_Latn,0.99,0.5784,0.99
ars_Arab,1.0,0.6723,1.0
bul_Cyrl,0.99,0.6719,0.99
kin_Latn,0.82,0.2798,0.82
bam_Latn,0.12,0.0581,0.12
plt_Latn,0.86,0.3405,0.86
zul_Latn,0.77,0.2809,0.77
heb_Hebr,0.99,0.6128,0.99
ron_Latn,1.0,0.7272,1.0
ckb_Arab,0.93,0.3642,0.93
kea_Latn,0.86,0.4205,0.86
sun_Latn,0.94,0.4898,0.94
ilo_Latn,0.74,0.3098,0.74
som_Latn,0.83,0.3281,0.83
asm_Beng,0.91,0.3963,0.91
ukr_Cyrl,1.0,0.6937,1.0
gaz_Latn,0.37,0.0947,0.37
tel_Telu,0.93,0.4719,0.93
tgl_Latn,1.0,0.6042,1.0
als_Latn,0.98,0.544,0.98
deu_Latn,1.0,0.8049,1.0
swe_Latn,1.0,0.7465,1.0
rus_Cyrl,0.99,0.81,0.99
nld_Latn,1.0,0.7486,1.0
grn_Latn,0.33,0.1109,0.33
yor_Latn,0.39,0.1119,0.39
khm_Khmr,0.96,0.4514,0.96
sna_Latn,0.73,0.26,0.73
mya_Mymr,0.89,0.3281,0.89
ast_Latn,1.0,0.6458,1.0
lin_Latn,0.54,0.1902,0.54
ces_Latn,0.99,0.6849,0.99
mri_Latn,0.72,0.2565,0.72
vie_Latn,1.0,0.7681,1.0
apc_Arab,1.0,0.6298,1.0
est_Latn,1.0,0.5807,1.0
mlt_Latn,1.0,0.4953,1.0
isl_Latn,0.99,0.4698,0.99
ita_Latn,1.0,0.8005,1.0
jav_Latn,0.91,0.4384,0.91
ceb_Latn,0.96,0.5165,0.96
lvs_Latn,0.98,0.5233,0.98
ssw_Latn,0.51,0.1753,0.51
arz_Arab,0.96,0.6281,0.96
hye_Armn,0.97,0.4467,0.97
