code,meta-llama/Llama-3.1-8B_max,meta-llama/Llama-3.1-8B_mean,avg
hrv_Latn,0.99,0.8494,0.99
zul_Latn,0.73,0.5309,0.73
cat_Latn,1.0,0.8794,1.0
yor_Latn,0.53,0.3603,0.53
bam_Latn,0.43,0.2903,0.43
slv_Latn,1.0,0.86,1.0
tsn_Latn,0.66,0.453,0.66
xho_Latn,0.74,0.5297,0.74
sin_Sinh,0.88,0.6564,0.88
glg_Latn,1.0,0.8788,1.0
swh_Latn,0.98,0.7927,0.98
mlt_Latn,0.99,0.8306,0.99
heb_Hebr,1.0,0.87,1.0
tso_Latn,0.62,0.4118,0.62
ben_Beng,0.99,0.8248,0.99
afr_Latn,1.0,0.8785,1.0
arz_Arab,1.0,0.9827,1.0
gaz_Latn,0.42,0.2742,0.42
mya_Mymr,0.81,0.6255,0.81
eus_Latn,0.95,0.7752,0.95
guj_Gujr,0.97,0.7824,0.97
wol_Latn,0.53,0.3855,0.53
jpn_Jpan,0.99,0.827,0.99
deu_Latn,1.0,0.877,1.0
tur_Latn,0.99,0.8442,0.99
ceb_Latn,0.98,0.8121,0.98
urd_Arab,1.0,0.8182,1.0
oci_Latn,1.0,0.8694,1.0
shn_Mymr,0.6,0.4152,0.6
kaz_Cyrl,0.97,0.7979,0.97
kat_Geor,0.97,0.8039,0.97
tam_Taml,0.97,0.7706,0.97
tha_Thai,1.0,0.8773,1.0
hat_Latn,0.93,0.75,0.93
bod_Tibt,0.57,0.4006,0.57
hau_Latn,0.89,0.6776,0.89
ell_Grek,1.0,0.8827,1.0
spa_Latn,1.0,0.8833,1.0
som_Latn,0.79,0.5512,0.79
mri_Latn,0.9,0.6442,0.9
ckb_Arab,0.98,0.7958,0.98
dan_Latn,1.0,0.8791,1.0
sun_Latn,0.97,0.7988,0.97
ssw_Latn,0.62,0.3982,0.62
ars_Arab,1.0,1.0,1.0
zho_Hans,0.99,0.86,0.99
jav_Latn,0.98,0.7955,0.98
eng_Latn,1.0,0.8809,1.0
tgl_Latn,1.0,0.8588,1.0
swe_Latn,1.0,0.8627,1.0
nld_Latn,1.0,0.8742,1.0
lin_Latn,0.67,0.447,0.67
fra_Latn,1.0,0.8839,1.0
por_Latn,1.0,0.8939,1.0
vie_Latn,1.0,0.8736,1.0
mar_Deva,0.99,0.8136,0.99
kea_Latn,0.93,0.7385,0.93
ast_Latn,1.0,0.8639,1.0
acm_Arab,1.0,0.9982,1.0
ilo_Latn,0.95,0.7376,0.95
tir_Ethi,0.34,0.2264,0.34
amh_Ethi,0.7,0.4794,0.7
khk_Cyrl,0.91,0.6794,0.91
khm_Khmr,0.97,0.7897,0.97
hye_Armn,1.0,0.847,1.0
uzn_Latn,1.0,0.7655,1.0
ind_Latn,1.0,0.8703,1.0
pol_Latn,1.0,0.8779,1.0
ita_Latn,1.0,0.8879,1.0
ron_Latn,1.0,0.8921,1.0
ces_Latn,1.0,0.8761,1.0
pbt_Arab,0.97,0.7603,0.97
pan_Guru,1.0,0.8118,1.0
hin_Deva,0.99,0.8539,0.99
pes_Arab,1.0,0.8915,1.0
apc_Arab,1.0,0.9803,1.0
kir_Cyrl,0.96,0.7382,0.96
sot_Latn,0.7,0.4733,0.7
lit_Latn,1.0,0.8491,1.0
war_Latn,0.97,0.7815,0.97
tel_Telu,0.94,0.7579,0.94
nya_Latn,0.7,0.4848,0.7
arb_Latn,0.9,0.7021,0.9
asm_Beng,0.96,0.7452,0.96
als_Latn,1.0,0.8439,1.0
lao_Laoo,0.81,0.5658,0.81
zsm_Latn,1.0,0.8776,1.0
grn_Latn,0.67,0.4627,0.67
est_Latn,0.98,0.8097,0.98
rus_Cyrl,1.0,0.8973,1.0
zho_Hant,0.99,0.8558,0.99
tgk_Cyrl,0.96,0.7712,0.96
kin_Latn,0.78,0.5518,0.78
ibo_Latn,0.84,0.6206,0.84
kan_Knda,0.97,0.7724,0.97
kor_Hang,1.0,0.8336,1.0
hun_Latn,0.99,0.8482,0.99
nob_Latn,0.99,0.8736,0.99
sna_Latn,0.69,0.4658,0.69
lvs_Latn,1.0,0.8509,1.0
bul_Cyrl,1.0,0.8924,1.0
plt_Latn,0.78,0.5752,0.78
fuv_Latn,0.45,0.2976,0.45
mal_Mlym,0.91,0.7097,0.91
slk_Latn,1.0,0.8706,1.0
ukr_Cyrl,1.0,0.8885,1.0
lug_Latn,0.71,0.4888,0.71
isl_Latn,0.98,0.8094,0.98
fin_Latn,1.0,0.8467,1.0
arb_Arab,1.0,1.0,1.0
