code,meta-llama/Llama-3.1-8B_max,meta-llama/Llama-3.1-8B_mean,avg
ces_Latn,1.0,0.7748,1.0
ita_Latn,1.0,0.7921,1.0
ron_Latn,1.0,0.7539,1.0
tel_Telu,0.41,0.1855,0.41
lit_Latn,1.0,0.59,1.0
sot_Latn,0.28,0.0988,0.28
war_Latn,0.85,0.4127,0.85
apc_Arab,1.0,0.9506,1.0
kir_Cyrl,0.81,0.3406,0.81
hin_Deva,0.97,0.6345,0.97
pes_Arab,1.0,0.743,1.0
pan_Guru,0.56,0.2403,0.56
pbt_Arab,0.82,0.3873,0.82
tir_Ethi,0.02,0.0097,0.02
khk_Cyrl,0.58,0.2436,0.58
amh_Ethi,0.08,0.0248,0.08
acm_Arab,1.0,0.9876,1.0
ilo_Latn,0.69,0.3,0.69
ast_Latn,1.0,0.6939,1.0
kea_Latn,0.74,0.4076,0.74
pol_Latn,0.99,0.7527,0.99
ind_Latn,1.0,0.7839,1.0
uzn_Latn,0.85,0.4064,0.85
khm_Khmr,0.27,0.1033,0.27
hye_Armn,0.77,0.38,0.77
plt_Latn,0.49,0.1706,0.49
fuv_Latn,0.16,0.0888,0.16
mal_Mlym,0.48,0.1942,0.48
bul_Cyrl,1.0,0.7476,1.0
lvs_Latn,1.0,0.5791,1.0
hun_Latn,0.99,0.7194,0.99
nob_Latn,0.99,0.7185,0.99
sna_Latn,0.36,0.1024,0.36
kan_Knda,0.47,0.1918,0.47
kor_Hang,0.97,0.7,0.97
ibo_Latn,0.63,0.2524,0.63
arb_Arab,1.0,1.0,1.0
fin_Latn,1.0,0.6745,1.0
isl_Latn,0.96,0.4988,0.96
ukr_Cyrl,1.0,0.7624,1.0
lug_Latn,0.32,0.1209,0.32
slk_Latn,1.0,0.6939,1.0
asm_Beng,0.54,0.2294,0.54
arb_Latn,0.52,0.2339,0.52
nya_Latn,0.35,0.1273,0.35
kin_Latn,0.44,0.1436,0.44
tgk_Cyrl,0.85,0.3879,0.85
zho_Hant,0.98,0.7248,0.98
rus_Cyrl,1.0,0.8376,1.0
zsm_Latn,1.0,0.7476,1.0
grn_Latn,0.24,0.0933,0.24
est_Latn,0.97,0.5897,0.97
lao_Laoo,0.07,0.0321,0.07
als_Latn,0.97,0.6118,0.97
arz_Arab,1.0,0.9261,1.0
gaz_Latn,0.1,0.0461,0.1
afr_Latn,1.0,0.6624,1.0
tur_Latn,0.99,0.6709,0.99
deu_Latn,1.0,0.7761,1.0
ceb_Latn,0.94,0.4776,0.94
jpn_Jpan,0.96,0.6767,0.96
wol_Latn,0.22,0.0909,0.22
eus_Latn,0.9,0.483,0.9
guj_Gujr,0.53,0.2133,0.53
mya_Mymr,0.18,0.0673,0.18
slv_Latn,1.0,0.6682,1.0
yor_Latn,0.24,0.0912,0.24
bam_Latn,0.1,0.0491,0.1
cat_Latn,1.0,0.7418,1.0
zul_Latn,0.37,0.1179,0.37
hrv_Latn,0.99,0.7048,0.99
ben_Beng,0.81,0.3961,0.81
heb_Hebr,0.99,0.6688,0.99
mlt_Latn,0.95,0.5552,0.95
tso_Latn,0.19,0.0706,0.19
glg_Latn,1.0,0.7376,1.0
swh_Latn,0.93,0.4552,0.93
sin_Sinh,0.31,0.1188,0.31
tsn_Latn,0.35,0.1079,0.35
xho_Latn,0.36,0.1064,0.36
zho_Hans,0.98,0.7639,0.98
jav_Latn,0.92,0.4842,0.92
ars_Arab,1.0,1.0,1.0
sun_Latn,0.91,0.4758,0.91
ssw_Latn,0.22,0.0824,0.22
ckb_Arab,0.83,0.353,0.83
dan_Latn,0.99,0.7185,0.99
mri_Latn,0.74,0.2479,0.74
som_Latn,0.43,0.1515,0.43
spa_Latn,0.99,0.7861,0.99
vie_Latn,1.0,0.8109,1.0
mar_Deva,0.95,0.4685,0.95
por_Latn,1.0,0.797,1.0
fra_Latn,0.99,0.8036,0.99
lin_Latn,0.21,0.1039,0.21
nld_Latn,1.0,0.7512,1.0
eng_Latn,0.98,0.6806,0.98
tgl_Latn,0.99,0.5864,0.99
swe_Latn,1.0,0.7652,1.0
shn_Mymr,0.05,0.0245,0.05
kaz_Cyrl,0.86,0.4621,0.86
oci_Latn,1.0,0.6606,1.0
urd_Arab,0.94,0.5148,0.94
bod_Tibt,0.09,0.0291,0.09
hau_Latn,0.78,0.3439,0.78
ell_Grek,1.0,0.7906,1.0
hat_Latn,0.85,0.4064,0.85
tam_Taml,0.54,0.2506,0.54
tha_Thai,0.99,0.7582,0.99
kat_Geor,0.61,0.2948,0.61
