code,meta-llama/Llama-3.1-8B_max,meta-llama/Llama-3.1-8B_mean,avg
bod_Tibt,0.61,0.3839,0.61
hau_Latn,0.88,0.6321,0.88
ell_Grek,0.97,0.7979,0.97
tam_Taml,0.93,0.7103,0.93
tha_Thai,0.96,0.7767,0.96
hat_Latn,0.91,0.7258,0.91
kat_Geor,0.94,0.7521,0.94
shn_Mymr,0.59,0.4191,0.59
kaz_Cyrl,0.97,0.7861,0.97
urd_Arab,0.99,0.7824,0.99
oci_Latn,0.98,0.8209,0.98
por_Latn,0.98,0.8282,0.98
vie_Latn,0.94,0.7918,0.94
mar_Deva,0.96,0.7788,0.96
lin_Latn,0.59,0.4142,0.59
fra_Latn,0.97,0.8236,0.97
eng_Latn,0.95,0.7755,0.95
tgl_Latn,0.97,0.8158,0.97
swe_Latn,0.99,0.8358,0.99
nld_Latn,0.97,0.8176,0.97
zho_Hans,0.94,0.7712,0.94
jav_Latn,0.94,0.7676,0.94
sun_Latn,0.93,0.767,0.93
ssw_Latn,0.55,0.3533,0.55
ars_Arab,0.96,0.7742,0.96
mri_Latn,0.81,0.5888,0.81
ckb_Arab,0.97,0.7209,0.97
dan_Latn,0.98,0.8209,0.98
spa_Latn,0.96,0.8379,0.96
som_Latn,0.75,0.5173,0.75
mlt_Latn,0.97,0.8003,0.97
heb_Hebr,0.99,0.7985,0.99
tso_Latn,0.61,0.39,0.61
ben_Beng,0.97,0.7624,0.97
glg_Latn,0.99,0.8306,0.99
swh_Latn,0.95,0.7312,0.95
tsn_Latn,0.6,0.4261,0.6
xho_Latn,0.73,0.4809,0.73
sin_Sinh,0.87,0.6436,0.87
slv_Latn,0.96,0.8048,0.96
cat_Latn,0.98,0.8291,0.98
yor_Latn,0.56,0.3479,0.56
bam_Latn,0.47,0.3085,0.47
hrv_Latn,0.99,0.8303,0.99
zul_Latn,0.7,0.4827,0.7
deu_Latn,1.0,0.8388,1.0
tur_Latn,0.98,0.7942,0.98
ceb_Latn,0.97,0.7891,0.97
wol_Latn,0.58,0.3815,0.58
jpn_Jpan,0.94,0.7721,0.94
eus_Latn,1.0,1.0,1.0
guj_Gujr,0.94,0.7167,0.94
mya_Mymr,0.86,0.6352,0.86
arz_Arab,0.97,0.7679,0.97
gaz_Latn,0.38,0.2515,0.38
afr_Latn,0.98,0.8348,0.98
tgk_Cyrl,0.92,0.6906,0.92
kin_Latn,0.76,0.5052,0.76
rus_Cyrl,0.97,0.8167,0.97
zho_Hant,0.93,0.7615,0.93
zsm_Latn,0.94,0.8088,0.94
grn_Latn,0.67,0.48,0.67
est_Latn,0.97,0.7976,0.97
als_Latn,0.96,0.7897,0.96
lao_Laoo,0.79,0.527,0.79
asm_Beng,0.94,0.707,0.94
arb_Latn,0.66,0.4545,0.66
nya_Latn,0.69,0.4585,0.69
arb_Arab,0.95,0.7752,0.95
isl_Latn,0.97,0.76,0.97
fin_Latn,0.98,0.8197,0.98
slk_Latn,0.99,0.8282,0.99
ukr_Cyrl,0.97,0.8024,0.97
lug_Latn,0.58,0.417,0.58
bul_Cyrl,0.98,0.8112,0.98
plt_Latn,0.78,0.57,0.78
fuv_Latn,0.42,0.2879,0.42
mal_Mlym,0.89,0.6758,0.89
lvs_Latn,0.96,0.7988,0.96
hun_Latn,1.0,0.8479,1.0
nob_Latn,1.0,0.8421,1.0
sna_Latn,0.67,0.4403,0.67
ibo_Latn,0.8,0.5848,0.8
kan_Knda,0.95,0.7382,0.95
kor_Hang,0.96,0.7864,0.96
pol_Latn,0.98,0.833,0.98
uzn_Latn,0.98,0.7582,0.98
ind_Latn,0.98,0.8273,0.98
khm_Khmr,0.91,0.6833,0.91
hye_Armn,0.97,0.8003,0.97
tir_Ethi,0.35,0.1997,0.35
amh_Ethi,0.71,0.4458,0.71
khk_Cyrl,0.96,0.6942,0.96
ast_Latn,0.98,0.8348,0.98
acm_Arab,0.94,0.7652,0.94
ilo_Latn,0.92,0.7242,0.92
kea_Latn,0.91,0.727,0.91
sot_Latn,0.68,0.4573,0.68
lit_Latn,0.98,0.8036,0.98
war_Latn,0.97,0.7939,0.97
tel_Telu,0.95,0.7148,0.95
hin_Deva,1.0,0.8255,1.0
pes_Arab,0.97,0.7958,0.97
apc_Arab,0.96,0.7645,0.96
kir_Cyrl,0.96,0.7227,0.96
pan_Guru,0.98,0.7603,0.98
pbt_Arab,0.92,0.7209,0.92
ces_Latn,0.99,0.8273,0.99
ita_Latn,1.0,0.8467,1.0
ron_Latn,0.99,0.8491,0.99
