code,meta-llama/Llama-3.1-8B_max,meta-llama/Llama-3.1-8B_mean,avg
slv_Latn,0.93,0.5239,0.93
hrv_Latn,0.94,0.5373,0.94
zul_Latn,0.31,0.1218,0.31
bam_Latn,0.11,0.0461,0.11
yor_Latn,0.25,0.0903,0.25
cat_Latn,0.95,0.5491,0.95
ben_Beng,0.82,0.3573,0.82
tso_Latn,0.19,0.0927,0.19
mlt_Latn,0.92,0.4485,0.92
heb_Hebr,0.88,0.4348,0.88
sin_Sinh,0.33,0.127,0.33
xho_Latn,0.31,0.1106,0.31
tsn_Latn,0.24,0.1048,0.24
swh_Latn,0.9,0.3918,0.9
glg_Latn,0.96,0.5394,0.96
afr_Latn,0.97,0.5055,0.97
gaz_Latn,0.11,0.0452,0.11
arz_Arab,0.9,0.4533,0.9
jpn_Jpan,0.89,0.483,0.89
wol_Latn,0.2,0.0915,0.2
ceb_Latn,0.91,0.4345,0.91
deu_Latn,0.95,0.5327,0.95
tur_Latn,0.96,0.5212,0.96
mya_Mymr,0.17,0.0552,0.17
guj_Gujr,0.57,0.2073,0.57
eus_Latn,1.0,1.0,1.0
kaz_Cyrl,0.91,0.4797,0.91
shn_Mymr,0.07,0.0227,0.07
oci_Latn,0.98,0.5164,0.98
urd_Arab,0.94,0.4342,0.94
ell_Grek,0.95,0.4845,0.95
hau_Latn,0.67,0.267,0.67
bod_Tibt,0.08,0.023,0.08
kat_Geor,0.51,0.2294,0.51
hat_Latn,0.82,0.3733,0.82
tha_Thai,0.87,0.4279,0.87
tam_Taml,0.52,0.213,0.52
ars_Arab,0.9,0.48,0.9
ssw_Latn,0.22,0.083,0.22
sun_Latn,0.85,0.407,0.85
jav_Latn,0.9,0.4118,0.9
zho_Hans,0.86,0.4533,0.86
som_Latn,0.42,0.1561,0.42
spa_Latn,0.94,0.5142,0.94
dan_Latn,0.96,0.5224,0.96
ckb_Arab,0.73,0.2739,0.73
mri_Latn,0.62,0.2145,0.62
fra_Latn,0.94,0.5036,0.94
lin_Latn,0.21,0.1067,0.21
mar_Deva,0.9,0.4461,0.9
vie_Latn,0.91,0.4636,0.91
por_Latn,0.94,0.5121,0.94
nld_Latn,0.92,0.4961,0.92
swe_Latn,0.95,0.5242,0.95
tgl_Latn,0.93,0.4779,0.93
eng_Latn,0.84,0.4267,0.84
amh_Ethi,0.06,0.017,0.06
khk_Cyrl,0.74,0.2833,0.74
tir_Ethi,0.02,0.0012,0.02
kea_Latn,0.75,0.3342,0.75
ilo_Latn,0.71,0.3061,0.71
acm_Arab,0.91,0.4685,0.91
ast_Latn,0.97,0.5321,0.97
ind_Latn,0.94,0.5173,0.94
uzn_Latn,0.95,0.4573,0.95
pol_Latn,0.9,0.4979,0.9
hye_Armn,0.72,0.2933,0.72
khm_Khmr,0.16,0.07,0.16
ces_Latn,0.92,0.5033,0.92
ron_Latn,0.96,0.5497,0.96
ita_Latn,0.95,0.5273,0.95
kir_Cyrl,0.89,0.4,0.89
apc_Arab,0.91,0.4624,0.91
pes_Arab,0.94,0.4682,0.94
hin_Deva,0.95,0.4976,0.95
tel_Telu,0.53,0.2142,0.53
war_Latn,0.87,0.3806,0.87
sot_Latn,0.24,0.1006,0.24
lit_Latn,0.95,0.5161,0.95
pan_Guru,0.56,0.2294,0.56
pbt_Arab,0.85,0.3624,0.85
asm_Beng,0.65,0.2506,0.65
nya_Latn,0.36,0.1382,0.36
arb_Latn,0.33,0.1197,0.33
zho_Hant,0.9,0.4645,0.9
rus_Cyrl,0.91,0.4952,0.91
kin_Latn,0.47,0.1539,0.47
tgk_Cyrl,0.82,0.3264,0.82
lao_Laoo,0.07,0.0233,0.07
als_Latn,0.93,0.4664,0.93
est_Latn,0.93,0.5242,0.93
grn_Latn,0.24,0.1103,0.24
zsm_Latn,0.93,0.5121,0.93
lvs_Latn,0.91,0.48,0.91
mal_Mlym,0.49,0.1961,0.49
fuv_Latn,0.14,0.0791,0.14
plt_Latn,0.47,0.1809,0.47
bul_Cyrl,0.95,0.4936,0.95
kor_Hang,0.93,0.4976,0.93
kan_Knda,0.53,0.2173,0.53
ibo_Latn,0.56,0.2406,0.56
sna_Latn,0.25,0.0891,0.25
nob_Latn,0.97,0.5224,0.97
hun_Latn,0.98,0.5855,0.98
arb_Arab,0.9,0.483,0.9
lug_Latn,0.31,0.1067,0.31
ukr_Cyrl,0.92,0.4836,0.92
slk_Latn,0.94,0.5145,0.94
fin_Latn,0.95,0.5785,0.95
isl_Latn,0.93,0.4294,0.93
