code,meta-llama/Llama-3.1-8B_max,meta-llama/Llama-3.1-8B_mean,avg
tir_Ethi,0.33,0.1639,0.33
amh_Ethi,0.71,0.4261,0.71
khk_Cyrl,0.89,0.6445,0.89
ilo_Latn,0.91,0.7261,0.91
acm_Arab,0.99,0.8621,0.99
ast_Latn,1.0,0.9179,1.0
kea_Latn,0.92,0.747,0.92
pol_Latn,1.0,0.9027,1.0
ind_Latn,1.0,0.9197,1.0
uzn_Latn,0.95,0.713,0.95
khm_Khmr,0.98,0.7645,0.98
hye_Armn,1.0,0.8221,1.0
ces_Latn,1.0,0.9155,1.0
ita_Latn,1.0,0.9352,1.0
ron_Latn,1.0,0.9233,1.0
tel_Telu,0.93,0.7233,0.93
sot_Latn,0.67,0.4639,0.67
lit_Latn,0.99,0.813,0.99
war_Latn,0.97,0.8264,0.97
apc_Arab,0.99,0.8552,0.99
kir_Cyrl,0.91,0.6836,0.91
hin_Deva,1.0,0.8727,1.0
pes_Arab,0.99,0.8785,0.99
pan_Guru,0.95,0.7624,0.95
pbt_Arab,0.94,0.7182,0.94
asm_Beng,0.95,0.7264,0.95
arb_Latn,0.68,0.4594,0.68
nya_Latn,0.64,0.4642,0.64
kin_Latn,0.79,0.5085,0.79
tgk_Cyrl,0.92,0.7003,0.92
zho_Hant,1.0,0.9148,1.0
rus_Cyrl,1.0,0.9288,1.0
zsm_Latn,1.0,0.8988,1.0
grn_Latn,0.65,0.4342,0.65
est_Latn,0.98,0.8139,0.98
lao_Laoo,0.79,0.5406,0.79
als_Latn,0.99,0.8294,0.99
plt_Latn,0.76,0.5636,0.76
fuv_Latn,0.46,0.3336,0.46
mal_Mlym,0.92,0.7097,0.92
bul_Cyrl,1.0,0.8945,1.0
lvs_Latn,0.99,0.8324,0.99
hun_Latn,0.98,0.8539,0.98
nob_Latn,1.0,0.9118,1.0
sna_Latn,0.68,0.4539,0.68
kan_Knda,0.95,0.757,0.95
kor_Hang,0.98,0.8652,0.98
ibo_Latn,0.79,0.6094,0.79
arb_Arab,1.0,0.8809,1.0
fin_Latn,1.0,0.8503,1.0
isl_Latn,0.98,0.7988,0.98
ukr_Cyrl,1.0,0.9115,1.0
lug_Latn,0.66,0.453,0.66
slk_Latn,1.0,0.8782,1.0
slv_Latn,1.0,0.8648,1.0
yor_Latn,0.54,0.37,0.54
bam_Latn,0.45,0.3121,0.45
cat_Latn,1.0,0.9294,1.0
hrv_Latn,0.99,0.8773,0.99
zul_Latn,0.62,0.4424,0.62
ben_Beng,0.97,0.8073,0.97
mlt_Latn,0.98,0.8218,0.98
heb_Hebr,1.0,0.8488,1.0
tso_Latn,0.58,0.4106,0.58
glg_Latn,1.0,0.93,1.0
swh_Latn,0.98,0.763,0.98
sin_Sinh,0.91,0.6473,0.91
tsn_Latn,0.58,0.4415,0.58
xho_Latn,0.71,0.5118,0.71
arz_Arab,0.99,0.857,0.99
gaz_Latn,0.39,0.247,0.39
afr_Latn,1.0,0.9133,1.0
deu_Latn,1.0,0.9261,1.0
tur_Latn,0.98,0.8591,0.98
ceb_Latn,1.0,0.8448,1.0
jpn_Jpan,1.0,0.8767,1.0
wol_Latn,0.55,0.3894,0.55
eus_Latn,0.95,0.7755,0.95
guj_Gujr,0.94,0.7424,0.94
mya_Mymr,0.85,0.6336,0.85
kaz_Cyrl,0.95,0.7452,0.95
shn_Mymr,0.58,0.4315,0.58
oci_Latn,1.0,0.9048,1.0
urd_Arab,0.98,0.7973,0.98
bod_Tibt,0.54,0.3158,0.54
hau_Latn,0.92,0.6658,0.92
ell_Grek,1.0,0.8982,1.0
hat_Latn,0.92,0.743,0.92
tam_Taml,0.95,0.7264,0.95
tha_Thai,1.0,0.8782,1.0
kat_Geor,0.94,0.7815,0.94
zho_Hans,1.0,0.9294,1.0
jav_Latn,0.97,0.8179,0.97
ars_Arab,0.99,0.8697,0.99
sun_Latn,0.94,0.7785,0.94
ssw_Latn,0.55,0.3964,0.55
ckb_Arab,0.95,0.7127,0.95
dan_Latn,1.0,0.9188,1.0
mri_Latn,0.88,0.6291,0.88
som_Latn,0.77,0.537,0.77
spa_Latn,1.0,0.9467,1.0
vie_Latn,1.0,0.9339,1.0
mar_Deva,0.98,0.7936,0.98
por_Latn,1.0,0.9485,1.0
fra_Latn,0.99,0.9406,0.99
lin_Latn,0.61,0.4315,0.61
nld_Latn,1.0,0.9358,1.0
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.99,0.8758,0.99
swe_Latn,1.0,0.9258,1.0
