code,meta-llama/Llama-3.1-8B_max,meta-llama/Llama-3.1-8B_mean,avg
mal_Mlym,0.9,0.7139,0.9
fuv_Latn,0.43,0.2936,0.43
plt_Latn,0.73,0.5112,0.73
bul_Cyrl,1.0,0.8682,1.0
lvs_Latn,1.0,0.823,1.0
sna_Latn,0.63,0.44,0.63
nob_Latn,0.99,0.8536,0.99
hun_Latn,1.0,0.8603,1.0
kor_Hang,0.99,0.8748,0.99
kan_Knda,0.94,0.7621,0.94
ibo_Latn,0.81,0.6012,0.81
arb_Arab,0.99,0.86,0.99
fin_Latn,0.99,0.8442,0.99
isl_Latn,0.96,0.7739,0.96
lug_Latn,0.56,0.4036,0.56
ukr_Cyrl,1.0,0.8912,1.0
slk_Latn,0.99,0.8464,0.99
asm_Beng,0.95,0.7397,0.95
arb_Latn,0.66,0.4633,0.66
nya_Latn,0.65,0.4255,0.65
kin_Latn,0.69,0.4839,0.69
tgk_Cyrl,0.91,0.7197,0.91
zho_Hant,1.0,0.9724,1.0
rus_Cyrl,1.0,0.9067,1.0
est_Latn,0.98,0.8021,0.98
grn_Latn,0.59,0.4064,0.59
zsm_Latn,0.99,0.8609,0.99
lao_Laoo,0.73,0.5042,0.73
als_Latn,1.0,0.8164,1.0
ces_Latn,1.0,0.8803,1.0
ron_Latn,1.0,0.8836,1.0
ita_Latn,1.0,0.8942,1.0
tel_Telu,0.92,0.7482,0.92
war_Latn,0.96,0.7727,0.96
lit_Latn,0.98,0.8112,0.98
sot_Latn,0.65,0.4548,0.65
kir_Cyrl,0.94,0.7345,0.94
apc_Arab,0.98,0.8391,0.98
pes_Arab,1.0,0.8806,1.0
hin_Deva,0.99,0.8594,0.99
pbt_Arab,0.93,0.7167,0.93
pan_Guru,0.97,0.7885,0.97
khk_Cyrl,0.9,0.6976,0.9
amh_Ethi,0.63,0.4412,0.63
tir_Ethi,0.31,0.1958,0.31
ilo_Latn,0.87,0.6758,0.87
acm_Arab,0.99,0.8506,0.99
ast_Latn,1.0,0.8682,1.0
kea_Latn,0.89,0.7118,0.89
pol_Latn,1.0,0.873,1.0
ind_Latn,1.0,0.8745,1.0
uzn_Latn,0.93,0.7373,0.93
hye_Armn,1.0,0.8355,1.0
khm_Khmr,0.94,0.7485,0.94
jav_Latn,0.96,0.7627,0.96
zho_Hans,1.0,1.0,1.0
ars_Arab,0.98,0.8545,0.98
ssw_Latn,0.52,0.3445,0.52
sun_Latn,0.95,0.7309,0.95
dan_Latn,0.99,0.8761,0.99
ckb_Arab,0.97,0.7376,0.97
mri_Latn,0.84,0.5973,0.84
som_Latn,0.71,0.4891,0.71
spa_Latn,1.0,0.9006,1.0
mar_Deva,0.97,0.8064,0.97
vie_Latn,0.99,0.9015,0.99
por_Latn,1.0,0.8973,1.0
fra_Latn,0.99,0.8824,0.99
lin_Latn,0.6,0.4079,0.6
nld_Latn,1.0,0.8858,1.0
swe_Latn,1.0,0.8791,1.0
tgl_Latn,0.99,0.8215,0.99
eng_Latn,1.0,0.9294,1.0
kaz_Cyrl,0.98,0.7842,0.98
shn_Mymr,0.55,0.4024,0.55
oci_Latn,1.0,0.8445,1.0
urd_Arab,0.96,0.8118,0.96
ell_Grek,0.99,0.8609,0.99
hau_Latn,0.87,0.6445,0.87
bod_Tibt,0.61,0.4203,0.61
hat_Latn,0.88,0.6912,0.88
tha_Thai,1.0,0.8736,1.0
tam_Taml,0.96,0.7642,0.96
kat_Geor,0.96,0.8012,0.96
gaz_Latn,0.35,0.2327,0.35
arz_Arab,0.99,0.8273,0.99
afr_Latn,1.0,0.8718,1.0
ceb_Latn,0.98,0.7967,0.98
tur_Latn,0.98,0.8391,0.98
deu_Latn,1.0,0.8842,1.0
jpn_Jpan,1.0,0.9218,1.0
wol_Latn,0.52,0.3515,0.52
guj_Gujr,0.94,0.7658,0.94
eus_Latn,0.94,0.7712,0.94
mya_Mymr,0.85,0.6555,0.85
slv_Latn,1.0,0.8382,1.0
bam_Latn,0.42,0.2888,0.42
yor_Latn,0.48,0.3348,0.48
cat_Latn,1.0,0.8818,1.0
zul_Latn,0.62,0.4339,0.62
hrv_Latn,0.98,0.8412,0.98
ben_Beng,0.98,0.8239,0.98
tso_Latn,0.56,0.3739,0.56
heb_Hebr,1.0,0.8542,1.0
mlt_Latn,0.96,0.7688,0.96
swh_Latn,0.94,0.7194,0.94
glg_Latn,1.0,0.8842,1.0
sin_Sinh,0.89,0.6806,0.89
xho_Latn,0.65,0.4724,0.65
tsn_Latn,0.58,0.4067,0.58
