code,meta-llama/Llama-3.1-8B_max,meta-llama/Llama-3.1-8B_mean,avg
nya_Latn,0.24,0.1052,0.24
arb_Latn,0.31,0.1303,0.31
asm_Beng,0.44,0.207,0.44
als_Latn,0.94,0.5215,0.94
lao_Laoo,0.08,0.0291,0.08
grn_Latn,0.19,0.0785,0.19
zsm_Latn,0.98,0.6945,0.98
est_Latn,0.94,0.5455,0.94
rus_Cyrl,1.0,0.8736,1.0
zho_Hant,1.0,0.9561,1.0
tgk_Cyrl,0.71,0.3248,0.71
kin_Latn,0.34,0.1073,0.34
ibo_Latn,0.48,0.2027,0.48
kan_Knda,0.34,0.1588,0.34
kor_Hang,0.98,0.8094,0.98
hun_Latn,0.99,0.7021,0.99
sna_Latn,0.26,0.0955,0.26
nob_Latn,0.99,0.6973,0.99
lvs_Latn,0.95,0.5282,0.95
bul_Cyrl,0.97,0.6824,0.97
plt_Latn,0.4,0.1406,0.4
fuv_Latn,0.15,0.1024,0.15
mal_Mlym,0.35,0.1612,0.35
slk_Latn,0.98,0.6642,0.98
lug_Latn,0.23,0.1003,0.23
ukr_Cyrl,1.0,0.8136,1.0
isl_Latn,0.9,0.4376,0.9
fin_Latn,0.98,0.6276,0.98
arb_Arab,0.98,0.7639,0.98
kea_Latn,0.71,0.3991,0.71
ast_Latn,0.99,0.7233,0.99
acm_Arab,0.99,0.7485,0.99
ilo_Latn,0.59,0.2621,0.59
tir_Ethi,0.01,0.0045,0.01
amh_Ethi,0.05,0.0194,0.05
khk_Cyrl,0.6,0.2309,0.6
khm_Khmr,0.2,0.08,0.2
hye_Armn,0.65,0.3382,0.65
uzn_Latn,0.77,0.3815,0.77
ind_Latn,1.0,0.763,1.0
pol_Latn,0.98,0.7194,0.98
ita_Latn,1.0,0.7855,1.0
ron_Latn,1.0,0.7079,1.0
ces_Latn,1.0,0.7818,1.0
pbt_Arab,0.7,0.3536,0.7
pan_Guru,0.44,0.1933,0.44
hin_Deva,0.93,0.6433,0.93
pes_Arab,1.0,0.7888,1.0
apc_Arab,0.97,0.733,0.97
kir_Cyrl,0.71,0.33,0.71
sot_Latn,0.2,0.0882,0.2
lit_Latn,0.95,0.5612,0.95
war_Latn,0.82,0.377,0.82
tel_Telu,0.37,0.1788,0.37
urd_Arab,0.85,0.487,0.85
oci_Latn,0.98,0.6461,0.98
shn_Mymr,0.06,0.0185,0.06
kaz_Cyrl,0.81,0.4364,0.81
kat_Geor,0.5,0.2412,0.5
tha_Thai,0.98,0.7509,0.98
tam_Taml,0.46,0.2176,0.46
hat_Latn,0.77,0.3703,0.77
hau_Latn,0.66,0.2673,0.66
bod_Tibt,0.07,0.0209,0.07
ell_Grek,0.97,0.6858,0.97
spa_Latn,1.0,0.8261,1.0
som_Latn,0.31,0.1136,0.31
mri_Latn,0.51,0.1773,0.51
dan_Latn,0.99,0.6991,0.99
ckb_Arab,0.66,0.2409,0.66
sun_Latn,0.82,0.4361,0.82
ssw_Latn,0.17,0.0773,0.17
ars_Arab,0.98,0.7603,0.98
zho_Hans,1.0,1.0,1.0
jav_Latn,0.85,0.4494,0.85
tgl_Latn,0.94,0.5221,0.94
eng_Latn,1.0,0.847,1.0
swe_Latn,1.0,0.763,1.0
nld_Latn,1.0,0.7785,1.0
lin_Latn,0.21,0.1064,0.21
fra_Latn,0.99,0.8194,0.99
por_Latn,1.0,0.8279,1.0
vie_Latn,0.99,0.8548,0.99
mar_Deva,0.87,0.4676,0.87
hrv_Latn,0.99,0.6618,0.99
zul_Latn,0.24,0.1064,0.24
cat_Latn,1.0,0.7182,1.0
bam_Latn,0.1,0.0382,0.1
yor_Latn,0.17,0.0682,0.17
slv_Latn,0.98,0.6367,0.98
xho_Latn,0.29,0.0964,0.29
tsn_Latn,0.21,0.0885,0.21
sin_Sinh,0.27,0.1133,0.27
swh_Latn,0.83,0.3682,0.83
glg_Latn,1.0,0.7545,1.0
mlt_Latn,0.82,0.4136,0.82
heb_Hebr,0.94,0.5591,0.94
tso_Latn,0.14,0.0691,0.14
ben_Beng,0.73,0.3891,0.73
afr_Latn,1.0,0.6648,1.0
arz_Arab,0.97,0.6703,0.97
gaz_Latn,0.09,0.0367,0.09
mya_Mymr,0.2,0.0718,0.2
eus_Latn,0.86,0.4533,0.86
guj_Gujr,0.46,0.1812,0.46
wol_Latn,0.2,0.0903,0.2
jpn_Jpan,0.99,0.8158,0.99
deu_Latn,1.0,0.8224,1.0
tur_Latn,0.97,0.6952,0.97
ceb_Latn,0.84,0.4203,0.84
