code,meta-llama/Llama-3.1-8B_max,meta-llama/Llama-3.1-8B_mean,avg
heb_Hebr,1.0,0.8697,1.0
mlt_Latn,0.97,0.8567,0.97
tso_Latn,0.61,0.4573,0.61
ben_Beng,0.99,0.82,0.99
tsn_Latn,0.56,0.4394,0.56
xho_Latn,0.76,0.5588,0.76
sin_Sinh,0.91,0.6727,0.91
glg_Latn,1.0,0.9476,1.0
swh_Latn,0.98,0.8042,0.98
slv_Latn,1.0,0.8921,1.0
zul_Latn,0.71,0.5088,0.71
hrv_Latn,1.0,0.903,1.0
cat_Latn,1.0,0.9476,1.0
yor_Latn,0.6,0.3888,0.6
bam_Latn,0.44,0.3194,0.44
wol_Latn,0.56,0.4224,0.56
jpn_Jpan,1.0,0.8533,1.0
tur_Latn,0.99,0.8497,0.99
deu_Latn,1.0,0.933,1.0
ceb_Latn,0.99,0.8645,0.99
mya_Mymr,0.82,0.6285,0.82
eus_Latn,0.97,0.8236,0.97
guj_Gujr,0.95,0.7676,0.95
afr_Latn,0.99,0.9097,0.99
gaz_Latn,0.38,0.2682,0.38
arz_Arab,1.0,0.8664,1.0
bod_Tibt,0.59,0.3791,0.59
hau_Latn,0.89,0.69,0.89
ell_Grek,1.0,0.9173,1.0
kat_Geor,0.97,0.803,0.97
tam_Taml,0.91,0.7433,0.91
tha_Thai,0.99,0.8791,0.99
hat_Latn,0.92,0.8091,0.92
shn_Mymr,0.62,0.437,0.62
kaz_Cyrl,0.98,0.7912,0.98
urd_Arab,0.97,0.8194,0.97
oci_Latn,0.99,0.9448,0.99
lin_Latn,0.66,0.4958,0.66
fra_Latn,1.0,1.0,1.0
por_Latn,1.0,0.9542,1.0
vie_Latn,1.0,0.9185,1.0
mar_Deva,0.98,0.8027,0.98
eng_Latn,0.99,0.9406,0.99
tgl_Latn,0.99,0.8809,0.99
swe_Latn,1.0,0.9164,1.0
nld_Latn,0.99,0.9248,0.99
sun_Latn,0.96,0.8127,0.96
ssw_Latn,0.64,0.4391,0.64
ars_Arab,1.0,0.8779,1.0
zho_Hans,0.99,0.8824,0.99
jav_Latn,0.98,0.8333,0.98
spa_Latn,1.0,0.9591,1.0
som_Latn,0.76,0.5555,0.76
mri_Latn,0.9,0.67,0.9
ckb_Arab,0.98,0.7688,0.98
dan_Latn,1.0,0.9212,1.0
uzn_Latn,0.96,0.7503,0.96
ind_Latn,0.99,0.9082,0.99
pol_Latn,1.0,0.9227,1.0
khm_Khmr,0.98,0.7994,0.98
hye_Armn,0.99,0.843,0.99
tir_Ethi,0.31,0.1918,0.31
khk_Cyrl,0.9,0.6788,0.9
amh_Ethi,0.68,0.4509,0.68
kea_Latn,0.96,0.8352,0.96
ast_Latn,1.0,0.9352,1.0
acm_Arab,1.0,0.8764,1.0
ilo_Latn,0.95,0.7782,0.95
pes_Arab,1.0,0.8967,1.0
hin_Deva,0.99,0.8658,0.99
apc_Arab,0.99,0.8682,0.99
kir_Cyrl,0.93,0.7355,0.93
lit_Latn,0.99,0.8524,0.99
sot_Latn,0.71,0.5036,0.71
war_Latn,0.98,0.8203,0.98
tel_Telu,0.91,0.7252,0.91
pan_Guru,0.97,0.8012,0.97
pbt_Arab,0.96,0.7436,0.96
ces_Latn,1.0,0.927,1.0
ita_Latn,1.0,0.9609,1.0
ron_Latn,1.0,0.9385,1.0
rus_Cyrl,1.0,0.9261,1.0
zho_Hant,1.0,0.88,1.0
tgk_Cyrl,0.94,0.7652,0.94
kin_Latn,0.81,0.5667,0.81
als_Latn,0.98,0.8621,0.98
lao_Laoo,0.86,0.5991,0.86
zsm_Latn,0.99,0.8985,0.99
grn_Latn,0.65,0.4779,0.65
est_Latn,0.99,0.8424,0.99
asm_Beng,0.93,0.7458,0.93
nya_Latn,0.7,0.4842,0.7
arb_Latn,0.77,0.5536,0.77
arb_Arab,1.0,0.8839,1.0
slk_Latn,1.0,0.9058,1.0
ukr_Cyrl,1.0,0.9121,1.0
lug_Latn,0.69,0.4797,0.69
isl_Latn,0.98,0.8279,0.98
fin_Latn,1.0,0.8848,1.0
lvs_Latn,0.99,0.8624,0.99
bul_Cyrl,1.0,0.92,1.0
plt_Latn,0.78,0.6148,0.78
mal_Mlym,0.9,0.7136,0.9
fuv_Latn,0.41,0.2973,0.41
ibo_Latn,0.83,0.6467,0.83
kan_Knda,0.94,0.7464,0.94
kor_Hang,1.0,0.8452,1.0
hun_Latn,0.98,0.873,0.98
nob_Latn,1.0,0.9018,1.0
sna_Latn,0.72,0.4888,0.72
