code,meta-llama/Llama-3.1-8B_max,meta-llama/Llama-3.1-8B_mean,avg
arb_Arab,0.99,0.8036,0.99
fin_Latn,1.0,0.6852,1.0
isl_Latn,0.98,0.5027,0.98
lug_Latn,0.3,0.1321,0.3
ukr_Cyrl,0.99,0.8439,0.99
slk_Latn,1.0,0.7448,1.0
mal_Mlym,0.47,0.1873,0.47
fuv_Latn,0.17,0.1082,0.17
plt_Latn,0.51,0.1824,0.51
bul_Cyrl,1.0,0.74,1.0
lvs_Latn,0.99,0.5764,0.99
sna_Latn,0.29,0.1097,0.29
nob_Latn,0.99,0.7721,0.99
hun_Latn,0.98,0.7585,0.98
kor_Hang,0.98,0.7245,0.98
kan_Knda,0.4,0.1794,0.4
ibo_Latn,0.58,0.2545,0.58
kin_Latn,0.39,0.1409,0.39
tgk_Cyrl,0.8,0.3594,0.8
zho_Hant,1.0,0.8136,1.0
rus_Cyrl,1.0,0.893,1.0
est_Latn,0.98,0.5927,0.98
grn_Latn,0.27,0.1197,0.27
zsm_Latn,0.99,0.7564,0.99
lao_Laoo,0.12,0.0494,0.12
als_Latn,0.97,0.6088,0.97
asm_Beng,0.56,0.23,0.56
arb_Latn,0.36,0.1688,0.36
nya_Latn,0.28,0.1394,0.28
tel_Telu,0.44,0.1915,0.44
war_Latn,0.89,0.4415,0.89
lit_Latn,0.97,0.6106,0.97
sot_Latn,0.26,0.1121,0.26
kir_Cyrl,0.8,0.3333,0.8
apc_Arab,0.99,0.7542,0.99
pes_Arab,1.0,0.7752,1.0
hin_Deva,0.96,0.6636,0.96
pbt_Arab,0.78,0.3906,0.78
pan_Guru,0.58,0.2452,0.58
ces_Latn,1.0,0.8564,1.0
ron_Latn,1.0,0.8364,1.0
ita_Latn,1.0,0.9315,1.0
pol_Latn,1.0,0.8224,1.0
ind_Latn,0.99,0.8073,0.99
uzn_Latn,0.84,0.4052,0.84
hye_Armn,0.78,0.3858,0.78
khm_Khmr,0.24,0.1112,0.24
khk_Cyrl,0.59,0.2267,0.59
amh_Ethi,0.08,0.0258,0.08
tir_Ethi,0.02,0.0103,0.02
acm_Arab,1.0,0.7685,1.0
ilo_Latn,0.76,0.3352,0.76
ast_Latn,1.0,0.837,1.0
kea_Latn,0.84,0.5345,0.84
mar_Deva,0.9,0.4709,0.9
vie_Latn,1.0,0.8482,1.0
por_Latn,1.0,0.9242,1.0
fra_Latn,1.0,1.0,1.0
lin_Latn,0.25,0.1306,0.25
nld_Latn,0.99,0.8591,0.99
swe_Latn,1.0,0.827,1.0
tgl_Latn,0.99,0.5939,0.99
eng_Latn,1.0,0.8339,1.0
jav_Latn,0.9,0.5224,0.9
zho_Hans,0.99,0.8194,0.99
ars_Arab,0.99,0.7994,0.99
ssw_Latn,0.23,0.0991,0.23
sun_Latn,0.83,0.5106,0.83
dan_Latn,1.0,0.7924,1.0
ckb_Arab,0.72,0.2985,0.72
mri_Latn,0.63,0.2345,0.63
som_Latn,0.39,0.1615,0.39
spa_Latn,1.0,0.9345,1.0
ell_Grek,1.0,0.7727,1.0
hau_Latn,0.74,0.3152,0.74
bod_Tibt,0.08,0.0252,0.08
hat_Latn,0.88,0.4839,0.88
tha_Thai,0.98,0.7261,0.98
tam_Taml,0.5,0.2373,0.5
kat_Geor,0.63,0.2997,0.63
shn_Mymr,0.1,0.0355,0.1
kaz_Cyrl,0.84,0.4376,0.84
oci_Latn,0.98,0.7664,0.98
urd_Arab,0.89,0.5348,0.89
ceb_Latn,0.97,0.4994,0.97
tur_Latn,0.95,0.6861,0.95
deu_Latn,0.99,0.8915,0.99
jpn_Jpan,0.98,0.7348,0.98
wol_Latn,0.24,0.1221,0.24
guj_Gujr,0.55,0.2158,0.55
eus_Latn,0.94,0.5036,0.94
mya_Mymr,0.19,0.0806,0.19
gaz_Latn,0.1,0.0439,0.1
arz_Arab,0.99,0.7139,0.99
afr_Latn,0.99,0.7379,0.99
ben_Beng,0.8,0.4097,0.8
tso_Latn,0.22,0.0912,0.22
heb_Hebr,0.99,0.6458,0.99
mlt_Latn,0.94,0.5209,0.94
swh_Latn,0.91,0.4412,0.91
glg_Latn,0.99,0.8609,0.99
sin_Sinh,0.31,0.1291,0.31
xho_Latn,0.37,0.1206,0.37
tsn_Latn,0.27,0.1021,0.27
slv_Latn,1.0,0.6982,1.0
bam_Latn,0.1,0.0603,0.1
yor_Latn,0.24,0.0885,0.24
cat_Latn,1.0,0.8906,1.0
zul_Latn,0.32,0.1164,0.32
hrv_Latn,1.0,0.7509,1.0
