code,meta-llama/Llama-3.1-8B_max,meta-llama/Llama-3.1-8B_mean,avg
ceb_Latn,0.99,0.8555,0.99
tur_Latn,1.0,0.8742,1.0
deu_Latn,1.0,1.0,1.0
wol_Latn,0.53,0.39,0.53
jpn_Jpan,1.0,0.8652,1.0
guj_Gujr,0.96,0.7767,0.96
eus_Latn,1.0,0.8388,1.0
mya_Mymr,0.85,0.6558,0.85
gaz_Latn,0.36,0.2558,0.36
arz_Arab,0.99,0.8542,0.99
afr_Latn,1.0,0.9367,1.0
tso_Latn,0.59,0.4109,0.59
heb_Hebr,1.0,0.8709,1.0
mlt_Latn,0.98,0.8373,0.98
ben_Beng,0.98,0.8136,0.98
glg_Latn,1.0,0.9215,1.0
swh_Latn,0.98,0.7945,0.98
tsn_Latn,0.59,0.4336,0.59
xho_Latn,0.78,0.5509,0.78
sin_Sinh,0.91,0.6861,0.91
slv_Latn,1.0,0.8964,1.0
cat_Latn,1.0,0.9252,1.0
yor_Latn,0.55,0.3606,0.55
bam_Latn,0.42,0.3118,0.42
zul_Latn,0.7,0.5021,0.7
hrv_Latn,1.0,0.9018,1.0
por_Latn,1.0,0.93,1.0
mar_Deva,0.97,0.8012,0.97
vie_Latn,1.0,0.9121,1.0
lin_Latn,0.61,0.453,0.61
fra_Latn,1.0,0.933,1.0
swe_Latn,1.0,0.9436,1.0
eng_Latn,1.0,0.9261,1.0
tgl_Latn,1.0,0.8815,1.0
nld_Latn,1.0,0.9479,1.0
jav_Latn,0.98,0.8367,0.98
zho_Hans,1.0,0.8842,1.0
ssw_Latn,0.53,0.4064,0.53
sun_Latn,0.98,0.8194,0.98
ars_Arab,1.0,0.8724,1.0
mri_Latn,0.91,0.6733,0.91
ckb_Arab,0.98,0.7661,0.98
dan_Latn,1.0,0.9421,1.0
spa_Latn,0.99,0.9176,0.99
som_Latn,0.76,0.5609,0.76
ell_Grek,1.0,0.8967,1.0
bod_Tibt,0.6,0.3909,0.6
hau_Latn,0.91,0.707,0.91
tam_Taml,0.96,0.7691,0.96
tha_Thai,1.0,0.8782,1.0
hat_Latn,0.92,0.783,0.92
kat_Geor,0.95,0.8164,0.95
kaz_Cyrl,0.97,0.7924,0.97
shn_Mymr,0.68,0.4715,0.68
urd_Arab,0.98,0.8203,0.98
oci_Latn,1.0,0.9082,1.0
war_Latn,0.99,0.8309,0.99
lit_Latn,1.0,0.8733,1.0
sot_Latn,0.7,0.4691,0.7
tel_Telu,0.94,0.757,0.94
pes_Arab,1.0,0.88,1.0
hin_Deva,1.0,0.8752,1.0
kir_Cyrl,0.94,0.7448,0.94
apc_Arab,1.0,0.8548,1.0
pbt_Arab,0.93,0.7603,0.93
pan_Guru,0.96,0.7924,0.96
ces_Latn,0.99,0.9185,0.99
ron_Latn,1.0,0.9282,1.0
ita_Latn,1.0,0.9261,1.0
pol_Latn,1.0,0.9109,1.0
uzn_Latn,0.98,0.7861,0.98
ind_Latn,1.0,0.9127,1.0
hye_Armn,1.0,0.853,1.0
khm_Khmr,0.98,0.8073,0.98
khk_Cyrl,0.93,0.7091,0.93
amh_Ethi,0.67,0.4576,0.67
tir_Ethi,0.34,0.2079,0.34
ast_Latn,1.0,0.9048,1.0
ilo_Latn,0.95,0.7733,0.95
acm_Arab,1.0,0.8727,1.0
kea_Latn,0.96,0.7815,0.96
arb_Arab,1.0,0.877,1.0
isl_Latn,0.98,0.8418,0.98
fin_Latn,1.0,0.88,1.0
slk_Latn,1.0,0.9088,1.0
ukr_Cyrl,1.0,0.9224,1.0
lug_Latn,0.64,0.4555,0.64
bul_Cyrl,1.0,0.9094,1.0
mal_Mlym,0.92,0.713,0.92
fuv_Latn,0.4,0.303,0.4
plt_Latn,0.82,0.6094,0.82
lvs_Latn,1.0,0.8727,1.0
nob_Latn,1.0,0.927,1.0
sna_Latn,0.72,0.4873,0.72
hun_Latn,0.99,0.8839,0.99
ibo_Latn,0.81,0.6152,0.81
kor_Hang,1.0,0.857,1.0
kan_Knda,0.96,0.7652,0.96
tgk_Cyrl,0.94,0.7627,0.94
kin_Latn,0.74,0.5236,0.74
rus_Cyrl,1.0,0.923,1.0
zho_Hant,1.0,0.8755,1.0
est_Latn,1.0,0.8609,1.0
zsm_Latn,1.0,0.9021,1.0
grn_Latn,0.64,0.4779,0.64
als_Latn,1.0,0.8691,1.0
lao_Laoo,0.85,0.5873,0.85
asm_Beng,0.96,0.7618,0.96
arb_Latn,0.73,0.5209,0.73
nya_Latn,0.69,0.4712,0.69
