code,meta-llama/Llama-3.1-8B_max,meta-llama/Llama-3.1-8B_mean,avg
khm_Khmr,0.32,0.1148,0.32
hye_Armn,0.77,0.4355,0.77
pol_Latn,1.0,0.8224,1.0
ind_Latn,1.0,0.8155,1.0
uzn_Latn,0.87,0.4482,0.87
acm_Arab,1.0,0.7412,1.0
ilo_Latn,0.75,0.3333,0.75
ast_Latn,1.0,0.7812,1.0
kea_Latn,0.83,0.5039,0.83
tir_Ethi,0.03,0.01,0.03
khk_Cyrl,0.66,0.2561,0.66
amh_Ethi,0.06,0.0218,0.06
pbt_Arab,0.84,0.4215,0.84
pan_Guru,0.59,0.2918,0.59
tel_Telu,0.48,0.2203,0.48
lit_Latn,1.0,0.6333,1.0
sot_Latn,0.25,0.1133,0.25
war_Latn,0.9,0.4515,0.9
apc_Arab,0.98,0.7233,0.98
kir_Cyrl,0.84,0.3661,0.84
hin_Deva,0.97,0.7097,0.97
pes_Arab,1.0,0.7736,1.0
ita_Latn,0.99,0.8527,0.99
ron_Latn,1.0,0.7809,1.0
ces_Latn,1.0,0.8521,1.0
zsm_Latn,1.0,0.7527,1.0
grn_Latn,0.27,0.1085,0.27
est_Latn,1.0,0.6285,1.0
lao_Laoo,0.07,0.0364,0.07
als_Latn,0.99,0.6097,0.99
kin_Latn,0.38,0.1303,0.38
tgk_Cyrl,0.8,0.3827,0.8
zho_Hant,0.99,0.7994,0.99
rus_Cyrl,1.0,0.8933,1.0
arb_Latn,0.37,0.167,0.37
nya_Latn,0.32,0.1309,0.32
asm_Beng,0.58,0.27,0.58
fin_Latn,0.99,0.6936,0.99
isl_Latn,0.98,0.533,0.98
ukr_Cyrl,1.0,0.8391,1.0
lug_Latn,0.29,0.1236,0.29
slk_Latn,0.99,0.757,0.99
arb_Arab,1.0,0.7761,1.0
hun_Latn,0.99,0.7858,0.99
nob_Latn,1.0,0.8173,1.0
sna_Latn,0.31,0.1179,0.31
kan_Knda,0.54,0.243,0.54
kor_Hang,0.99,0.7794,0.99
ibo_Latn,0.54,0.2333,0.54
plt_Latn,0.43,0.1609,0.43
fuv_Latn,0.16,0.1079,0.16
mal_Mlym,0.45,0.2097,0.45
bul_Cyrl,1.0,0.7555,1.0
lvs_Latn,1.0,0.6094,1.0
glg_Latn,1.0,0.7936,1.0
swh_Latn,0.92,0.4294,0.92
sin_Sinh,0.36,0.1542,0.36
tsn_Latn,0.25,0.1133,0.25
xho_Latn,0.35,0.1236,0.35
ben_Beng,0.81,0.4427,0.81
heb_Hebr,1.0,0.6509,1.0
mlt_Latn,0.95,0.5115,0.95
tso_Latn,0.16,0.0785,0.16
yor_Latn,0.2,0.0733,0.2
bam_Latn,0.1,0.0545,0.1
cat_Latn,1.0,0.7958,1.0
zul_Latn,0.28,0.1121,0.28
hrv_Latn,1.0,0.7455,1.0
slv_Latn,1.0,0.7145,1.0
eus_Latn,0.95,0.5327,0.95
guj_Gujr,0.58,0.2448,0.58
mya_Mymr,0.22,0.0897,0.22
tur_Latn,0.98,0.7233,0.98
deu_Latn,1.0,1.0,1.0
ceb_Latn,0.94,0.4924,0.94
jpn_Jpan,0.99,0.757,0.99
wol_Latn,0.19,0.1073,0.19
arz_Arab,0.98,0.6824,0.98
gaz_Latn,0.09,0.0424,0.09
afr_Latn,1.0,0.7939,1.0
hat_Latn,0.84,0.4282,0.84
tam_Taml,0.55,0.2621,0.55
tha_Thai,0.99,0.7212,0.99
kat_Geor,0.67,0.3491,0.67
bod_Tibt,0.11,0.027,0.11
hau_Latn,0.69,0.3027,0.69
ell_Grek,1.0,0.7506,1.0
oci_Latn,1.0,0.7336,1.0
urd_Arab,0.92,0.5579,0.92
shn_Mymr,0.06,0.0255,0.06
kaz_Cyrl,0.87,0.4806,0.87
nld_Latn,1.0,0.9091,1.0
eng_Latn,1.0,0.8197,1.0
tgl_Latn,0.99,0.5991,0.99
swe_Latn,1.0,0.8785,1.0
vie_Latn,1.0,0.8333,1.0
mar_Deva,0.91,0.4985,0.91
por_Latn,1.0,0.873,1.0
fra_Latn,0.99,0.8915,0.99
lin_Latn,0.22,0.1267,0.22
ckb_Arab,0.76,0.317,0.76
dan_Latn,0.99,0.8233,0.99
mri_Latn,0.64,0.2397,0.64
som_Latn,0.39,0.1542,0.39
spa_Latn,1.0,0.8703,1.0
zho_Hans,1.0,0.8224,1.0
jav_Latn,0.9,0.507,0.9
ars_Arab,1.0,0.7748,1.0
sun_Latn,0.87,0.5161,0.87
ssw_Latn,0.24,0.0982,0.24
