code,meta-llama/Llama-3.1-8B_max,meta-llama/Llama-3.1-8B_mean,avg
ita_Latn,1.0,0.7867,1.0
sun_Latn,0.77,0.4364,0.77
nob_Latn,1.0,0.7058,1.0
zsm_Latn,1.0,0.6933,1.0
hye_Armn,0.69,0.3058,0.69
mya_Mymr,0.16,0.0606,0.16
ilo_Latn,0.54,0.2615,0.54
sot_Latn,0.25,0.0915,0.25
lao_Laoo,0.08,0.0379,0.08
uzn_Latn,0.69,0.337,0.69
als_Latn,0.9,0.5027,0.9
khm_Khmr,0.17,0.0779,0.17
lvs_Latn,0.92,0.477,0.92
rus_Cyrl,1.0,0.8345,1.0
glg_Latn,1.0,0.7664,1.0
ben_Beng,0.68,0.3452,0.68
fin_Latn,0.97,0.5752,0.97
ell_Grek,0.99,0.6206,0.99
ron_Latn,1.0,0.7161,1.0
tsn_Latn,0.2,0.0921,0.2
tha_Thai,0.95,0.6588,0.95
oci_Latn,1.0,0.6715,1.0
afr_Latn,0.99,0.6718,0.99
hau_Latn,0.66,0.26,0.66
jav_Latn,0.79,0.4239,0.79
bul_Cyrl,0.98,0.653,0.98
arz_Arab,0.96,0.6167,0.96
bam_Latn,0.12,0.0485,0.12
yor_Latn,0.16,0.0685,0.16
tur_Latn,0.94,0.6418,0.94
vie_Latn,1.0,0.7918,1.0
lin_Latn,0.18,0.1152,0.18
war_Latn,0.74,0.3842,0.74
est_Latn,0.94,0.493,0.94
mlt_Latn,0.84,0.4318,0.84
som_Latn,0.27,0.1209,0.27
tam_Taml,0.43,0.207,0.43
apc_Arab,0.93,0.6267,0.93
ces_Latn,1.0,0.757,1.0
kir_Cyrl,0.66,0.2582,0.66
arb_Arab,0.98,0.6806,0.98
por_Latn,1.0,0.8367,1.0
swh_Latn,0.83,0.3533,0.83
slv_Latn,0.98,0.6103,0.98
pol_Latn,1.0,0.7064,1.0
isl_Latn,0.88,0.4027,0.88
tso_Latn,0.16,0.0682,0.16
sin_Sinh,0.3,0.1067,0.3
swe_Latn,1.0,0.7612,1.0
xho_Latn,0.23,0.0818,0.23
hat_Latn,0.74,0.367,0.74
hin_Deva,0.91,0.5767,0.91
ind_Latn,0.99,0.7506,0.99
shn_Mymr,0.07,0.0273,0.07
fuv_Latn,0.23,0.1118,0.23
pbt_Arab,0.65,0.3121,0.65
asm_Beng,0.44,0.1864,0.44
fra_Latn,1.0,0.8339,1.0
deu_Latn,1.0,0.8197,1.0
ssw_Latn,0.19,0.0782,0.19
hun_Latn,0.96,0.6361,0.96
kaz_Cyrl,0.7,0.34,0.7
acm_Arab,0.98,0.6545,0.98
eng_Latn,1.0,1.0,1.0
pes_Arab,0.97,0.6976,0.97
slk_Latn,0.98,0.6455,0.98
kea_Latn,0.69,0.4064,0.69
tir_Ethi,0.02,0.0082,0.02
heb_Hebr,0.95,0.5261,0.95
pan_Guru,0.54,0.213,0.54
zul_Latn,0.22,0.0806,0.22
wol_Latn,0.21,0.0961,0.21
plt_Latn,0.29,0.1209,0.29
tel_Telu,0.43,0.1924,0.43
grn_Latn,0.18,0.0845,0.18
mri_Latn,0.43,0.1688,0.43
sna_Latn,0.22,0.0945,0.22
khk_Cyrl,0.48,0.1818,0.48
ukr_Cyrl,1.0,0.7667,1.0
cat_Latn,1.0,0.7545,1.0
zho_Hans,1.0,0.847,1.0
mal_Mlym,0.37,0.163,0.37
urd_Arab,0.87,0.4655,0.87
kat_Geor,0.6,0.2539,0.6
spa_Latn,1.0,0.8512,1.0
lug_Latn,0.21,0.1103,0.21
arb_Latn,0.27,0.1158,0.27
kin_Latn,0.23,0.0942,0.23
nld_Latn,1.0,0.7752,1.0
jpn_Jpan,0.95,0.6985,0.95
kan_Knda,0.48,0.2009,0.48
dan_Latn,1.0,0.7155,1.0
tgl_Latn,0.94,0.5315,0.94
zho_Hant,1.0,0.823,1.0
guj_Gujr,0.48,0.1876,0.48
mar_Deva,0.78,0.3909,0.78
lit_Latn,0.89,0.5097,0.89
ast_Latn,1.0,0.7442,1.0
hrv_Latn,0.98,0.6421,0.98
eus_Latn,0.84,0.4267,0.84
nya_Latn,0.22,0.1109,0.22
ckb_Arab,0.62,0.2212,0.62
ceb_Latn,0.83,0.4355,0.83
kor_Hang,0.96,0.6809,0.96
amh_Ethi,0.04,0.0164,0.04
ibo_Latn,0.43,0.1918,0.43
ars_Arab,0.98,0.6715,0.98
tgk_Cyrl,0.58,0.2582,0.58
gaz_Latn,0.07,0.0327,0.07
bod_Tibt,0.09,0.0236,0.09
