code,intfloat/multilingual-e5-base_max,intfloat/multilingual-e5-base_mean,avg
slv_Latn,0.99,0.7077,0.99
hrv_Latn,1.0,0.7608,1.0
zul_Latn,0.98,0.3369,0.98
cat_Latn,1.0,0.7392,1.0
bam_Latn,0.94,0.1777,0.94
yor_Latn,0.94,0.15,0.94
mlt_Latn,0.99,0.2615,0.99
heb_Hebr,0.99,0.6792,0.99
tso_Latn,0.97,0.2269,0.97
ben_Beng,1.0,0.5346,1.0
xho_Latn,0.98,0.3946,0.98
tsn_Latn,0.97,0.2554,0.97
sin_Sinh,0.99,0.4838,0.99
swh_Latn,0.99,0.6669,0.99
glg_Latn,1.0,0.8623,1.0
afr_Latn,1.0,0.7462,1.0
gaz_Latn,0.88,0.2146,0.88
arz_Arab,0.98,0.6254,0.98
wol_Latn,0.94,0.2238,0.94
jpn_Jpan,1.0,0.6577,1.0
deu_Latn,1.0,0.8362,1.0
tur_Latn,1.0,0.7638,1.0
ceb_Latn,0.99,0.5,0.99
mya_Mymr,0.99,0.3469,0.99
eus_Latn,1.0,0.6,1.0
guj_Gujr,1.0,0.5008,1.0
kaz_Cyrl,0.99,0.6538,0.99
shn_Mymr,0.78,0.0762,0.78
urd_Arab,1.0,0.6362,1.0
oci_Latn,1.0,0.5608,1.0
hau_Latn,0.96,0.4515,0.96
bod_Tibt,0.11,0.0215,0.11
ell_Grek,1.0,0.5846,1.0
kat_Geor,1.0,0.48,1.0
tha_Thai,1.0,0.6592,1.0
tam_Taml,1.0,0.5231,1.0
hat_Latn,0.98,0.4708,0.98
sun_Latn,1.0,0.6269,1.0
ssw_Latn,0.97,0.2615,0.97
ars_Arab,0.97,0.6846,0.97
zho_Hans,0.99,0.7154,0.99
jav_Latn,0.99,0.6585,0.99
spa_Latn,1.0,0.8323,1.0
som_Latn,0.98,0.4123,0.98
mri_Latn,0.97,0.1931,0.97
dan_Latn,1.0,0.8477,1.0
ckb_Arab,0.99,0.1862,0.99
lin_Latn,0.98,0.3292,0.98
fra_Latn,1.0,0.7546,1.0
por_Latn,1.0,0.8631,1.0
vie_Latn,1.0,0.7631,1.0
mar_Deva,0.98,0.6277,0.98
tgl_Latn,0.99,0.6092,0.99
eng_Latn,1.0,1.0,1.0
swe_Latn,1.0,0.8462,1.0
nld_Latn,1.0,0.8377,1.0
tir_Ethi,0.97,0.1923,0.97
amh_Ethi,0.99,0.4523,0.99
khk_Cyrl,0.99,0.5354,0.99
kea_Latn,0.98,0.5008,0.98
ast_Latn,1.0,0.6877,1.0
ilo_Latn,0.99,0.3762,0.99
acm_Arab,0.97,0.6592,0.97
uzn_Latn,1.0,0.4854,1.0
ind_Latn,1.0,0.8431,1.0
pol_Latn,0.99,0.7085,0.99
khm_Khmr,0.99,0.3646,0.99
hye_Armn,1.0,0.5585,1.0
ces_Latn,0.99,0.7608,0.99
ita_Latn,1.0,0.8069,1.0
ron_Latn,1.0,0.7469,1.0
pes_Arab,1.0,0.7438,1.0
hin_Deva,1.0,0.6738,1.0
apc_Arab,0.99,0.6723,0.99
kir_Cyrl,0.99,0.5638,0.99
sot_Latn,0.99,0.2608,0.99
lit_Latn,1.0,0.6746,1.0
war_Latn,0.99,0.5192,0.99
tel_Telu,1.0,0.5608,1.0
pbt_Arab,0.99,0.5269,0.99
pan_Guru,1.0,0.43,1.0
asm_Beng,1.0,0.2877,1.0
nya_Latn,0.98,0.3392,0.98
arb_Latn,0.44,0.0738,0.44
rus_Cyrl,1.0,0.7669,1.0
zho_Hant,0.99,0.7131,0.99
tgk_Cyrl,0.95,0.2008,0.95
kin_Latn,0.96,0.2908,0.96
als_Latn,1.0,0.6385,1.0
lao_Laoo,1.0,0.4838,1.0
grn_Latn,0.97,0.2,0.97
zsm_Latn,1.0,0.8108,1.0
est_Latn,0.99,0.7138,0.99
lvs_Latn,1.0,0.6115,1.0
bul_Cyrl,1.0,0.75,1.0
plt_Latn,0.99,0.3823,0.99
mal_Mlym,1.0,0.4877,1.0
fuv_Latn,0.79,0.2262,0.79
ibo_Latn,0.98,0.2123,0.98
kan_Knda,1.0,0.5254,1.0
kor_Hang,0.98,0.6123,0.98
hun_Latn,1.0,0.7146,1.0
sna_Latn,0.97,0.2938,0.97
nob_Latn,1.0,0.8354,1.0
arb_Arab,0.97,0.6792,0.97
slk_Latn,1.0,0.7423,1.0
lug_Latn,0.95,0.2623,0.95
ukr_Cyrl,1.0,0.7254,1.0
isl_Latn,0.99,0.5846,0.99
fin_Latn,0.99,0.6723,0.99
