code,mistralai/Mistral-7B-v0.3_max,mistralai/Mistral-7B-v0.3_mean,avg
lvs_Latn,0.92,0.6815,0.92
plt_Latn,0.49,0.3291,0.49
fuv_Latn,0.31,0.1918,0.31
mal_Mlym,0.21,0.1309,0.21
bul_Cyrl,0.98,0.8152,0.98
kan_Knda,0.46,0.3048,0.46
kor_Hang,0.93,0.7245,0.93
ibo_Latn,0.41,0.2515,0.41
hun_Latn,0.96,0.7809,0.96
nob_Latn,0.96,0.7742,0.96
sna_Latn,0.43,0.2736,0.43
arb_Arab,1.0,1.0,1.0
ukr_Cyrl,0.99,0.8327,0.99
lug_Latn,0.5,0.3209,0.5
slk_Latn,0.98,0.783,0.98
fin_Latn,0.97,0.7591,0.97
isl_Latn,0.9,0.6697,0.9
asm_Beng,0.6,0.3909,0.6
nya_Latn,0.53,0.3361,0.53
arb_Latn,0.88,0.7061,0.88
zho_Hant,0.97,0.7782,0.97
rus_Cyrl,1.0,0.8206,1.0
kin_Latn,0.48,0.2936,0.48
tgk_Cyrl,0.54,0.3618,0.54
lao_Laoo,0.25,0.1852,0.25
als_Latn,0.92,0.6997,0.92
zsm_Latn,0.98,0.8006,0.98
grn_Latn,0.52,0.3173,0.52
est_Latn,0.88,0.6488,0.88
ces_Latn,0.99,0.8039,0.99
ita_Latn,0.99,0.8085,0.99
ron_Latn,0.99,0.8194,0.99
apc_Arab,1.0,0.9691,1.0
kir_Cyrl,0.54,0.3582,0.54
hin_Deva,0.9,0.6842,0.9
pes_Arab,0.99,0.8236,0.99
tel_Telu,0.33,0.2185,0.33
sot_Latn,0.46,0.2964,0.46
lit_Latn,0.89,0.6803,0.89
war_Latn,0.86,0.637,0.86
pbt_Arab,0.53,0.3573,0.53
pan_Guru,0.35,0.2273,0.35
tir_Ethi,0.14,0.0797,0.14
amh_Ethi,0.25,0.1652,0.25
khk_Cyrl,0.38,0.2612,0.38
kea_Latn,0.82,0.6106,0.82
acm_Arab,1.0,0.9915,1.0
ilo_Latn,0.7,0.503,0.7
ast_Latn,0.96,0.7585,0.96
ind_Latn,0.98,0.79,0.98
uzn_Latn,0.69,0.4721,0.69
pol_Latn,0.97,0.7924,0.97
khm_Khmr,0.64,0.4458,0.64
hye_Armn,0.72,0.4948,0.72
ars_Arab,1.0,1.0,1.0
sun_Latn,0.72,0.5197,0.72
ssw_Latn,0.46,0.2645,0.46
zho_Hans,0.99,0.7821,0.99
jav_Latn,0.74,0.5297,0.74
som_Latn,0.42,0.2876,0.42
spa_Latn,0.98,0.8076,0.98
ckb_Arab,0.6,0.4536,0.6
dan_Latn,0.96,0.7894,0.96
mri_Latn,0.77,0.527,0.77
fra_Latn,0.99,0.7973,0.99
lin_Latn,0.53,0.3164,0.53
vie_Latn,0.97,0.7988,0.97
mar_Deva,0.64,0.4221,0.64
por_Latn,0.99,0.8194,0.99
nld_Latn,0.98,0.7882,0.98
eng_Latn,0.97,0.7524,0.97
tgl_Latn,0.99,0.78,0.99
swe_Latn,0.99,0.7997,0.99
shn_Mymr,0.24,0.1267,0.24
kaz_Cyrl,0.63,0.4409,0.63
oci_Latn,0.96,0.7791,0.96
urd_Arab,0.94,0.6697,0.94
bod_Tibt,0.21,0.1258,0.21
hau_Latn,0.4,0.2258,0.4
ell_Grek,0.98,0.7873,0.98
kat_Geor,0.72,0.517,0.72
hat_Latn,0.79,0.577,0.79
tam_Taml,0.54,0.3564,0.54
tha_Thai,0.95,0.7382,0.95
afr_Latn,0.98,0.7809,0.98
arz_Arab,1.0,0.9742,1.0
gaz_Latn,0.23,0.1573,0.23
jpn_Jpan,0.93,0.7197,0.93
wol_Latn,0.43,0.2627,0.43
deu_Latn,0.98,0.7945,0.98
tur_Latn,0.94,0.7097,0.94
ceb_Latn,0.91,0.6788,0.91
mya_Mymr,0.3,0.1667,0.3
eus_Latn,0.52,0.3673,0.52
guj_Gujr,0.41,0.2494,0.41
slv_Latn,0.98,0.8039,0.98
hrv_Latn,0.98,0.8009,0.98
zul_Latn,0.49,0.3048,0.49
yor_Latn,0.31,0.2027,0.31
bam_Latn,0.35,0.2403,0.35
cat_Latn,0.99,0.8164,0.99
ben_Beng,0.86,0.6376,0.86
mlt_Latn,0.85,0.6294,0.85
heb_Hebr,0.93,0.7442,0.93
tso_Latn,0.37,0.2258,0.37
sin_Sinh,0.22,0.1533,0.22
tsn_Latn,0.39,0.2676,0.39
xho_Latn,0.58,0.3745,0.58
glg_Latn,0.98,0.7985,0.98
swh_Latn,0.77,0.5491,0.77
