code,mistralai/Mistral-7B-v0.3_max,mistralai/Mistral-7B-v0.3_mean,avg
vie_Latn,0.92,0.6097,0.92
mar_Deva,0.24,0.0818,0.24
por_Latn,0.93,0.5891,0.93
fra_Latn,0.88,0.5521,0.88
lin_Latn,0.18,0.0703,0.18
nld_Latn,0.81,0.4952,0.81
tgl_Latn,0.9,0.5036,0.9
eng_Latn,0.83,0.3991,0.83
swe_Latn,0.89,0.5379,0.89
zho_Hans,0.88,0.4994,0.88
jav_Latn,0.41,0.1661,0.41
ars_Arab,1.0,1.0,1.0
sun_Latn,0.39,0.1561,0.39
ssw_Latn,0.11,0.0409,0.11
dan_Latn,0.92,0.5348,0.92
ckb_Arab,0.22,0.0691,0.22
mri_Latn,0.35,0.1361,0.35
som_Latn,0.15,0.0421,0.15
spa_Latn,0.9,0.5815,0.9
hau_Latn,0.08,0.0312,0.08
bod_Tibt,0.02,0.0042,0.02
ell_Grek,0.92,0.5685,0.92
hat_Latn,0.46,0.1676,0.46
tha_Thai,0.8,0.4442,0.8
tam_Taml,0.2,0.0697,0.2
kat_Geor,0.31,0.1279,0.31
kaz_Cyrl,0.32,0.1339,0.32
shn_Mymr,0.04,0.0112,0.04
oci_Latn,0.89,0.4627,0.89
urd_Arab,0.61,0.2418,0.61
deu_Latn,0.88,0.56,0.88
tur_Latn,0.72,0.4039,0.72
ceb_Latn,0.63,0.3006,0.63
jpn_Jpan,0.68,0.4085,0.68
wol_Latn,0.09,0.0373,0.09
eus_Latn,0.25,0.0806,0.25
guj_Gujr,0.06,0.0258,0.06
mya_Mymr,0.03,0.0109,0.03
gaz_Latn,0.06,0.0248,0.06
arz_Arab,1.0,0.9433,1.0
afr_Latn,0.87,0.4648,0.87
ben_Beng,0.53,0.2173,0.53
mlt_Latn,0.59,0.2145,0.59
heb_Hebr,0.86,0.5464,0.86
tso_Latn,0.13,0.0415,0.13
swh_Latn,0.45,0.1673,0.45
glg_Latn,0.9,0.5064,0.9
sin_Sinh,0.03,0.0148,0.03
xho_Latn,0.13,0.0424,0.13
tsn_Latn,0.13,0.0464,0.13
slv_Latn,0.91,0.553,0.91
bam_Latn,0.08,0.0315,0.08
yor_Latn,0.12,0.0442,0.12
cat_Latn,0.88,0.5694,0.88
hrv_Latn,0.87,0.5533,0.87
zul_Latn,0.14,0.0418,0.14
arb_Arab,1.0,1.0,1.0
fin_Latn,0.84,0.4933,0.84
isl_Latn,0.63,0.2773,0.63
lug_Latn,0.14,0.0461,0.14
ukr_Cyrl,0.94,0.5936,0.94
slk_Latn,0.89,0.4888,0.89
plt_Latn,0.12,0.05,0.12
mal_Mlym,0.01,0.0052,0.01
fuv_Latn,0.1,0.0358,0.1
bul_Cyrl,0.91,0.6045,0.91
lvs_Latn,0.71,0.297,0.71
hun_Latn,0.85,0.5461,0.85
sna_Latn,0.15,0.0427,0.15
nob_Latn,0.88,0.497,0.88
kan_Knda,0.13,0.05,0.13
kor_Hang,0.72,0.4388,0.72
ibo_Latn,0.12,0.0358,0.12
kin_Latn,0.16,0.0473,0.16
tgk_Cyrl,0.12,0.0552,0.12
zho_Hant,0.88,0.4958,0.88
rus_Cyrl,0.9,0.6252,0.9
grn_Latn,0.12,0.0473,0.12
zsm_Latn,0.91,0.55,0.91
est_Latn,0.68,0.2706,0.68
lao_Laoo,0.03,0.0121,0.03
als_Latn,0.71,0.2991,0.71
asm_Beng,0.12,0.0497,0.12
arb_Latn,0.49,0.2427,0.49
nya_Latn,0.17,0.0524,0.17
tel_Telu,0.1,0.0379,0.1
sot_Latn,0.12,0.04,0.12
lit_Latn,0.68,0.3067,0.68
war_Latn,0.45,0.1955,0.45
apc_Arab,1.0,0.947,1.0
kir_Cyrl,0.2,0.0773,0.2
pes_Arab,0.91,0.5667,0.91
hin_Deva,0.76,0.3294,0.76
pan_Guru,0.04,0.0094,0.04
pbt_Arab,0.17,0.0573,0.17
ces_Latn,0.94,0.5988,0.94
ita_Latn,0.94,0.5597,0.94
ron_Latn,0.91,0.5806,0.91
pol_Latn,0.93,0.597,0.93
ind_Latn,0.92,0.5685,0.92
uzn_Latn,0.31,0.1185,0.31
khm_Khmr,0.17,0.0664,0.17
hye_Armn,0.26,0.0961,0.26
tir_Ethi,0.01,0.0027,0.01
amh_Ethi,0.06,0.0148,0.06
khk_Cyrl,0.15,0.0421,0.15
ilo_Latn,0.3,0.1303,0.3
acm_Arab,1.0,0.9827,1.0
ast_Latn,0.86,0.4518,0.86
kea_Latn,0.55,0.217,0.55
