code,mistralai/Mistral-7B-v0.3_max,mistralai/Mistral-7B-v0.3_mean,avg
als_Latn,0.59,0.4636,0.59
lao_Laoo,0.29,0.2185,0.29
est_Latn,0.69,0.4882,0.69
zsm_Latn,0.69,0.5121,0.69
grn_Latn,0.47,0.3212,0.47
rus_Cyrl,0.64,0.467,0.64
zho_Hant,0.58,0.42,0.58
tgk_Cyrl,0.47,0.3124,0.47
kin_Latn,0.41,0.2806,0.41
nya_Latn,0.46,0.3248,0.46
arb_Latn,0.43,0.2958,0.43
asm_Beng,0.34,0.197,0.34
slk_Latn,0.69,0.5003,0.69
ukr_Cyrl,0.63,0.4752,0.63
lug_Latn,0.43,0.2921,0.43
isl_Latn,0.53,0.3912,0.53
fin_Latn,0.64,0.4785,0.64
arb_Arab,0.52,0.3673,0.52
ibo_Latn,0.44,0.2764,0.44
kor_Hang,0.54,0.3912,0.54
kan_Knda,0.29,0.1948,0.29
nob_Latn,0.67,0.5161,0.67
sna_Latn,0.38,0.2694,0.38
hun_Latn,0.68,0.5124,0.68
lvs_Latn,0.64,0.4582,0.64
bul_Cyrl,0.65,0.487,0.65
mal_Mlym,0.2,0.1282,0.2
fuv_Latn,0.31,0.2055,0.31
plt_Latn,0.51,0.3645,0.51
hye_Armn,0.38,0.2533,0.38
khm_Khmr,0.46,0.3088,0.46
uzn_Latn,0.47,0.3415,0.47
ind_Latn,0.7,0.52,0.7
pol_Latn,0.62,0.4748,0.62
kea_Latn,0.64,0.4724,0.64
ast_Latn,0.63,0.4691,0.63
acm_Arab,0.52,0.3494,0.52
ilo_Latn,0.63,0.4485,0.63
khk_Cyrl,0.38,0.2609,0.38
amh_Ethi,0.25,0.1494,0.25
tir_Ethi,0.15,0.0964,0.15
pbt_Arab,0.36,0.257,0.36
pan_Guru,0.2,0.1412,0.2
pes_Arab,0.55,0.3915,0.55
hin_Deva,0.48,0.3303,0.48
kir_Cyrl,0.5,0.3379,0.5
apc_Arab,0.55,0.3721,0.55
war_Latn,0.65,0.4903,0.65
lit_Latn,0.64,0.4718,0.64
sot_Latn,0.46,0.3167,0.46
tel_Telu,0.29,0.1991,0.29
ron_Latn,0.62,0.4982,0.62
ita_Latn,0.63,0.4933,0.63
ces_Latn,0.65,0.5061,0.65
kat_Geor,0.53,0.3673,0.53
tam_Taml,0.3,0.1994,0.3
tha_Thai,0.48,0.3015,0.48
hat_Latn,0.69,0.4652,0.69
ell_Grek,0.54,0.3879,0.54
bod_Tibt,0.15,0.0945,0.15
hau_Latn,0.39,0.2558,0.39
urd_Arab,0.44,0.283,0.44
oci_Latn,0.62,0.4885,0.62
shn_Mymr,0.23,0.1715,0.23
kaz_Cyrl,0.58,0.3933,0.58
swe_Latn,0.62,0.467,0.62
eng_Latn,0.59,0.4145,0.59
tgl_Latn,0.68,0.5073,0.68
nld_Latn,0.66,0.4973,0.66
lin_Latn,0.45,0.3148,0.45
fra_Latn,0.62,0.4715,0.62
por_Latn,0.63,0.5018,0.63
mar_Deva,0.4,0.2985,0.4
vie_Latn,0.58,0.4285,0.58
spa_Latn,0.61,0.4864,0.61
som_Latn,0.35,0.2718,0.35
mri_Latn,0.5,0.353,0.5
ckb_Arab,0.31,0.2224,0.31
dan_Latn,0.68,0.5027,0.68
ssw_Latn,0.47,0.2724,0.47
sun_Latn,0.6,0.4224,0.6
ars_Arab,0.51,0.3612,0.51
jav_Latn,0.62,0.4597,0.62
zho_Hans,0.58,0.4061,0.58
tsn_Latn,0.39,0.2764,0.39
xho_Latn,0.5,0.3497,0.5
sin_Sinh,0.2,0.1367,0.2
glg_Latn,0.65,0.4873,0.65
swh_Latn,0.66,0.4306,0.66
tso_Latn,0.42,0.2803,0.42
heb_Hebr,0.48,0.3318,0.48
mlt_Latn,0.69,0.5136,0.69
ben_Beng,0.45,0.2982,0.45
zul_Latn,0.47,0.2942,0.47
hrv_Latn,0.65,0.4973,0.65
cat_Latn,0.65,0.5227,0.65
yor_Latn,0.36,0.2415,0.36
bam_Latn,0.34,0.2703,0.34
slv_Latn,0.71,0.4945,0.71
mya_Mymr,0.16,0.1073,0.16
guj_Gujr,0.25,0.1773,0.25
eus_Latn,1.0,1.0,1.0
wol_Latn,0.39,0.2891,0.39
jpn_Jpan,0.57,0.4097,0.57
ceb_Latn,0.68,0.5164,0.68
tur_Latn,0.59,0.4442,0.59
deu_Latn,0.63,0.4791,0.63
afr_Latn,0.67,0.5067,0.67
gaz_Latn,0.24,0.1776,0.24
arz_Arab,0.51,0.3573,0.51
