code,mistralai/Mistral-7B-v0.3_max,mistralai/Mistral-7B-v0.3_mean,avg
wol_Latn,0.23,0.097,0.23
jpn_Jpan,0.26,0.1021,0.26
ceb_Latn,0.27,0.1258,0.27
tur_Latn,0.27,0.1048,0.27
deu_Latn,0.26,0.1488,0.26
mya_Mymr,0.01,0.0036,0.01
guj_Gujr,0.05,0.0136,0.05
eus_Latn,1.0,1.0,1.0
afr_Latn,0.26,0.1518,0.26
gaz_Latn,0.17,0.0539,0.17
arz_Arab,0.19,0.0685,0.19
tso_Latn,0.15,0.077,0.15
heb_Hebr,0.16,0.0685,0.16
mlt_Latn,0.35,0.1518,0.35
ben_Beng,0.14,0.0491,0.14
xho_Latn,0.2,0.093,0.2
tsn_Latn,0.18,0.0873,0.18
sin_Sinh,0.04,0.0112,0.04
swh_Latn,0.31,0.1267,0.31
glg_Latn,0.31,0.1524,0.31
slv_Latn,0.26,0.1297,0.26
zul_Latn,0.18,0.0785,0.18
hrv_Latn,0.33,0.1506,0.33
cat_Latn,0.29,0.1542,0.29
bam_Latn,0.11,0.0512,0.11
yor_Latn,0.07,0.0318,0.07
lin_Latn,0.19,0.0888,0.19
fra_Latn,0.28,0.1545,0.28
por_Latn,0.26,0.1594,0.26
mar_Deva,0.13,0.0421,0.13
vie_Latn,0.26,0.1139,0.26
swe_Latn,0.28,0.1418,0.28
tgl_Latn,0.29,0.1524,0.29
eng_Latn,0.22,0.1027,0.22
nld_Latn,0.29,0.1445,0.29
ssw_Latn,0.21,0.0852,0.21
sun_Latn,0.31,0.1333,0.31
ars_Arab,0.25,0.077,0.25
jav_Latn,0.26,0.1391,0.26
zho_Hans,0.22,0.1024,0.22
spa_Latn,0.27,0.1491,0.27
som_Latn,0.2,0.0727,0.2
mri_Latn,0.24,0.0845,0.24
dan_Latn,0.28,0.1427,0.28
ckb_Arab,0.07,0.0242,0.07
ell_Grek,0.18,0.0809,0.18
hau_Latn,0.17,0.0939,0.17
bod_Tibt,0.01,0.0012,0.01
kat_Geor,0.15,0.0324,0.15
tha_Thai,0.12,0.0455,0.12
tam_Taml,0.05,0.0188,0.05
hat_Latn,0.31,0.1585,0.31
shn_Mymr,0.03,0.0058,0.03
kaz_Cyrl,0.34,0.1142,0.34
urd_Arab,0.15,0.0515,0.15
oci_Latn,0.25,0.14,0.25
pes_Arab,0.21,0.0752,0.21
hin_Deva,0.19,0.0721,0.19
kir_Cyrl,0.35,0.1182,0.35
apc_Arab,0.27,0.0815,0.27
war_Latn,0.34,0.1536,0.34
lit_Latn,0.32,0.1427,0.32
sot_Latn,0.19,0.0867,0.19
tel_Telu,0.03,0.0182,0.03
pbt_Arab,0.13,0.0503,0.13
pan_Guru,0.03,0.0052,0.03
ces_Latn,0.28,0.153,0.28
ron_Latn,0.27,0.1458,0.27
ita_Latn,0.28,0.1455,0.28
uzn_Latn,0.32,0.0982,0.32
ind_Latn,0.3,0.1585,0.3
pol_Latn,0.26,0.1373,0.26
hye_Armn,0.08,0.0303,0.08
khm_Khmr,0.04,0.0197,0.04
khk_Cyrl,0.11,0.037,0.11
amh_Ethi,0.04,0.0073,0.04
tir_Ethi,0.01,0.0018,0.01
kea_Latn,0.33,0.1209,0.33
ast_Latn,0.28,0.1142,0.28
acm_Arab,0.3,0.0912,0.3
ilo_Latn,0.25,0.14,0.25
arb_Arab,0.25,0.0806,0.25
slk_Latn,0.3,0.1373,0.3
lug_Latn,0.16,0.0818,0.16
ukr_Cyrl,0.25,0.1412,0.25
isl_Latn,0.24,0.1124,0.24
fin_Latn,0.25,0.1167,0.25
lvs_Latn,0.25,0.103,0.25
bul_Cyrl,0.3,0.1548,0.3
mal_Mlym,0.03,0.0052,0.03
fuv_Latn,0.13,0.0648,0.13
plt_Latn,0.18,0.0782,0.18
ibo_Latn,0.13,0.0642,0.13
kor_Hang,0.27,0.1036,0.27
kan_Knda,0.05,0.0221,0.05
sna_Latn,0.14,0.0639,0.14
nob_Latn,0.24,0.1439,0.24
hun_Latn,0.31,0.143,0.31
rus_Cyrl,0.3,0.1382,0.3
zho_Hant,0.25,0.1042,0.25
tgk_Cyrl,0.25,0.0921,0.25
kin_Latn,0.15,0.0667,0.15
als_Latn,0.27,0.1167,0.27
lao_Laoo,0.02,0.0027,0.02
est_Latn,0.31,0.1336,0.31
grn_Latn,0.31,0.1058,0.31
zsm_Latn,0.33,0.1715,0.33
asm_Beng,0.08,0.02,0.08
nya_Latn,0.24,0.0912,0.24
arb_Latn,0.22,0.0809,0.22
