code,mistralai/Mistral-7B-v0.3_max,mistralai/Mistral-7B-v0.3_mean,avg
nld_Latn,1.0,0.893,1.0
swe_Latn,1.0,0.8767,1.0
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.99,0.8,0.99
fra_Latn,0.99,0.9067,0.99
lin_Latn,0.59,0.3836,0.59
mar_Deva,0.59,0.4009,0.59
vie_Latn,0.99,0.8015,0.99
por_Latn,1.0,0.9024,1.0
som_Latn,0.43,0.3058,0.43
spa_Latn,1.0,0.9003,1.0
ckb_Arab,0.44,0.2755,0.44
dan_Latn,0.99,0.8758,0.99
mri_Latn,0.74,0.4979,0.74
ars_Arab,0.98,0.7539,0.98
ssw_Latn,0.49,0.3179,0.49
sun_Latn,0.8,0.6091,0.8
jav_Latn,0.77,0.5815,0.77
zho_Hans,0.99,0.8485,0.99
kat_Geor,0.7,0.4612,0.7
hat_Latn,0.81,0.5955,0.81
tam_Taml,0.47,0.2612,0.47
tha_Thai,0.93,0.6824,0.93
ell_Grek,0.96,0.7448,0.96
bod_Tibt,0.15,0.0706,0.15
hau_Latn,0.46,0.2821,0.46
oci_Latn,0.98,0.8579,0.98
urd_Arab,0.81,0.593,0.81
shn_Mymr,0.34,0.1985,0.34
kaz_Cyrl,0.6,0.4379,0.6
mya_Mymr,0.19,0.1085,0.19
guj_Gujr,0.3,0.1788,0.3
eus_Latn,0.59,0.4145,0.59
jpn_Jpan,0.99,0.7864,0.99
wol_Latn,0.52,0.3903,0.52
ceb_Latn,0.9,0.7136,0.9
tur_Latn,0.95,0.7364,0.95
deu_Latn,1.0,0.8961,1.0
afr_Latn,0.98,0.8439,0.98
arz_Arab,0.97,0.7155,0.97
gaz_Latn,0.29,0.1715,0.29
sin_Sinh,0.21,0.1155,0.21
tsn_Latn,0.49,0.3427,0.49
xho_Latn,0.57,0.3815,0.57
glg_Latn,1.0,0.8745,1.0
swh_Latn,0.76,0.5191,0.76
ben_Beng,0.82,0.5736,0.82
tso_Latn,0.49,0.3015,0.49
heb_Hebr,0.92,0.6661,0.92
mlt_Latn,0.82,0.62,0.82
zul_Latn,0.49,0.317,0.49
hrv_Latn,0.99,0.8424,0.99
yor_Latn,0.36,0.2252,0.36
bam_Latn,0.42,0.287,0.42
cat_Latn,1.0,0.8921,1.0
slv_Latn,1.0,0.8412,1.0
ukr_Cyrl,1.0,0.8694,1.0
lug_Latn,0.55,0.3306,0.55
slk_Latn,0.98,0.8233,0.98
fin_Latn,0.98,0.7591,0.98
isl_Latn,0.88,0.6218,0.88
arb_Arab,0.97,0.7524,0.97
kor_Hang,0.96,0.7606,0.96
kan_Knda,0.45,0.27,0.45
ibo_Latn,0.42,0.2839,0.42
nob_Latn,1.0,0.8524,1.0
sna_Latn,0.51,0.3497,0.51
hun_Latn,0.99,0.8176,0.99
lvs_Latn,0.89,0.637,0.89
fuv_Latn,0.46,0.257,0.46
mal_Mlym,0.2,0.0961,0.2
plt_Latn,0.53,0.3758,0.53
bul_Cyrl,1.0,0.8652,1.0
lao_Laoo,0.39,0.2427,0.39
als_Latn,0.88,0.6576,0.88
est_Latn,0.85,0.6233,0.85
zsm_Latn,0.98,0.8061,0.98
grn_Latn,0.54,0.403,0.54
zho_Hant,1.0,0.8088,1.0
rus_Cyrl,1.0,0.8782,1.0
kin_Latn,0.49,0.3042,0.49
tgk_Cyrl,0.5,0.3033,0.5
nya_Latn,0.51,0.3655,0.51
arb_Latn,0.62,0.3758,0.62
asm_Beng,0.48,0.3121,0.48
pan_Guru,0.32,0.1885,0.32
pbt_Arab,0.49,0.3421,0.49
kir_Cyrl,0.55,0.3742,0.55
apc_Arab,0.97,0.7067,0.97
hin_Deva,0.89,0.653,0.89
pes_Arab,0.97,0.7158,0.97
tel_Telu,0.3,0.1994,0.3
war_Latn,0.91,0.7067,0.91
lit_Latn,0.9,0.6585,0.9
sot_Latn,0.53,0.3803,0.53
ron_Latn,1.0,0.8797,1.0
ita_Latn,1.0,0.8852,1.0
ces_Latn,1.0,0.8664,1.0
hye_Armn,0.61,0.4006,0.61
khm_Khmr,0.58,0.3867,0.58
ind_Latn,0.99,0.8321,0.99
uzn_Latn,0.66,0.4264,0.66
pol_Latn,1.0,0.8603,1.0
kea_Latn,0.82,0.6594,0.82
acm_Arab,0.96,0.7267,0.96
ilo_Latn,0.75,0.5667,0.75
ast_Latn,0.97,0.8361,0.97
khk_Cyrl,0.39,0.2533,0.39
amh_Ethi,0.23,0.127,0.23
tir_Ethi,0.09,0.0542,0.09
