code,mistralai/Mistral-7B-v0.3_max,mistralai/Mistral-7B-v0.3_mean,avg
pan_Guru,0.34,0.2103,0.34
pbt_Arab,0.5,0.3485,0.5
kir_Cyrl,0.58,0.4179,0.58
apc_Arab,0.96,0.7303,0.96
pes_Arab,0.96,0.7558,0.96
hin_Deva,0.92,0.6955,0.92
tel_Telu,0.31,0.2233,0.31
war_Latn,0.85,0.6509,0.85
lit_Latn,0.93,0.6809,0.93
sot_Latn,0.47,0.3239,0.47
ron_Latn,1.0,0.8358,1.0
ita_Latn,0.99,0.8227,0.99
ces_Latn,1.0,0.8288,1.0
hye_Armn,0.64,0.4161,0.64
khm_Khmr,0.53,0.3815,0.53
ind_Latn,0.98,0.7979,0.98
uzn_Latn,0.73,0.4961,0.73
pol_Latn,0.98,0.8215,0.98
kea_Latn,0.83,0.6109,0.83
ilo_Latn,0.64,0.493,0.64
acm_Arab,0.94,0.7412,0.94
ast_Latn,0.97,0.7745,0.97
khk_Cyrl,0.4,0.2812,0.4
amh_Ethi,0.24,0.1567,0.24
tir_Ethi,0.13,0.0815,0.13
ukr_Cyrl,1.0,0.8448,1.0
lug_Latn,0.42,0.3061,0.42
slk_Latn,0.98,0.7748,0.98
fin_Latn,0.98,0.7518,0.98
isl_Latn,0.79,0.5888,0.79
arb_Arab,0.99,0.7821,0.99
kor_Hang,0.99,0.8039,0.99
kan_Knda,0.51,0.3388,0.51
ibo_Latn,0.38,0.2339,0.38
nob_Latn,0.98,0.7979,0.98
sna_Latn,0.45,0.3024,0.45
hun_Latn,1.0,0.8182,1.0
lvs_Latn,0.88,0.6648,0.88
mal_Mlym,0.23,0.1512,0.23
fuv_Latn,0.36,0.2397,0.36
plt_Latn,0.44,0.3248,0.44
bul_Cyrl,1.0,0.8276,1.0
lao_Laoo,0.29,0.2088,0.29
als_Latn,0.84,0.6142,0.84
est_Latn,0.84,0.6224,0.84
zsm_Latn,0.95,0.7779,0.95
grn_Latn,0.49,0.3539,0.49
zho_Hant,1.0,0.9415,1.0
rus_Cyrl,1.0,0.8518,1.0
kin_Latn,0.47,0.2897,0.47
tgk_Cyrl,0.49,0.3467,0.49
nya_Latn,0.45,0.3239,0.45
arb_Latn,0.61,0.4136,0.61
asm_Beng,0.56,0.3736,0.56
mya_Mymr,0.25,0.15,0.25
guj_Gujr,0.34,0.2212,0.34
eus_Latn,0.58,0.4061,0.58
jpn_Jpan,1.0,0.8615,1.0
wol_Latn,0.43,0.3079,0.43
ceb_Latn,0.89,0.6576,0.89
tur_Latn,0.93,0.737,0.93
deu_Latn,1.0,0.8379,1.0
afr_Latn,0.98,0.79,0.98
gaz_Latn,0.24,0.1733,0.24
arz_Arab,0.99,0.7379,0.99
sin_Sinh,0.21,0.1455,0.21
tsn_Latn,0.44,0.2782,0.44
xho_Latn,0.48,0.3252,0.48
glg_Latn,1.0,0.8176,1.0
swh_Latn,0.7,0.4827,0.7
ben_Beng,0.82,0.6179,0.82
tso_Latn,0.36,0.2558,0.36
heb_Hebr,0.93,0.703,0.93
mlt_Latn,0.79,0.5942,0.79
zul_Latn,0.41,0.2803,0.41
hrv_Latn,1.0,0.8097,1.0
yor_Latn,0.32,0.1942,0.32
bam_Latn,0.36,0.2491,0.36
cat_Latn,1.0,0.8255,1.0
slv_Latn,0.99,0.8045,0.99
nld_Latn,1.0,0.8336,1.0
swe_Latn,0.99,0.8152,0.99
eng_Latn,0.99,0.8485,0.99
tgl_Latn,0.97,0.7494,0.97
fra_Latn,0.99,0.8324,0.99
lin_Latn,0.47,0.3279,0.47
mar_Deva,0.65,0.4518,0.65
vie_Latn,0.97,0.7918,0.97
por_Latn,1.0,0.8427,1.0
som_Latn,0.38,0.2645,0.38
spa_Latn,1.0,0.8267,1.0
ckb_Arab,0.48,0.3194,0.48
dan_Latn,0.98,0.8239,0.98
mri_Latn,0.71,0.4845,0.71
ars_Arab,0.99,0.7779,0.99
ssw_Latn,0.4,0.2512,0.4
sun_Latn,0.71,0.5209,0.71
jav_Latn,0.74,0.5306,0.74
zho_Hans,1.0,1.0,1.0
kat_Geor,0.71,0.5003,0.71
hat_Latn,0.75,0.5539,0.75
tam_Taml,0.48,0.3173,0.48
tha_Thai,0.93,0.7018,0.93
ell_Grek,0.92,0.7164,0.92
bod_Tibt,0.17,0.1097,0.17
hau_Latn,0.37,0.2336,0.37
oci_Latn,0.93,0.7564,0.93
urd_Arab,0.86,0.6158,0.86
kaz_Cyrl,0.66,0.4921,0.66
shn_Mymr,0.27,0.1582,0.27
